Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Mar 01 06:00,2.7,0,0,15.9,41,0,50,1.5,18.72026218,26.263863,73.008957
Year 1 Mar 01 07:00,2.7,0,0,15.9,41,0,50,1.5,18.39867594,26.263863,73.008957
Year 1 Mar 01 08:00,2.3,34,113,17,38,0,50,1.5,18.829734,26.263863,73.008957
Year 1 Mar 01 09:00,1.3,79,657,18.2,32,0,50,1.5,20.28379127,26.263863,73.008957
Year 1 Mar 01 10:00,2.8,96,849,19.9,32,0,50,1.4,22.29753934,26.263863,73.008957
Year 1 Mar 01 11:00,4.6,116,899,22,32,1,50,1.3,23.92094155,26.263863,73.008957
Year 1 Mar 01 12:00,6,133,908,24.2,31,2,140,1.1,25.70606372,26.263863,73.008957
Year 1 Mar 01 13:00,6.2,144,905,26.1,28,3,140,1.1,27.23845762,26.263863,73.008957
Year 1 Mar 01 14:00,5.8,199,756,27.5,25,5,140,1.3,31.51095001,26.263863,73.008957
Year 1 Mar 01 15:00,5.7,275,487,28.1,24,7,360,1.4,36.05772628,26.263863,73.008957
Year 1 Mar 01 16:00,5.4,255,363,27.8,24,7,360,1.4,39.91213515,26.263863,73.008957
Year 1 Mar 01 17:00,4.8,194,218,27,24,7,360,1.3,41.60546094,26.263863,73.008957
Year 1 Mar 01 18:00,4.9,95,100,25.8,26,6,360,1.1,39.70880746,26.263863,73.008957
Year 1 Mar 01 19:00,5.6,3,2,24.2,30,6,360,0.9,29.49897781,26.263863,73.008957
Year 1 Mar 01 20:00,7.5,0,0,22.1,39,5,360,0.8,27.36844943,26.263863,73.008957
Year 1 Mar 01 21:00,8,0,0,20.7,44,5,140,0.6,26.27269311,26.263863,73.008957
Year 1 Mar 01 22:00,8.2,0,0,19.5,48,5,140,0.4,25.18775154,26.263863,73.008957
Year 1 Mar 01 23:00,8.5,0,0,18.5,52,5,140,0.3,24.39486959,26.263863,73.008957
Year 1 Mar 02 00:00,8.9,0,0,17.5,57,5,140,0.1,23.54852597,26.263863,73.008957
Year 1 Mar 02 01:00,8.5,0,0,16.8,58,5,140,0,22.99322209,26.263863,73.008957
Year 1 Mar 02 02:00,7.5,0,0,16.3,56,5,140,0.1,21.99294202,26.263863,73.008957
Year 1 Mar 02 03:00,6.8,0,0,15.8,55,5,140,0.2,21.17286395,26.263863,73.008957
Year 1 Mar 02 04:00,5.8,0,0,15.3,53,5,140,0.3,20.42147503,26.263863,73.008957
Year 1 Mar 02 05:00,4.8,0,0,14.8,51,5,140,0.4,20.42717311,26.263863,73.008957
Year 1 Mar 02 06:00,4.1,0,0,14.3,51,5,340,0.5,20.22186289,26.263863,73.008957
Year 1 Mar 02 07:00,3.1,0,0,14.5,47,5,340,0.4,20.06293201,26.263863,73.008957
Year 1 Mar 02 08:00,2.3,27,24,15.4,42,6,340,0.3,20.42135707,26.263863,73.008957
Year 1 Mar 02 09:00,2.2,126,267,17.3,37,7,340,0.1,21.64036606,26.263863,73.008957
Year 1 Mar 02 10:00,3.4,204,365,20.6,32,8,340,0,23.54616939,26.263863,73.008957
Year 1 Mar 02 11:00,5.1,241,496,24.2,29,8,340,0,24.93334536,26.263863,73.008957
Year 1 Mar 02 12:00,7.4,264,553,27.5,28,8,340,0,26.21687005,26.263863,73.008957
Year 1 Mar 02 13:00,8.3,247,644,29.2,27,7,340,0.3,28.08815979,26.263863,73.008957
Year 1 Mar 02 14:00,9.3,274,566,30.4,27,7,340,1.1,31.93704733,26.263863,73.008957
Year 1 Mar 02 15:00,9.3,242,587,31.1,26,6,20,1.8,37.04586114,26.263863,73.008957
Year 1 Mar 02 16:00,9.2,211,538,32.4,24,6,20,2,40.68556628,26.263863,73.008957
Year 1 Mar 02 17:00,9,183,325,32.9,23,7,20,1.8,43.50201521,26.263863,73.008957
Year 1 Mar 02 18:00,8.9,98,137,32.7,23,7,230,1.6,40.71420333,26.263863,73.008957
Year 1 Mar 02 19:00,9.6,3,2,30.7,27,7,230,1.4,30.83408277,26.263863,73.008957
Year 1 Mar 02 20:00,9.9,0,0,28.7,31,6,230,1.1,28.0081216,26.263863,73.008957
Year 1 Mar 02 21:00,10.4,0,0,26.7,36,4,230,0.9,26.35636339,26.263863,73.008957
Year 1 Mar 02 22:00,11.1,0,0,24.9,42,3,230,0.6,24.92030457,26.263863,73.008957
Year 1 Mar 02 23:00,11.3,0,0,23.3,47,2,230,0.4,24.02074744,26.263863,73.008957
Year 1 Mar 03 00:00,11.4,0,0,21.7,52,0,230,0.1,23.40318307,26.263863,73.008957
Year 1 Mar 03 01:00,11,0,0,20.4,55,0,230,0,22.84633114,26.263863,73.008957
Year 1 Mar 03 02:00,10,0,0,19.3,55,0,230,0,22.625396,26.263863,73.008957
Year 1 Mar 03 03:00,9.3,0,0,18.2,56,0,230,0,22.0681492,26.263863,73.008957
Year 1 Mar 03 04:00,8.3,0,0,17.2,56,1,230,0,21.70298502,26.263863,73.008957
Year 1 Mar 03 05:00,7.3,0,0,16.1,56,3,230,0,20.10518345,26.263863,73.008957
Year 1 Mar 03 06:00,6.6,0,0,15,57,5,230,0,18.89383248,26.263863,73.008957
Year 1 Mar 03 07:00,6.8,0,0,15.2,57,6,230,0,18.39504975,26.263863,73.008957
Year 1 Mar 03 08:00,7,26,19,16,55,6,230,0,18.66222356,26.263863,73.008957
Year 1 Mar 03 09:00,6.6,123,320,17.7,48,6,230,0,21.12580687,26.263863,73.008957
Year 1 Mar 03 10:00,4.5,170,537,20.4,35,6,230,0,23.39033793,26.263863,73.008957
Year 1 Mar 03 11:00,1.9,184,685,23.5,24,6,230,0,25.73622352,26.263863,73.008957
Year 1 Mar 03 12:00,-1,185,770,26.7,16,6,230,0,28.09543321,26.263863,73.008957
Year 1 Mar 03 13:00,-1.8,186,799,29.1,13,6,230,0.4,30.66226284,26.263863,73.008957
Year 1 Mar 03 14:00,-2.5,234,672,31.1,11,7,230,1.3,36.10318437,26.263863,73.008957
Year 1 Mar 03 15:00,-2.6,231,621,32.6,10,7,230,2.2,40.30458825,26.263863,73.008957
Year 1 Mar 03 16:00,-1.9,247,409,33.7,10,8,230,2.6,42.58728038,26.263863,73.008957
Year 1 Mar 03 17:00,-1.7,191,271,34,10,8,230,2.6,44.89388876,26.263863,73.008957
Year 1 Mar 03 18:00,0.1,95,86,33.4,12,8,250,2.6,38.24163363,26.263863,73.008957
Year 1 Mar 03 19:00,2.7,3,2,31.5,16,7,250,2.3,32.30976666,26.263863,73.008957
Year 1 Mar 03 20:00,3.3,0,0,30.2,18,7,250,1.8,28.45826018,26.263863,73.008957
Year 1 Mar 03 21:00,5.1,0,0,28.1,23,6,230,1.3,26.76294617,26.263863,73.008957
Year 1 Mar 03 22:00,5.7,0,0,26.8,26,5,230,1,25.16553573,26.263863,73.008957
Year 1 Mar 03 23:00,5.5,0,0,26.5,26,5,230,1.1,24.13590745,26.263863,73.008957
Year 1 Mar 04 00:00,5.2,0,0,26.2,26,5,230,1.2,23.19507628,26.263863,73.008957
Year 1 Mar 04 01:00,4.3,0,0,25.8,25,4,230,1.3,22.56701367,26.263863,73.008957
Year 1 Mar 04 02:00,4.1,0,0,25.5,25,4,230,1.4,21.80301979,26.263863,73.008957
Year 1 Mar 04 03:00,3.8,0,0,25.2,25,4,270,1.5,21.04179591,26.263863,73.008957
Year 1 Mar 04 04:00,4.1,0,0,24.2,27,4,270,1.6,20.01024176,26.263863,73.008957
Year 1 Mar 04 05:00,5.1,0,0,22.6,32,4,270,1.8,19.12812938,26.263863,73.008957
Year 1 Mar 04 06:00,6.5,0,0,21,39,4,50,2,18.01809629,26.263863,73.008957
Year 1 Mar 04 07:00,6.9,0,0,20.2,42,4,50,2.1,17.51139494,26.263863,73.008957
Year 1 Mar 04 08:00,7.7,34,47,19.6,46,3,50,1.8,17.72271194,26.263863,73.008957
Year 1 Mar 04 09:00,8.4,107,473,20.1,47,1,50,1.3,19.92909383,26.263863,73.008957
Year 1 Mar 04 10:00,9.2,114,782,23.2,41,0,50,1.1,22.43313126,26.263863,73.008957
Year 1 Mar 04 11:00,9.4,99,962,26.1,35,1,50,1.3,24.43597678,26.263863,73.008957
Year 1 Mar 04 12:00,9.1,98,1014,28.3,30,2,90,1.4,26.28619648,26.263863,73.008957
Year 1 Mar 04 13:00,8.1,229,692,25.1,34,3,90,1.6,28.43960407,26.263863,73.008957
Year 1 Mar 04 14:00,6.5,226,694,27.1,27,3,90,1.8,34.1879667,26.263863,73.008957
Year 1 Mar 04 15:00,5.3,198,715,29.1,22,3,90,2,41.00865073,26.263863,73.008957
Year 1 Mar 04 16:00,4.8,113,883,30.2,20,3,90,2.3,45.01023689,26.263863,73.008957
Year 1 Mar 04 17:00,5.1,103,758,30.6,20,2,90,2.5,45.86712656,26.263863,73.008957
Year 1 Mar 04 18:00,4.6,83,445,30.9,19,2,90,2.7,36.58228041,26.263863,73.008957
Year 1 Mar 04 19:00,5.4,8,24,30.1,21,2,90,2.9,32.70324668,26.263863,73.008957
Year 1 Mar 04 20:00,5.8,0,0,28.3,24,1,90,3.1,27.58544465,26.263863,73.008957
Year 1 Mar 04 21:00,6.5,0,0,26.5,28,1,90,3.3,25.74275965,26.263863,73.008957
Year 1 Mar 04 22:00,5.8,0,0,25.6,28,0,90,3.6,24.23850122,26.263863,73.008957
Year 1 Mar 04 23:00,4.2,0,0,25.6,25,0,90,3.8,23.40426465,26.263863,73.008957
Year 1 Mar 05 00:00,2.4,0,0,25.6,22,0,360,4,22.65287169,26.263863,73.008957
Year 1 Mar 05 01:00,3.3,0,0,25.2,24,0,360,4.1,22.04509968,26.263863,73.008957
Year 1 Mar 05 02:00,3.6,0,0,24.3,26,0,360,4.1,21.30625965,26.263863,73.008957
Year 1 Mar 05 03:00,4.4,0,0,23.4,29,0,360,4.1,20.81328545,26.263863,73.008957
Year 1 Mar 05 04:00,5.1,0,0,22.6,32,0,360,4.1,20.14993476,26.263863,73.008957
Year 1 Mar 05 05:00,5.6,0,0,21.7,35,0,360,4.1,18.56411886,26.263863,73.008957
Year 1 Mar 05 06:00,6.4,0,0,20.8,39,0,50,4.1,17.31337248,26.263863,73.008957
Year 1 Mar 05 07:00,7.3,0,0,20.3,43,0,50,3.6,16.96312259,26.263863,73.008957
Year 1 Mar 05 08:00,8.2,39,92,20.2,46,2,50,2.5,17.52913707,26.263863,73.008957
Year 1 Mar 05 09:00,8.7,115,421,20.4,47,3,50,1.5,19.97904695,26.263863,73.008957
Year 1 Mar 05 10:00,8.9,178,513,21.3,45,4,50,1,22.14740476,26.263863,73.008957
Year 1 Mar 05 11:00,8.8,211,606,22.7,41,4,50,1,24.37051494,26.263863,73.008957
Year 1 Mar 05 12:00,8.4,219,682,24.4,36,4,50,1,26.16354188,26.263863,73.008957
Year 1 Mar 05 13:00,7.7,199,769,26.2,31,4,50,1,28.3690353,26.263863,73.008957
Year 1 Mar 05 14:00,7,180,810,27.7,27,4,50,1,34.17118219,26.263863,73.008957
Year 1 Mar 05 15:00,6.8,169,796,28.7,25,4,140,1,41.60431606,26.263863,73.008957
Year 1 Mar 05 16:00,6.3,173,680,28.9,24,4,140,0.9,46.07348176,26.263863,73.008957
Year 1 Mar 05 17:00,6,179,370,29.2,23,6,140,0.8,47.99453112,26.263863,73.008957
Year 1 Mar 05 18:00,5.5,100,118,29.4,22,7,50,0.6,42.2146254,26.263863,73.008957
Year 1 Mar 05 19:00,5.5,3,2,29.4,22,8,50,0.5,33.43394637,26.263863,73.008957
Year 1 Mar 05 20:00,5.5,0,0,29.4,22,8,50,0.5,28.59438638,26.263863,73.008957
Year 1 Mar 05 21:00,7.7,0,0,26.7,30,8,50,0.5,26.45584694,26.263863,73.008957
Year 1 Mar 05 22:00,8.9,0,0,24.1,38,8,50,0.9,25.26230185,26.263863,73.008957
Year 1 Mar 05 23:00,6,0,0,24.2,31,8,50,1.8,24.14952517,26.263863,73.008957
Year 1 Mar 06 00:00,3.1,0,0,24.3,25,8,50,2.7,23.03662309,26.263863,73.008957
Year 1 Mar 06 01:00,2.1,0,0,23.8,24,7,50,2.9,22.20197986,26.263863,73.008957
Year 1 Mar 06 02:00,2.2,0,0,22.6,26,7,50,2.6,20.99531309,26.263863,73.008957
Year 1 Mar 06 03:00,2.8,0,0,21.5,29,6,50,2.2,19.88212829,26.263863,73.008957
Year 1 Mar 06 04:00,3.1,0,0,20.3,32,6,50,1.9,18.62485029,26.263863,73.008957
Year 1 Mar 06 05:00,3.3,0,0,19.1,35,5,50,1.5,18.25462931,26.263863,73.008957
Year 1 Mar 06 06:00,3.9,0,0,18,39,5,50,1.2,17.9464469,26.263863,73.008957
Year 1 Mar 06 07:00,3.8,0,0,17.1,41,5,50,1.1,17.4316465,26.263863,73.008957
Year 1 Mar 06 08:00,3.9,30,22,17.2,41,6,50,1.3,17.46197401,26.263863,73.008957
Year 1 Mar 06 09:00,4.2,138,182,17.9,40,7,50,1.4,19.65929622,26.263863,73.008957
Year 1 Mar 06 10:00,4.9,229,253,20,37,8,50,1.5,21.70582395,26.263863,73.008957
Year 1 Mar 06 11:00,5.8,289,348,22.4,34,8,50,1.5,24.4124909,26.263863,73.008957
Year 1 Mar 06 12:00,6.8,315,427,25.1,31,8,140,1.5,26.44856024,26.263863,73.008957
Year 1 Mar 06 13:00,7,380,297,26.5,29,9,140,1.5,28.83057257,26.263863,73.008957
Year 1 Mar 06 14:00,8,389,246,27,30,9,140,1.4,35.55216225,26.263863,73.008957
Year 1 Mar 06 15:00,8.3,364,168,26.8,31,9,140,1.3,43.63445671,26.263863,73.008957
Year 1 Mar 06 16:00,8.9,293,112,26.5,33,9,140,1.2,46.59224971,26.263863,73.008957
Year 1 Mar 06 17:00,8.8,196,81,26.9,32,9,140,1.1,46.72468185,26.263863,73.008957
Year 1 Mar 06 18:00,8.7,86,37,27.9,30,9,50,1,43.31076743,26.263863,73.008957
Year 1 Mar 06 19:00,8,4,3,28.9,27,9,50,1,34.60546966,26.263863,73.008957
Year 1 Mar 06 20:00,8.8,0,0,28,30,9,50,1,30.07701383,26.263863,73.008957
Year 1 Mar 06 21:00,9.2,0,0,24,39,8,50,0.5,27.97211171,26.263863,73.008957
Year 1 Mar 06 22:00,9.7,0,0,19.5,53,6,50,0,26.41172012,26.263863,73.008957
Year 1 Mar 06 23:00,9.6,0,0,18.5,56,5,50,0,25.4493174,26.263863,73.008957
Year 1 Mar 07 00:00,9.4,0,0,17.5,59,3,50,0,24.31361515,26.263863,73.008957
Year 1 Mar 07 01:00,8.9,0,0,16.5,61,3,50,0,23.2760808,26.263863,73.008957
Year 1 Mar 07 02:00,7.9,0,0,15.6,60,3,50,0,22.04229844,26.263863,73.008957
Year 1 Mar 07 03:00,6.8,0,0,14.7,59,3,50,0,21.27569057,26.263863,73.008957
Year 1 Mar 07 04:00,6.1,0,0,14.5,57,4,50,0,20.25152381,26.263863,73.008957
Year 1 Mar 07 05:00,5.8,0,0,15,54,5,50,0,19.33067283,26.263863,73.008957
Year 1 Mar 07 06:00,5,0,0,16,48,5,50,0,18.64876667,26.263863,73.008957
Year 1 Mar 07 07:00,4.7,0,0,16.6,45,6,50,0,18.41451635,26.263863,73.008957
Year 1 Mar 07 08:00,4.4,35,33,17,43,7,50,0,19.31183862,26.263863,73.008957
Year 1 Mar 07 09:00,4.1,139,203,17.1,42,7,50,0,21.83526966,26.263863,73.008957
Year 1 Mar 07 10:00,3.9,239,146,16.5,43,8,50,0,24.45019671,26.263863,73.008957
Year 1 Mar 07 11:00,3.9,324,135,16.5,43,8,50,0,26.33324703,26.263863,73.008957
Year 1 Mar 07 12:00,4.1,384,147,17.4,41,8,50,0,28.38874658,26.263863,73.008957
Year 1 Mar 07 13:00,4,293,542,20.8,33,6,50,0.5,31.02055681,26.263863,73.008957
Year 1 Mar 07 14:00,3.6,116,980,24.9,25,4,180,1.6,37.94318051,26.263863,73.008957
Year 1 Mar 07 15:00,2.8,42,1192,29.5,18,1,230,1.6,42.46359175,26.263863,73.008957
Year 1 Mar 07 16:00,1.9,36,1191,31.6,15,0,230,1,44.22480691,26.263863,73.008957
Year 1 Mar 07 17:00,1.5,60,979,32.3,14,0,230,1,42.40578173,26.263863,73.008957
Year 1 Mar 07 18:00,2.6,81,494,31.4,16,0,270,1,41.62780189,26.263863,73.008957
Year 1 Mar 07 19:00,4.6,9,30,29.1,21,0,270,0.8,35.77592735,26.263863,73.008957
Year 1 Mar 07 20:00,5.7,0,0,26.8,26,0,270,0.5,29.97930724,26.263863,73.008957
Year 1 Mar 07 21:00,7.8,0,0,23.7,36,0,270,0.2,28.28880037,26.263863,73.008957
Year 1 Mar 07 22:00,8.6,0,0,21.7,43,0,270,0,26.94050007,26.263863,73.008957
Year 1 Mar 07 23:00,8.1,0,0,20.8,44,0,270,0,25.449212,26.263863,73.008957
Year 1 Mar 08 00:00,7.9,0,0,19.9,46,0,270,0,24.08657663,26.263863,73.008957
Year 1 Mar 08 01:00,7.8,0,0,19.4,47,0,270,0,23.13188776,26.263863,73.008957
Year 1 Mar 08 02:00,7.7,0,0,18.6,49,0,270,0,22.24393997,26.263863,73.008957
Year 1 Mar 08 03:00,7.7,0,0,17.1,54,0,270,0,21.36702293,26.263863,73.008957
Year 1 Mar 08 04:00,6.8,0,0,16.1,54,0,270,0,20.36349716,26.263863,73.008957
Year 1 Mar 08 05:00,4.6,0,0,15.5,48,0,270,0,20.76980375,26.263863,73.008957
Year 1 Mar 08 06:00,2.5,0,0,14.9,43,0,270,0,20.97289362,26.263863,73.008957
Year 1 Mar 08 07:00,1.6,0,0,15.4,40,0,270,0.2,20.81021872,26.263863,73.008957
Year 1 Mar 08 08:00,1.3,45,212,16.7,36,0,270,0.5,21.24111461,26.263863,73.008957
Year 1 Mar 08 09:00,1.4,75,733,18.8,31,0,360,0.8,23.3201156,26.263863,73.008957
Year 1 Mar 08 10:00,2.1,75,963,21.8,27,0,360,1,25.65412964,26.263863,73.008957
Year 1 Mar 08 11:00,3.6,74,1054,24.9,25,1,360,1,27.22140506,26.263863,73.008957
Year 1 Mar 08 12:00,4.9,82,1065,27.9,23,2,90,1,29.13514887,26.263863,73.008957
Year 1 Mar 08 13:00,6.6,90,1054,30,23,2,90,0.8,31.95194639,26.263863,73.008957
Year 1 Mar 08 14:00,6.6,86,1063,31.6,21,0,90,0.3,39.98500522,26.263863,73.008957
Year 1 Mar 08 15:00,5.2,101,996,32.6,18,0,230,0.5,47.43197634,26.263863,73.008957
Year 1 Mar 08 16:00,3.2,110,901,33.3,15,0,360,1,50.79637693,26.263863,73.008957
Year 1 Mar 08 17:00,1.3,115,710,33.3,13,1,360,1,50.83629546,26.263863,73.008957
Year 1 Mar 08 18:00,0.6,97,331,32.4,13,3,50,1,42.85902247,26.263863,73.008957
Year 1 Mar 08 19:00,2.4,8,13,30,17,3,50,1.1,39.01875224,26.263863,73.008957
Year 1 Mar 08 20:00,4.4,0,0,27.3,23,2,50,1.3,33.60677046,26.263863,73.008957
Year 1 Mar 08 21:00,7.2,0,0,24,34,0,320,1.4,31.74406079,26.263863,73.008957
Year 1 Mar 08 22:00,8.1,0,0,21.9,41,0,320,1.3,30.14222387,26.263863,73.008957
Year 1 Mar 08 23:00,6.8,0,0,20.9,40,0,320,0.8,28.48408405,26.263863,73.008957
Year 1 Mar 09 00:00,5.9,0,0,19.9,40,0,320,0.3,27.08866128,26.263863,73.008957
Year 1 Mar 09 01:00,5.1,0,0,19.4,39,0,320,2,25.91123743,26.263863,73.008957
Year 1 Mar 09 02:00,4.7,0,0,19.3,38,0,320,3.9,24.92121328,26.263863,73.008957
Year 1 Mar 09 03:00,4,0,0,19,37,0,320,3.5,24.17713424,26.263863,73.008957
Year 1 Mar 09 04:00,3,0,0,18.7,35,0,320,3.1,23.47554569,26.263863,73.008957
Year 1 Mar 09 05:00,2.3,0,0,18.4,34,0,320,2.7,23.56353313,26.263863,73.008957
Year 1 Mar 09 06:00,1.7,0,0,18.1,34,0,50,2.3,23.09610286,26.263863,73.008957
Year 1 Mar 09 07:00,-0.1,0,0,18.2,29,0,50,1.9,22.35803764,26.263863,73.008957
Year 1 Mar 09 08:00,-0.8,46,227,19,26,0,50,1.6,22.59963679,26.263863,73.008957
Year 1 Mar 09 09:00,-1.7,83,691,20.5,22,0,50,1.2,24.48964464,26.263863,73.008957
Year 1 Mar 09 10:00,-1.3,84,926,23.4,19,0,50,0.9,26.77377964,26.263863,73.008957
Year 1 Mar 09 11:00,-0.4,73,1060,26.6,17,0,50,0.8,28.55074483,26.263863,73.008957
Year 1 Mar 09 12:00,0.4,62,1130,29.7,15,0,90,0.6,30.51568597,26.263863,73.008957
Year 1 Mar 09 13:00,0.9,69,1117,31.5,14,0,90,0.7,33.0903697,26.263863,73.008957
Year 1 Mar 09 14:00,1.9,86,1063,32.8,14,0,90,1,38.71689658,26.263863,73.008957
Year 1 Mar 09 15:00,2.4,110,968,33.4,14,0,270,1.3,43.30143122,26.263863,73.008957
Year 1 Mar 09 16:00,3.9,118,873,34.1,15,0,270,1.3,47.31642934,26.263863,73.008957
Year 1 Mar 09 17:00,5.7,128,652,34.2,17,2,270,0.8,49.16709651,26.263863,73.008957
Year 1 Mar 09 18:00,7.5,102,277,33.5,20,4,270,0.3,46.59511351,26.263863,73.008957
Year 1 Mar 09 19:00,8.8,5,3,31.2,25,5,270,0,38.27198685,26.263863,73.008957
Year 1 Mar 09 20:00,9.7,0,0,28.5,31,5,270,0,33.81363848,26.263863,73.008957
Year 1 Mar 09 21:00,10.3,0,0,25.2,39,5,270,0,32.22984675,26.263863,73.008957
Year 1 Mar 09 22:00,11.2,0,0,22.8,48,4,270,0,31.07358061,26.263863,73.008957
Year 1 Mar 09 23:00,10.1,0,0,21.6,48,4,270,0.1,30.12557022,26.263863,73.008957
Year 1 Mar 10 00:00,8.9,0,0,20.3,48,4,270,0.1,29.12214408,26.263863,73.008957
Year 1 Mar 10 01:00,8.6,0,0,19.6,49,4,270,0.2,27.94271355,26.263863,73.008957
Year 1 Mar 10 02:00,7.9,0,0,19.2,48,4,270,0.3,27.03465528,26.263863,73.008957
Year 1 Mar 10 03:00,7.4,0,0,18.6,48,4,270,0.3,26.17886128,26.263863,73.008957
Year 1 Mar 10 04:00,6.6,0,0,18.1,47,4,270,0.4,25.47733494,26.263863,73.008957
Year 1 Mar 10 05:00,5.8,0,0,17.5,46,4,270,0.4,24.79488083,26.263863,73.008957
Year 1 Mar 10 06:00,5,0,0,17,45,4,50,0.5,24.11471847,26.263863,73.008957
Year 1 Mar 10 07:00,4,0,0,17.7,40,3,50,0.6,23.75836403,26.263863,73.008957
Year 1 Mar 10 08:00,3.3,48,213,19,35,2,50,0.8,23.60078338,26.263863,73.008957
Year 1 Mar 10 09:00,2.7,77,734,20.8,30,0,50,0.9,25.32419807,26.263863,73.008957
Year 1 Mar 10 10:00,2.9,89,907,22.8,27,0,50,1.1,26.9515634,26.263863,73.008957
Year 1 Mar 10 11:00,3.8,95,986,25.1,25,0,50,1.3,28.73722604,26.263863,73.008957
Year 1 Mar 10 12:00,5.1,107,994,27.4,24,1,50,1.5,30.30344858,26.263863,73.008957
Year 1 Mar 10 13:00,6.4,96,1040,29.7,23,1,50,1.6,32.42322696,26.263863,73.008957
Year 1 Mar 10 14:00,8.3,97,1033,32,23,2,50,1.8,38.59858292,26.263863,73.008957
Year 1 Mar 10 15:00,9.2,90,1031,33.9,22,2,50,2,43.09842967,26.263863,73.008957
Year 1 Mar 10 16:00,10.2,113,892,35.1,22,3,50,2.2,49.50408314,26.263863,73.008957
Year 1 Mar 10 17:00,10.4,132,637,35.4,22,4,50,2.4,50.98639369,26.263863,73.008957
Year 1 Mar 10 18:00,10.4,100,311,34.5,23,4,50,2.5,46.35501617,26.263863,73.008957
Year 1 Mar 10 19:00,10.1,8,12,32,26,4,50,2.2,39.78639149,26.263863,73.008957
Year 1 Mar 10 20:00,9.3,0,0,29.2,29,4,50,1.3,33.76450966,26.263863,73.008957
Year 1 Mar 10 21:00,9.5,0,0,25.7,36,3,50,0.4,31.97991613,26.263863,73.008957
Year 1 Mar 10 22:00,9.4,0,0,23.4,41,3,50,0,30.36633566,26.263863,73.008957
Year 1 Mar 10 23:00,9.1,0,0,22.3,43,3,50,0,29.32831832,26.263863,73.008957
Year 1 Mar 11 00:00,9.1,0,0,21.2,46,3,50,0,28.28451369,26.263863,73.008957
Year 1 Mar 11 01:00,8.5,0,0,20.2,47,3,50,0,27.62732465,26.263863,73.008957
Year 1 Mar 11 02:00,7.4,0,0,19.3,46,3,50,0,26.95523911,26.263863,73.008957
Year 1 Mar 11 03:00,6.3,0,0,18.4,45,3,50,0,26.65528242,26.263863,73.008957
Year 1 Mar 11 04:00,5.3,0,0,17.7,44,4,50,0,25.87758983,26.263863,73.008957
Year 1 Mar 11 05:00,4.6,0,0,17.2,43,4,50,0,24.58262736,26.263863,73.008957
Year 1 Mar 11 06:00,3.8,0,0,16.7,42,4,50,0,24.02797843,26.263863,73.008957
Year 1 Mar 11 07:00,3.9,0,0,17.2,41,4,50,0,23.80519031,26.263863,73.008957
Year 1 Mar 11 08:00,4.3,49,144,18.5,39,4,50,0,24.42850758,26.263863,73.008957
Year 1 Mar 11 09:00,4.6,116,481,20.6,35,5,50,0,25.96700422,26.263863,73.008957
Year 1 Mar 11 10:00,3.7,160,622,23.8,27,6,50,0.3,27.45331716,26.263863,73.008957
Year 1 Mar 11 11:00,2.4,166,763,27.2,20,6,50,0.8,29.07360148,26.263863,73.008957
Year 1 Mar 11 12:00,-0.1,166,833,30.4,14,6,230,1.3,30.38561814,26.263863,73.008957
Year 1 Mar 11 13:00,-1.5,180,823,32.5,11,6,230,1.7,32.05371052,26.263863,73.008957
Year 1 Mar 11 14:00,-2.8,197,776,34.2,9,6,230,2,38.19129435,26.263863,73.008957
Year 1 Mar 11 15:00,-2.1,212,690,35.2,9,6,270,2.4,43.15313575,26.263863,73.008957
Year 1 Mar 11 16:00,-0.3,203,592,36.1,10,6,270,2.4,47.94904777,26.263863,73.008957
Year 1 Mar 11 17:00,2.2,193,322,36,12,7,270,2,49.03256194,26.263863,73.008957
Year 1 Mar 11 18:00,5.5,106,119,35,16,7,230,1.7,44.91646401,26.263863,73.008957
Year 1 Mar 11 19:00,8,5,3,32.4,22,7,230,1.3,38.43614192,26.263863,73.008957
Year 1 Mar 11 20:00,9.8,0,0,30.4,28,6,230,0.8,33.44807986,26.263863,73.008957
Year 1 Mar 11 21:00,11.5,0,0,27.5,37,4,230,0.3,31.71613774,26.263863,73.008957
Year 1 Mar 11 22:00,12,0,0,25.9,42,4,230,0,30.19669892,26.263863,73.008957
Year 1 Mar 11 23:00,11.4,0,0,25.6,41,4,230,0,29.05146859,26.263863,73.008957
Year 1 Mar 12 00:00,11.1,0,0,25.3,41,4,230,0,28.33667635,26.263863,73.008957
Year 1 Mar 12 01:00,10.5,0,0,25.1,40,4,230,0,27.43105149,26.263863,73.008957
Year 1 Mar 12 02:00,10.3,0,0,24.8,40,4,230,0,26.31740335,26.263863,73.008957
Year 1 Mar 12 03:00,9.6,0,0,24.5,39,4,230,0,25.50942083,26.263863,73.008957
Year 1 Mar 12 04:00,8.9,0,0,23.7,39,4,230,0,24.66550397,26.263863,73.008957
Year 1 Mar 12 05:00,8.3,0,0,22.2,41,4,230,0,23.6225671,26.263863,73.008957
Year 1 Mar 12 06:00,7.7,0,0,20.7,43,4,230,0,22.81657277,26.263863,73.008957
