Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Dec 04 11:00,0.4,197,493,21,26,7,50,0,21.22359937,26.263863,73.008957
Year 1 Dec 04 12:00,6.3,164,724,25.6,29,6,50,0,23.1669607,26.263863,73.008957
Year 1 Dec 04 13:00,5.4,149,799,26.4,26,5,50,0.2,27.13437654,26.263863,73.008957
Year 1 Dec 04 14:00,3.5,140,804,26.9,22,5,50,0.5,34.65174733,26.263863,73.008957
Year 1 Dec 04 15:00,2.8,144,700,26.9,21,4,50,0.8,38.56941415,26.263863,73.008957
Year 1 Dec 04 16:00,2.8,113,647,26.9,21,4,50,0.8,39.27329416,26.263863,73.008957
Year 1 Dec 04 17:00,2.9,78,462,27,21,4,50,0.5,35.71361917,26.263863,73.008957
Year 1 Dec 04 18:00,0.5,10,272,24,21,4,50,0.2,27.69837854,26.263863,73.008957
Year 1 Dec 04 19:00,1.7,0,0,21.4,27,4,50,0,25.21838943,26.263863,73.008957
Year 1 Dec 04 20:00,1.4,0,0,20.4,28,3,50,0,23.40291668,26.263863,73.008957
Year 1 Dec 04 21:00,1.9,0,0,18.9,32,2,50,0,21.9185532,26.263863,73.008957
Year 1 Dec 04 22:00,2.6,0,0,17.4,37,2,50,0,20.78106634,26.263863,73.008957
Year 1 Dec 04 23:00,2.6,0,0,16.9,39,1,50,0,19.74071161,26.263863,73.008957
Year 1 Dec 05 00:00,2.1,0,0,16.4,38,0,50,0,18.8422424,26.263863,73.008957
Year 1 Dec 05 01:00,3.3,0,0,18.2,37,0,50,0,18.118357,26.263863,73.008957
Year 1 Dec 05 02:00,3.2,0,0,18.5,36,0,50,0,17.53295853,26.263863,73.008957
Year 1 Dec 05 03:00,-1.1,0,0,18,27,0,50,0,17.18877286,26.263863,73.008957
Year 1 Dec 05 04:00,-1.3,0,0,17.7,27,0,50,0.2,16.97447882,26.263863,73.008957
Year 1 Dec 05 05:00,2,0,0,16.3,38,0,50,0.5,15.38070296,26.263863,73.008957
Year 1 Dec 05 06:00,1.9,0,0,15,41,0,360,0.8,14.23050344,26.263863,73.008957
Year 1 Dec 05 07:00,2.5,0,0,14.5,45,0,360,0.8,13.89733712,26.263863,73.008957
Year 1 Dec 05 08:00,2.6,29,295,14.6,45,0,360,0.5,14.19914483,26.263863,73.008957
Year 1 Dec 05 09:00,1.8,69,589,16,39,0,360,0.2,16.09472922,26.263863,73.008957
Year 1 Dec 05 10:00,3.3,81,839,20,33,0,360,0,18.55118555,26.263863,73.008957
Year 1 Dec 05 11:00,4.1,87,941,23,29,0,360,0,21.23103943,26.263863,73.008957
Year 1 Dec 05 12:00,3.1,54,1123,27.2,21,0,360,0,23.50826978,26.263863,73.008957
Year 1 Dec 05 13:00,0.8,61,1107,29,16,0,360,0,27.21006769,26.263863,73.008957
Year 1 Dec 05 14:00,-2.5,76,1033,28.2,13,0,360,0,33.57123628,26.263863,73.008957
Year 1 Dec 05 15:00,-3.2,100,881,28.5,12,0,360,0,37.84633313,26.263863,73.008957
Year 1 Dec 05 16:00,-3.2,89,780,28.5,12,0,360,0,36.50764245,26.263863,73.008957
Year 1 Dec 05 17:00,-3.2,66,588,28.5,12,2,360,0,30.84926407,26.263863,73.008957
Year 1 Dec 05 18:00,-0.9,11,269,24,19,3,360,0,26.19854751,26.263863,73.008957
Year 1 Dec 05 19:00,1,0,0,20.5,28,3,360,0,24.11897834,26.263863,73.008957
Year 1 Dec 05 20:00,2,0,0,19,32,3,360,0,22.22893944,26.263863,73.008957
Year 1 Dec 05 21:00,2.4,0,0,18,35,3,360,0,20.73697208,26.263863,73.008957
Year 1 Dec 05 22:00,1.9,0,0,21,28,2,360,0,19.57616974,26.263863,73.008957
Year 1 Dec 05 23:00,-0.3,0,0,21,24,1,360,0,18.79567831,26.263863,73.008957
Year 1 Dec 06 00:00,-0.3,0,0,21,24,0,360,0,17.86745217,26.263863,73.008957
Year 1 Dec 06 01:00,-0.7,0,0,20.5,24,0,360,0,16.85481524,26.263863,73.008957
Year 1 Dec 06 02:00,-2,0,0,18,25,0,360,0,15.88447945,26.263863,73.008957
Year 1 Dec 06 03:00,-2,0,0,18,25,0,360,0,15.25654944,26.263863,73.008957
Year 1 Dec 06 04:00,-1.6,0,0,18,26,0,360,0,14.59653454,26.263863,73.008957
Year 1 Dec 06 05:00,-1.6,0,0,18,26,0,360,0,13.80563637,26.263863,73.008957
Year 1 Dec 06 06:00,-2.6,0,0,16,28,2,20,0.8,13.41353173,26.263863,73.008957
Year 1 Dec 06 07:00,-1.8,0,0,16,29,5,20,1.3,13.2370005,26.263863,73.008957
Year 1 Dec 06 08:00,-1.4,26,70,15,32,7,20,1,14.09905534,26.263863,73.008957
