Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 23 10:00,16.25,1100,2.825,33.9,50.51194683,98.48897802,4.175,34.43361376,270,22.7196,75.8577,34.4,802,14,1100,6,11
Year 1 Apr 23 11:00,52,1067,3.075,35.45,63.92617912,109.7770651,4.8,36.22185173,270,22.7196,75.8577,35.8,970,13,1100,6,32
Year 1 Apr 23 12:00,95.75,1001,3.475,36.55,75.57754396,137.5460059,5.15,37.57492096,270,22.7196,75.8577,36.8,1004,13,968,6,112
Year 1 Apr 23 13:00,74.5,1048,3.525,37.325,78.09290571,203.0720096,5.725,40.09430286,270,22.7196,75.8577,37.5,1172,12,1100,6,47
Year 1 Apr 23 14:00,196.5,795.5,3.725,38.025,68.2838378,243.8700818,6.05,46.09092922,270,22.7196,75.8577,38.2,1024,12,892,6,157
Year 1 Apr 23 15:00,264.5,602.75,3.575,38.425,55.17913242,258.3907722,6.85,50.24924029,270,22.7196,75.8577,38.5,774,11,506,6,315
Year 1 Apr 23 16:00,123,825.5,3.65,38.35,41.47597966,266.3658528,7.325,54.67443537,270,22.7196,75.8577,38.3,814,12,893,6,113
Year 1 Apr 23 17:00,138.75,615.5,3.4,37.475,27.65145465,272.3297607,7.7,54.09732642,270,22.7196,75.8577,37.2,536,12,623,6,153
Year 1 Apr 23 18:00,83.25,453.5,3.3,35.625,13.87760027,277.7111202,7.05,51.2637628,270,22.7196,75.8577,35.1,339,14,593,5,96
Year 1 Apr 23 19:00,22.5,17.5,3.225,33,0.279694267,283.2380621,5.975,40.25466469,270,22.7196,75.8577,32.3,52,16,35,5,45
Year 1 Apr 23 20:00,0,0,3.275,30.125,-12.98942198,289.5191271,4.35,35.71729096,270,22.7196,75.8577,29.4,0,19,0,3,0
Year 1 Apr 23 21:00,0,0,3.45,27.675,-25.6848353,297.311788,3.075,33.44842453,270,22.7196,75.8577,27.1,0,22,0,2,0
Year 1 Apr 23 22:00,0,0,4.1,26.2,-37.35746383,307.7687907,1.975,31.8501103,270,22.7196,75.8577,25.9,0,25,0,1,0
Year 1 Apr 23 23:00,0,0,4.75,25.825,-47.13707708,322.6152837,1.7,30.88380287,270,22.7196,75.8577,25.8,0,26,0,0,0
Year 1 Apr 24 00:00,0,0,5.8,26.325,-53.46452098,343.4011706,1.625,30.41994014,270,22.7196,75.8577,26.5,0,27,0,0,0
Year 1 Apr 24 01:00,0,0,6.625,27.025,-54.14699953,8.267246186,2.275,30.0625604,270,22.7196,75.8577,27.2,0,27,0,0,0
Year 1 Apr 24 02:00,0,0,7.025,27.35,-49.48158819,30.76540543,3.1,29.78925703,270,22.7196,75.8577,27.4,0,28,0,0,0
Year 1 Apr 24 03:00,0,0,6.575,27.1,-40.71464705,47.47421751,4.5,29.102831,270,22.7196,75.8577,27,0,27,0,2,0
Year 1 Apr 24 04:00,0,0,5.725,26.475,-29.60160111,59.19786698,5.425,28.40268211,270,22.7196,75.8577,26.3,0,26,0,5,0
Year 1 Apr 24 05:00,0,0,8.05,23.975,-17.22080951,67.74484089,5.6,26.96522737,270,22.7196,75.8577,23.2,0,40,0,0,0
Year 1 Apr 24 06:00,0,0,9.875,24.25,-4.135436808,74.4410839,4.85,26.50456593,270,22.7196,75.8577,24.6,0,40,0,0,0
Year 1 Apr 24 07:00,5.25,229.25,10.95,26.325,9.354888809,80.14305214,4.75,27.52012085,270,22.7196,75.8577,26.9,0,38,0,0,0
Year 1 Apr 24 08:00,21,961.5,11.65,28.925,23.07370404,85.47816879,4.95,29.8360455,270,22.7196,75.8577,29.6,224,34,917,0,21
Year 1 Apr 24 09:00,31.75,1064.75,11.35,31.85,36.89352397,91.08607167,6.125,32.19890769,270,22.7196,75.8577,32.6,511,27,1095,0,21
Year 1 Apr 24 10:00,54.5,1005.5,10.45,34.4,50.67468711,98.02178137,7.175,34.8808126,270,22.7196,75.8577,35,696,22,974,0,64
Year 1 Apr 24 11:00,58.5,1041.75,8.1,36.5,64.12004627,109.1424029,8.075,36.92148363,270,22.7196,75.8577,37,984,16,1100,0,26
Year 1 Apr 24 12:00,123.25,925.25,5.3,37.825,75.85927144,136.8553052,7.85,38.59129438,270,22.7196,75.8577,38.1,957,13,867,0,156
Year 1 Apr 24 13:00,50.25,1064.75,2.05,38.625,78.37357362,203.8304304,7.25,40.66157277,270,22.7196,75.8577,38.8,1200,10,1100,0,25
Year 1 Apr 24 14:00,120,966,1.125,38.95,68.41930663,244.7165932,6.35,46.84978521,270,22.7196,75.8577,39,1060,8,959,0,126
Year 1 Apr 24 15:00,115.25,934.5,2,39,55.26177382,258.9676846,6.4,52.43314514,270,22.7196,75.8577,39,998,7,987,0,102
Year 1 Apr 24 16:00,158.5,724.25,2.3,38.55,41.54301528,266.8084232,6.725,54.84949202,270,22.7196,75.8577,38.4,766,7,777,0,155
Year 1 Apr 24 17:00,161.5,513.75,1.925,37.5,27.71762773,272.7035588,7.55,52.88546317,270,22.7196,75.8577,37.2,518,8,566,0,169
Year 1 Apr 24 18:00,118.5,294,0.9,35.7,13.95142621,278.0501667,7.65,48.06141208,270,22.7196,75.8577,35.2,285,10,357,0,139
Year 1 Apr 24 19:00,28.5,52.5,0.525,33.475,0.368161416,283.5633971,7.45,40.46305261,270,22.7196,75.8577,32.9,76,12,105,0,57
Year 1 Apr 24 20:00,0,0,0.125,31.025,-12.87874874,289.8457987,6.425,35.09990234,270,22.7196,75.8577,30.4,0,14,0,0,0
Year 1 Apr 24 21:00,0,0,0.225,28.975,-25.54229233,297.6503772,5.725,32.80998556,270,22.7196,75.8577,28.5,0,15,0,0,0
Year 1 Apr 24 22:00,0,0,0.225,27.3,-37.17019423,308.1201935,5,31.11635024,270,22.7196,75.8577,26.9,0,17,0,0,0
Year 1 Apr 24 23:00,0,0,0.35,26.225,-46.89090033,322.9499804,4.95,29.75637421,270,22.7196,75.8577,26,0,19,0,0,0
Year 1 Apr 25 00:00,0,0,1.525,25.325,-53.15741589,343.624394,4.925,28.54344887,270,22.7196,75.8577,25.1,0,22,0,0,0
Year 1 Apr 25 01:00,0,0,3.1,24.5,-53.81574028,8.267654399,5.35,27.61377955,270,22.7196,75.8577,24.3,0,26,0,0,0
Year 1 Apr 25 02:00,0,0,4.85,23.625,-49.17181737,30.58351366,5.575,26.74333309,270,22.7196,75.8577,23.4,0,31,0,0,0
Year 1 Apr 25 03:00,0,0,6.125,22.95,-40.44657953,47.21531025,5.975,25.87069033,270,22.7196,75.8577,22.8,0,35,0,0,0
Year 1 Apr 25 04:00,0,0,7.45,22.65,-29.37216383,58.92064052,5.8,25.35500371,270,22.7196,75.8577,22.6,0,39,0,0,0
Year 1 Apr 25 05:00,0,0,6.825,23.8,-17.02130013,67.465581,6,25.5283373,270,22.7196,75.8577,24.2,0,32,0,0,0
Year 1 Apr 25 06:00,0,0,7.85,24.95,-3.957873376,74.15827674,6.775,25.99953642,270,22.7196,75.8577,25.2,0,34,0,0,0
Year 1 Apr 25 07:00,5.5,248,9.05,26.775,9.517095662,79.84771756,7.375,27.17897796,270,22.7196,75.8577,27.3,2,32,0,0,2
Year 1 Apr 25 08:00,14,1019,9.375,29.175,23.22652351,85.15560568,8.1,29.43385113,270,22.7196,75.8577,29.8,238,28,992,0,16
Year 1 Apr 25 09:00,7,1100,8.5,32.2,37.04368563,90.71265096,8.075,31.97480226,270,22.7196,75.8577,33,549,22,1100,0,8
Year 1 Apr 25 10:00,3,1100,6.85,34.95,50.83251394,97.55528713,7.775,34.33249371,270,22.7196,75.8577,35.6,922,17,1100,0,4
