Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jun 23 13:00,165,905.25,17.3,33.4,85.97093266,306.4981724,273.5,11.25,35.16476415,0,22.7196,75.8577,33.6,1181,38,1100,6,54
Year 1 Jun 23 14:00,420,442.75,17.35,34.05,72.42207553,276.2123443,271,9.8,37.17528442,0,22.7196,75.8577,34.2,816,37,321,7,498
Year 1 Jun 23 15:00,234.75,685.5,16.95,34.275,58.69221893,278.1645155,270.75,7,38.06201159,0,22.7196,75.8577,34.3,940,35,808,6,186
Year 1 Jun 23 16:00,358.25,289.75,16.8,34.075,45.05043549,281.0328996,268.75,4.55,39.48254115,0,22.7196,75.8577,34,642,36,318,6,381
Year 1 Jun 23 17:00,262.25,222.25,16.575,33.4,31.55594926,284.4403044,269.5,3.1,39.25875726,0,22.7196,75.8577,33.2,426,37,205,3,290
Year 1 Jun 23 18:00,156.5,245.75,17.025,32.45,18.28658361,288.4435218,268.5,3.775,38.56811822,0,22.7196,75.8577,32.2,309,41,274,2,179
Year 1 Jun 23 19:00,66.75,120.75,17.575,31.225,5.355925425,293.2431366,270.25,5.525,35.88967909,0,22.7196,75.8577,30.9,131,45,161,2,89
Year 1 Jun 23 20:00,0,0,18.6,30.075,-7.059958442,299.1739449,270.25,7.725,31.87466201,0,22.7196,75.8577,29.8,0,52,0,2,0
Year 1 Jun 23 21:00,0,0,19.275,28.975,-18.67572183,306.7473712,273,8.75,30.47040114,0,22.7196,75.8577,28.7,0,57,0,2,0
Year 1 Jun 23 22:00,0,0,20,28.175,-29.01799962,316.68842,272.5,8.75,29.37872125,0,22.7196,75.8577,28,0,63,0,2,0
Year 1 Jun 23 23:00,0,0,20.275,27.55,-37.32082352,329.8200314,270.5,7.575,28.87578729,0,22.7196,75.8577,27.4,0,65,0,2,0
Year 1 Jun 24 00:00,0,0,20.525,27.175,-42.50271353,346.4416963,263.25,6.75,28.37348168,0,22.7196,75.8577,27.1,0,68,0,2,0
Year 1 Jun 24 01:00,0,0,20.6,26.65,-43.53612022,5.11349436,256.5,6.15,27.97334058,0,22.7196,75.8577,26.5,0,70,0,2,0
Year 1 Jun 24 02:00,0,0,20.6,26.125,-40.15309843,23.00556206,249.75,6.525,27.59020299,0,22.7196,75.8577,26,0,72,0,2,0
Year 1 Jun 24 03:00,0,0,20.45,25.4,-33.1256732,37.76846753,247.25,6.85,26.92683136,0,22.7196,75.8577,25.2,0,75,0,2,0
Year 1 Jun 24 04:00,0,0,20.475,24.9,-23.59612389,49.072103,245.5,7.35,26.29043237,0,22.7196,75.8577,24.8,0,77,0,2,0
Year 1 Jun 24 05:00,0,0,20.5,24.35,-12.48597959,57.62378519,247.25,8.1,25.75847729,0,22.7196,75.8577,24.2,0,80,0,2,0
Year 1 Jun 24 06:00,0.5,0,20.725,24.2,-0.389438437,64.22816328,251,8.375,25.3827264,0,22.7196,75.8577,24.2,0,81,0,3,0
Year 1 Jun 24 07:00,24.5,35.25,20.575,24.725,12.33441971,69.49345656,256.5,8.7,25.87744765,0,22.7196,75.8577,24.9,2,77,0,3,2
Year 1 Jun 24 08:00,93.5,278.5,20.2,26.025,25.46719906,73.82877124,267,9.25,28.76411554,0,22.7196,75.8577,26.4,130,69,141,5,92
Year 1 Jun 24 09:00,103.5,716.5,19.275,27.75,38.8711091,77.49303909,273,9.85,31.48889963,0,22.7196,75.8577,28.2,430,57,691,5,98
Year 1 Jun 24 10:00,94.25,869.75,18.325,29.625,52.45452944,80.61749251,275.5,10,32.79046518,0,22.7196,75.8577,30.1,653,49,793,3,120
