Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Mar 03 13:00,170,788.5,17.625,25.675,59.92721667,171.5637943,143.75,1.9,34.79020591,90,23.242,69.6669,26.1,858,60,0,1,137
Year 1 Mar 03 14:00,298.25,465,17.475,26.475,58.44377435,200.5287658,30.5,1.525,33.53810316,90,23.242,69.6669,26.6,766,57,0,1,269
Year 1 Mar 03 15:00,374.5,154.75,16.725,26.9,51.06944551,223.1320673,60.75,3.2,33.30539431,90,23.242,69.6669,27,509,53,0,1,386
Year 1 Mar 03 16:00,313.75,158.25,15.975,26.55,40.33231446,238.0499497,132.75,4.775,31.92633631,90,23.242,69.6669,26.4,473,52,0,1,340
Year 1 Mar 03 17:00,215.75,128.25,15.575,25.8,27.96743572,248.1431125,273.75,6.675,30.24687436,90,23.242,69.6669,25.6,296,54,0,1,235
Year 1 Mar 03 18:00,132.5,175,15.95,24.325,14.79792135,255.6335146,324,6.6,28.11744142,90,23.242,69.6669,23.9,248,62,0,1,158
Year 1 Mar 03 19:00,28,26,16.85,22.775,1.212626712,261.8013426,178.5,6.025,25.47846077,90,23.242,69.6669,22.4,66,72,0,0,56
Year 1 Mar 03 20:00,0,0,17.85,21.2,-12.57826309,267.4532156,312,4.4,23.81394559,90,23.242,69.6669,20.8,0,85,0,0,0
Year 1 Mar 03 21:00,0,0,18.325,20.35,-26.42888481,273.2698243,315.5,4.05,22.85173143,90,23.242,69.6669,20.2,0,89,0,0,0
Year 1 Mar 03 22:00,0,0,18.175,19.675,-40.18483612,280.1403031,284,3.5,22.26212395,90,23.242,69.6669,19.5,0,92,0,0,0
Year 1 Mar 03 23:00,0,0,17.5,19.425,-53.56872754,289.8460457,287.5,3.75,21.48753697,90,23.242,69.6669,19.4,0,88,0,0,0
Year 1 Mar 04 00:00,0,0,16.55,18.725,-65.77715962,307.3076946,207.5,2.7,20.88691624,90,23.242,69.6669,18.5,0,87,0,0,0
Year 1 Mar 04 01:00,0,0,15.475,17.825,-73.34238719,14.4763903,143,1.925,20.35464622,90,23.242,69.6669,17.6,0,86,0,0,0
Year 1 Mar 04 02:00,0,0,14.6,16.4,-70.87821343,34.06025063,32.75,0.45,19.83698678,90,23.242,69.6669,16,0,90,0,0,0
Year 1 Mar 04 03:00,0,0,13.65,15.025,-60.52080785,61.1622414,1.5,0.375,19.11350809,90,23.242,69.6669,14.7,0,92,0,0,0
Year 1 Mar 04 04:00,0,0,12.65,13.5,-47.68043697,74.38425209,0.5,0.2,18.40974593,90,23.242,69.6669,13.1,0,96,0,0,0
Year 1 Mar 04 05:00,0,0,13.825,14.975,-34.10626678,82.61470893,0,0.025,18.35216184,90,23.242,69.6669,15.6,0,92,0,0,0
Year 1 Mar 04 06:00,0,0,12.95,15.15,-20.29329854,88.9347816,55.5,0.45,18.06027304,90,23.242,69.6669,15,0,85,0,3,0
Year 1 Mar 04 07:00,0,0,12.65,15.525,-6.448774372,94.61521268,137,0.75,17.96422802,90,23.242,69.6669,15.7,0,82,0,6,0
Year 1 Mar 04 08:00,15.25,41.75,12.925,16.675,7.284395529,100.4107141,259.25,1.475,19.80414928,90,23.242,69.6669,17,0,78,0,7,0
Year 1 Mar 04 09:00,80.25,209.25,15.1,19.025,20.74304543,107.0230678,313.25,1.4,27.38315226,90,23.242,69.6669,19.7,92,78,0,6,61
