Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Apr 25 17:00,152,568.25,1.325,37.2,27.78354992,273.0734175,285,3.95,40.39528158,180,22.7196,75.8577,37,521,11,573,0,168
Year 1 Apr 25 18:00,92.75,468,0.975,35.875,14.02543594,278.3854081,293,4.425,38.26812446,180,22.7196,75.8577,35.5,331,11,554,0,104
Year 1 Apr 25 19:00,29.5,105,0.825,34.3,0.457086382,283.8848094,292.25,4.825,35.88361013,180,22.7196,75.8577,33.9,97,12,210,0,59
Year 1 Apr 25 20:00,0,0,1.25,32.475,-12.76748173,290.1681256,275.5,5.425,33.76716307,180,22.7196,75.8577,32,0,14,0,0,0
Year 1 Apr 25 21:00,0,0,1.7,30.95,-25.39919612,297.9837776,268.5,5.375,32.29422706,180,22.7196,75.8577,30.6,0,16,0,0,0
Year 1 Apr 25 22:00,0,0,2.1,29.55,-36.9827218,308.4649971,261.25,5.375,31.14414823,180,22.7196,75.8577,29.2,0,18,0,0,0
Year 1 Apr 25 23:00,0,0,1.9,28.45,-46.64544904,323.27642,267.25,5.1,30.13010208,180,22.7196,75.8577,28.2,0,18,0,0,0
Year 1 Apr 26 00:00,0,0,1.5,27.3,-52.85264133,343.8398605,264.75,5.375,29.03033852,180,22.7196,75.8577,27,0,19,0,0,0
Year 1 Apr 26 01:00,0,0,1.175,26.25,-53.48818309,8.265481247,264.5,5.575,28.00940506,180,22.7196,75.8577,26,0,19,0,0,0
Year 1 Apr 26 02:00,0,0,1.25,25.1,-48.86578836,30.40369887,252.25,5.975,27.05050779,180,22.7196,75.8577,24.8,0,21,0,0,0
Year 1 Apr 26 03:00,0,0,2.125,24.35,-40.18186433,46.95972545,245,5.95,26.18622115,180,22.7196,75.8577,24.2,0,24,0,0,0
Year 1 Apr 26 04:00,0,0,3.9,23.825,-29.14585251,58.64655702,229.75,6.05,25.62585126,180,22.7196,75.8577,23.7,0,29,0,0,0
Year 1 Apr 26 05:00,0,0,2.675,24.225,-16.82488488,67.18909382,258.75,5.725,25.68628343,180,22.7196,75.8577,24.4,0,23,0,0,0
Year 1 Apr 26 06:00,0,0,4.35,25.3,-3.783506672,73.87795556,255,6.35,25.88667041,180,22.7196,75.8577,25.6,0,27,0,0,0
Year 1 Apr 26 07:00,7.5,204.75,7.275,27.175,9.675897158,79.55467627,252.25,6.525,26.93510567,180,22.7196,75.8577,27.7,0,29,0,0,0
Year 1 Apr 26 08:00,26.5,889.25,9.65,29.425,23.3756154,84.83518197,249.25,6.2,29.26645217,180,22.7196,75.8577,30,215,29,819,0,30
Year 1 Apr 26 09:00,45.25,1007.5,10.35,31.875,37.18963763,90.34110808,272,4.975,32.42251089,180,22.7196,75.8577,32.5,530,26,1100,0,16
Year 1 Apr 26 10:00,126.75,778.5,9.725,34,50.98538314,97.08974154,289.75,4,36.82917438,180,22.7196,75.8577,34.5,609,22,730,0,133
