Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Feb 07 02:00,23.39,87.51,90,10,0,0,14.4,75,0,240,0.7,16.902390269759736
Year 1 Feb 07 03:00,23.39,87.51,90,9.8,0,0,13.8,77,0,245,0.7,16.341954731862985
Year 1 Feb 07 04:00,23.39,87.51,90,9.7,0,0,13.5,78,0,247,0.7,15.849623876199786
Year 1 Feb 07 05:00,23.39,87.51,90,9.6,0,0,13.2,79,0,245,0.8,15.41839507872696
Year 1 Feb 07 06:00,23.39,87.51,90,9.5,0,0,13.1,79,0,242,0.8,15.060307585654972
Year 1 Feb 07 07:00,23.39,87.51,90,10.7,20,22,14.3,79,0,240,0.9,18.964959507744653
Year 1 Feb 07 08:00,23.39,87.51,90,12.3,117,241,17.2,73,2.4,240,1,28.299378436903824
Year 1 Feb 07 09:00,23.39,87.51,90,14.1,191,407,21.2,64,4.8,240,1.2,34.77873956614346
Year 1 Feb 07 10:00,23.39,87.51,90,13.4,233,517,24.5,50,7.2,244,1.7,37.48752579548356
Year 1 Feb 07 11:00,23.39,87.51,90,13.8,254,583,25.6,48,6.9,246,1.7,36.33385391125104
Year 1 Feb 07 12:00,23.39,87.51,90,14.5,264,611,26.4,48,6.7,249,1.6,32.76618605370773
Year 1 Feb 07 13:00,23.39,87.51,90,15.4,238,641,27,49,6.4,253,1.5,31.431233431348184
Year 1 Feb 07 14:00,23.39,87.51,90,16.1,293,369,26.8,52,7.6,258,1.5,31.229955808948888
Year 1 Feb 07 15:00,23.39,87.51,90,16.2,241,63,25,58,8.7,263,1.5,29.717022969983156
Year 1 Feb 07 16:00,23.39,87.51,90,16.6,80,6,23.1,67,9.9,267,1.2,27.275165774691624
Year 1 Feb 07 17:00,23.39,87.51,90,15.4,10,1,22.5,64,7.1,270,0.9,25.414571260263246
Year 1 Feb 07 18:00,23.39,87.51,90,14.1,1,0,21.2,64,4.4,271,0.5,24.039539705060649
Year 1 Feb 07 19:00,23.39,87.51,90,13.6,0,0,19.7,68,1.6,263,0.5,22.707349377793066
Year 1 Feb 07 20:00,23.39,87.51,90,13.5,0,0,18.9,71,2.5,248,0.7,21.74299920511058
Year 1 Feb 07 21:00,23.39,87.51,90,13.7,0,0,18.4,74,3.3,234,0.6,21.116862367857146
Year 1 Feb 07 22:00,23.39,87.51,90,13.8,0,0,18.1,76,4.2,235,0.6,20.659032857744774
Year 1 Feb 07 23:00,23.39,87.51,90,14.2,0,0,17.7,80,4.1,235,0.7,20.179783321411465
Year 1 Feb 08 00:00,23.39,87.51,90,14.8,0,0,17.2,86,4.1,231,0.7,19.67777520180929
