Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Nov 24 15:00,226,440,7.85,26.85,34.81358117,220.5170913,50,1.825,23.90587936,0,23.0225,72.5714
Year 1 Nov 24 16:00,165.5,385.5,7.65,27.05,24.82917417,231.9570989,50,1.725,23.92147888,0,23.0225,72.5714
Year 1 Nov 24 17:00,81.75,234,7.45,27.175,13.3464678,240.5580441,50,1.625,23.96401451,0,23.0225,72.5714
Year 1 Nov 24 18:00,12,0,7.25,27.35,0.95172568,247.2512159,80,1.525,24.02846059,0,23.0225,72.5714
Year 1 Nov 24 19:00,0,0,7.35,26.5,-12.01302755,252.7146564,90,1.425,24.10772981,0,23.0225,72.5714
Year 1 Nov 24 20:00,0,0,7.475,25.375,-25.34389522,257.4274782,90,1.325,24.19132678,0,23.0225,72.5714
Year 1 Nov 24 21:00,0,0,7.65,24.2,-38.91260526,261.7769049,90,1.225,24.27010833,0,23.0225,72.5714
Year 1 Nov 24 22:00,0,0,7.775,23,-52.6305047,266.2166483,90,1.2,24.33946051,0,23.0225,72.5714
Year 1 Nov 24 23:00,0,0,7.95,21.875,-66.41861908,271.7904005,90,1.125,24.39567239,0,23.0225,72.5714
Year 1 Nov 25 00:00,0,0,8.075,20.7,-80.06153224,285.7933732,60,1.025,24.43689652,0,23.0225,72.5714
Year 1 Nov 25 01:00,0,0,8.325,19.875,-84.59293301,46.7305588,50,1.75,24.45999182,0,23.0225,72.5714
Year 1 Nov 25 02:00,0,0,8.55,19.25,-71.57921522,85.79218247,50,2.825,24.46373257,0,23.0225,72.5714
Year 1 Nov 25 03:00,0,0,8.75,18.575,-57.79232584,92.32926441,50,3.85,24.44914093,0,23.0225,72.5714
Year 1 Nov 25 04:00,0,0,8.875,18.025,-44.04407518,96.89366742,50,3.725,24.41575561,0,23.0225,72.5714
Year 1 Nov 25 05:00,0,0,8.975,17.45,-30.42002628,101.1623042,50,3.225,24.36465341,0,23.0225,72.5714
Year 1 Nov 25 06:00,0,0,9.075,16.925,-17.00025498,105.6693609,27.5,2.725,24.29679446,0,23.0225,72.5714
Year 1 Nov 25 07:00,0,0,9.1,17.325,-3.895097122,110.7911434,20,2.3,24.21356614,0,23.0225,72.5714
Year 1 Nov 25 08:00,56.5,84.75,9.1,18.1,8.72454588,116.953637,20,1.975,24.11919851,0,23.0225,72.5714
Year 1 Nov 25 09:00,134,377.25,9.1,18.825,20.57699872,124.7449899,20,1.6,24.01789472,0,23.0225,72.5714
Year 1 Nov 25 10:00,149.5,619.25,9.4,21.1,31.18186799,134.9976148,20,1.875,23.91279622,0,23.0225,72.5714
Year 1 Nov 25 11:00,132.75,773.25,9.8,23.9,39.73235921,148.7040213,20,2.45,23.81620504,0,23.0225,72.5714
Year 1 Nov 25 12:00,133.25,821.5,10.125,26.7,45.04221068,166.3142923,20,2.975,23.74046578,0,23.0225,72.5714
Year 1 Nov 25 13:00,134.5,827.25,10.725,27.775,45.94088819,186.2767162,20,2.575,23.69140159,0,23.0225,72.5714
Year 1 Nov 25 14:00,124.25,809.5,11.35,28.35,42.1837611,205.099083,20,1.875,23.66915539,0,23.0225,72.5714
Year 1 Nov 25 15:00,118.5,729.75,11.95,28.875,34.69885647,220.2965961,20,1.175,23.67528603,0,23.0225,72.5714
Year 1 Nov 25 16:00,120.5,533.75,12.625,28.7,24.75112641,231.7367475,20,1,23.71154081,0,23.0225,72.5714
Year 1 Nov 25 17:00,84,244.5,13.25,28.225,13.29744619,240.3430537,20,1,23.77380765,0,23.0225,72.5714
Year 1 Nov 25 18:00,12,0,13.775,27.725,0.925307339,247.0378713,5,1,23.8566867,0,23.0225,72.5714
Year 1 Nov 25 19:00,0,0,13.675,26.025,-12.02166992,252.494985,0,1,23.95336471,0,23.0225,72.5714
Year 1 Nov 25 20:00,0,0,13.375,23.85,-25.33840839,257.1894531,0,1,24.05239982,0,23.0225,72.5714
Year 1 Nov 25 21:00,0,0,13.075,21.725,-38.89602096,261.5007623,0,1,24.14315371,0,23.0225,72.5714
Year 1 Nov 25 22:00,0,0,12.7,19.625,-52.60606982,265.8625468,0,1,24.21985148,0,23.0225,72.5714
Year 1 Nov 25 23:00,0,0,12.375,17.45,-66.39226645,271.2467634,0,1,24.27776556,0,23.0225,72.5714
Year 1 Nov 26 00:00,0,0,12,15.325,-80.06462134,284.397718,0,1,24.30969608,0,23.0225,72.5714
Year 1 Nov 26 01:00,0,0,11.45,15.175,-84.76201706,47.30189159,0,0.775,24.31168028,0,23.0225,72.5714
Year 1 Nov 26 02:00,0,0,10.85,15.75,-71.6861099,86.38402317,0,0.4,24.28839379,0,23.0225,72.5714
