Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Oct 05 10:00,185.75,361,23.825,27.725,39.7306899,117.1060424,278.25,4.45,33.40729312,180,23.242,69.6669
Year 1 Oct 05 11:00,179.75,645.25,23.6,28.925,51.2420708,130.8902459,272,5.125,38.26963055,180,23.242,69.6669
Year 1 Oct 05 12:00,288.25,466.75,23.725,29.8,59.87508173,152.7578414,265.5,5,40.27442381,180,23.242,69.6669
Year 1 Oct 05 13:00,421.25,200.25,23.35,30.3,62.78271543,183.4563189,273,4.9,40.06906107,180,23.242,69.6669
Year 1 Oct 05 14:00,422,248.75,23.05,30.55,58.40590696,212.7560396,288.75,4.75,41.60483843,180,23.242,69.6669
Year 1 Oct 05 15:00,376.5,214,22.1,30.525,48.95576666,232.5888548,305,5.225,40.6847863,180,23.242,69.6669
Year 1 Oct 05 16:00,289.25,162.25,21.5,30.35,37.07695962,245.1571815,307.5,5.625,38.49261085,180,23.242,69.6669
Year 1 Oct 05 17:00,175,75.5,21.025,29.775,24.09614396,253.8489753,296.5,6,35.49799765,180,23.242,69.6669
Year 1 Oct 05 18:00,88.5,69,21.65,28.925,10.5859098,260.6008198,276.5,5.575,32.98071198,180,23.242,69.6669
Year 1 Oct 05 19:00,0,0,22.2,27.725,-3.177878398,266.485214,265,4.95,30.44574837,180,23.242,69.6669
Year 1 Oct 05 20:00,0,0,22.975,26.5,-17.02802021,272.2406203,268.25,3.9,29.19026124,180,23.242,69.6669
Year 1 Oct 05 21:00,0,0,22.825,25.375,-30.8166933,278.6164353,285.75,3.3,28.09443889,180,23.242,69.6669
Year 1 Oct 05 22:00,0,0,22.7,24.65,-44.33041924,286.7913031,294.75,2.75,27.50335255,180,23.242,69.6669
Year 1 Oct 05 23:00,0,0,22.175,24.275,-57.08944589,299.3691199,276.5,2.525,26.9554448,180,23.242,69.6669
Year 1 Oct 06 00:00,0,0,22.3,24.2,-67.60669141,323.0119766,215.25,1.825,26.7661142,180,23.242,69.6669
Year 1 Oct 06 01:00,0,0,22.475,24.05,-71.93103481,12.084485,123.5,1.225,26.55471723,180,23.242,69.6669
Year 1 Oct 06 02:00,0,0,22.875,23.7,-65.95830338,44.25043853,24.75,0.275,26.15178463,180,23.242,69.6669
Year 1 Oct 06 03:00,0,0,22.7,23.075,-54.62901265,64.54770056,0,0,25.7210562,180,23.242,69.6669
Year 1 Oct 06 04:00,0,0,21.775,22.45,-41.59265827,75.70369411,0,0,25.50732534,180,23.242,69.6669
Year 1 Oct 06 05:00,0,0,20.975,21.625,-27.97327133,83.27758438,292.5,1.875,24.55376041,180,23.242,69.6669
Year 1 Oct 06 06:00,0,0,20.875,21.625,-14.15073353,89.4080296,288.75,3.175,23.95543582,180,23.242,69.6669
Year 1 Oct 06 07:00,0,0,21.875,22.3,-0.310386504,95.12055522,291.25,3.775,23.82519102,180,23.242,69.6669
Year 1 Oct 06 08:00,22,84,22.875,23.775,13.40253181,101.1303091,275,4.125,24.84338397,180,23.242,69.6669
Year 1 Oct 06 09:00,92.5,420.25,22.8,25.475,26.8047377,108.2145417,265.5,4.05,29.59410201,180,23.242,69.6669
Year 1 Oct 06 10:00,121.75,663.75,22.7,27.4,39.57362285,117.5742276,270,4,35.08336135,180,23.242,69.6669
Year 1 Oct 06 11:00,178.5,641.25,22.1,29.025,51.01866995,131.4039841,287.75,4.15,39.23020146,180,23.242,69.6669
Year 1 Oct 06 12:00,208.75,667.75,22.125,30.375,59.55880096,153.2093995,302,4.65,42.4436966,180,23.242,69.6669
Year 1 Oct 06 13:00,266.75,598.75,22.275,31.075,62.3970932,183.5710482,306.5,5.25,44.05906482,180,23.242,69.6669
Year 1 Oct 06 14:00,416.75,285,22.825,31.35,58.03640078,212.5177088,296.5,5.925,43.05323816,180,23.242,69.6669
Year 1 Oct 06 15:00,374,245.25,22.925,31.025,48.63964498,232.2371206,284.75,6.25,41.38829209,180,23.242,69.6669
Year 1 Oct 06 16:00,288,179.25,23.125,30.45,36.8049686,244.8026903,279,6.075,38.48218508,180,23.242,69.6669
Year 1 Oct 06 17:00,173,73.5,22.9,29.625,23.85346184,253.5107116,289.25,5.475,35.7616208,180,23.242,69.6669
Year 1 Oct 06 18:00,87,65.25,23.175,28.8,10.36110255,260.2729837,302.75,4.7,33.39475964,180,23.242,69.6669
Year 1 Oct 06 19:00,0,0,23.075,27.775,-3.393619287,266.1561125,306.75,3.675,30.64441836,180,23.242,69.6669
Year 1 Oct 06 20:00,0,0,23.075,26.675,-17.24265112,271.8959279,279.25,2.725,29.49660015,180,23.242,69.6669
Year 1 Oct 06 21:00,0,0,22.5,25.425,-31.03927112,278.2384427,215.25,1.75,28.70890776,180,23.242,69.6669
Year 1 Oct 06 22:00,0,0,22.15,24.425,-44.57399494,286.3585845,120.5,0.9,27.93130501,180,23.242,69.6669
Year 1 Oct 06 23:00,0,0,21.575,23.6,-57.37607412,298.8734231,23.75,0.175,27.31761112,180,23.242,69.6669
Year 1 Oct 07 00:00,0,0,21.55,23.325,-67.96510219,322.6170832,0,0,27.07589399,180,23.242,69.6669
Year 1 Oct 07 01:00,0,0,21.45,23.15,-72.30015358,12.31853957,0,0,26.34139242,180,23.242,69.6669
Year 1 Oct 07 02:00,0,0,21.55,23.025,-66.20119024,45.00148654,0,0,26.04412234,180,23.242,69.6669
Year 1 Oct 07 03:00,0,0,21.15,22.55,-54.77649306,65.17800173,75.75,0.45,25.61005199,180,23.242,69.6669
Year 1 Oct 07 04:00,0,0,21,22.025,-41.69469913,76.21114892,174.5,1.35,24.88357705,180,23.242,69.6669
Year 1 Oct 07 05:00,0,0,20.1,21.225,-28.05518638,83.71213551,202,1.675,24.10128468,180,23.242,69.6669
Year 1 Oct 07 06:00,0,0,20.1,21.675,-14.22661509,89.80474951,212,2,24.01930979,180,23.242,69.6669
Year 1 Oct 07 07:00,2.5,0.75,20.425,23.1,-0.390256316,95.5042667,233.75,2.1,24.55243417,180,23.242,69.6669
Year 1 Oct 07 08:00,26.75,122,20.8,24.925,13.30922762,101.5215551,212.25,1.8,26.0478588,180,23.242,69.6669
Year 1 Oct 07 09:00,84,527.5,20.975,26.975,26.68651871,108.6330432,229.25,1.475,31.97901083,180,23.242,69.6669
Year 1 Oct 07 10:00,124,653.5,21.3,28.775,39.41391075,118.0379316,244.75,1.55,37.69125771,180,23.242,69.6669
Year 1 Oct 07 11:00,227,526.25,21.475,30.1,50.79263087,131.9096813,298,2.275,40.90009812,180,23.242,69.6669
Year 1 Oct 07 12:00,337.5,390.75,21.575,30.85,59.24120345,153.6488298,315,3.4,42.35393973,180,23.242,69.6669
Year 1 Oct 07 13:00,295.75,495.75,21.525,31.225,62.01238805,183.6795015,339,4.525,44.06086782,180,23.242,69.6669
Year 1 Oct 07 14:00,389,240.75,21.275,31.225,57.66811921,212.2823853,323,5.175,42.48993587,180,23.242,69.6669
Year 1 Oct 07 15:00,305,399.5,20.75,31.05,48.32436832,231.8891865,330,5.075,42.90670688,180,23.242,69.6669
Year 1 Oct 07 16:00,290.25,244,20.375,30.7,36.53388018,244.4506508,309.5,4.325,40.76333028,180,23.242,69.6669
Year 1 Oct 07 17:00,192.75,134.75,20.15,30.15,23.61198627,253.1738671,311.5,3.35,37.98116018,180,23.242,69.6669
Year 1 Oct 07 18:00,85.5,64.5,20.25,29.325,10.13789398,259.9458698,285,2.5,35.05966637,180,23.242,69.6669
Year 1 Oct 07 19:00,0,0,20.675,28.275,-3.607327393,265.8271654,293,2.225,32.29425691,180,23.242,69.6669
Year 1 Oct 07 20:00,0,0,21.325,27.1,-17.45477537,271.5507544,294.5,2.425,30.60269705,180,23.242,69.6669
Year 1 Oct 07 21:00,0,0,21.8,26.05,-31.25881991,277.8589781,332.75,2.875,29.3584593,180,23.242,69.6669
Year 1 Oct 07 22:00,0,0,22.05,25.125,-44.81399347,285.9223832,327.25,3,28.26035259,180,23.242,69.6669
Year 1 Oct 07 23:00,0,0,22.025,24.375,-57.65880263,298.3695059,300,2.625,27.3145266,180,23.242,69.6669
Year 1 Oct 08 00:00,0,0,21.7,23.6,-68.32070483,322.2078334,195.5,1.75,26.93025771,180,23.242,69.6669
Year 1 Oct 08 01:00,0,0,21,22.875,-72.66745991,12.56062103,102.25,0.75,26.42913112,180,23.242,69.6669
Year 1 Oct 08 02:00,0,0,20.425,22.025,-66.44072081,45.76230135,20.5,0.125,25.60857196,180,23.242,69.6669
Year 1 Oct 08 03:00,0,0,20,21.275,-54.9215933,65.80974642,36,0.15,24.92756707,180,23.242,69.6669
Year 1 Oct 08 04:00,0,0,19.825,20.8,-41.79561126,76.71787514,85.5,0.725,24.39302396,180,23.242,69.6669
Year 1 Oct 08 05:00,0,0,20.025,21.525,-28.13692188,84.14542564,24.5,0.225,24.48098811,180,23.242,69.6669
Year 1 Oct 08 06:00,0,0,20.625,22.775,-14.30305248,90.19999984,0,0,24.76767639,180,23.242,69.6669
Year 1 Oct 08 07:00,2.75,1.25,21.55,24.225,-0.471296948,95.88628547,0,0,25.15779047,180,23.242,69.6669
Year 1 Oct 08 08:00,32.5,60.5,22.175,25.8,13.21420244,101.9107029,0,0,26.71825962,180,23.242,69.6669
Year 1 Oct 08 09:00,105.25,309.75,22.525,27.25,26.56607689,109.0486259,80.25,0.75,32.39471348,180,23.242,69.6669
Year 1 Oct 08 10:00,140.25,574.5,22.45,28.65,39.25158941,118.496981,188.75,1.6,39.38541103,180,23.242,69.6669
Year 1 Oct 08 11:00,218,505,22.25,29.9,50.56404715,132.407205,273.75,2.325,42.7035725,180,23.242,69.6669
Year 1 Oct 08 12:00,374,176.75,22.125,31.025,58.92243143,154.0762377,315.5,2.65,41.91687503,180,23.242,69.6669
Year 1 Oct 08 13:00,393.75,313.25,22.25,31.75,61.62872189,183.7817638,317.75,3.075,44.98957479,180,23.242,69.6669
Year 1 Oct 08 14:00,335,417.5,22.6,31.975,57.30119882,212.0498897,298.75,3.5,46.54616301,180,23.242,69.6669
Year 1 Oct 08 15:00,368,256.5,23,31.55,48.01008803,231.5449576,281,4.275,44.22186059,180,23.242,69.6669
Year 1 Oct 08 16:00,289.5,180.25,23.175,30.575,36.26383888,244.1010505,277.75,4.875,40.55412901,180,23.242,69.6669
Year 1 Oct 08 17:00,191.25,135.75,23.05,29.325,23.3718524,252.8384661,289.25,5.225,37.63247536,180,23.242,69.6669
Year 1 Oct 08 18:00,87.75,81,22.475,28.25,9.916412493,259.6195204,302,4.775,34.39216681,180,23.242,69.6669
Year 1 Oct 08 19:00,0,0,21.775,27.625,-3.818877906,265.4984281,305,3.925,31.62514074,180,23.242,69.6669
Year 1 Oct 08 20:00,0,0,21.3,27.425,-17.66426795,271.2051679,296,2.8,30.64269193,180,23.242,69.6669
Year 1 Oct 08 21:00,0,0,21.2,27.4,-31.47520864,277.4781233,281.75,2.2,30.06080624,180,23.242,69.6669
Year 1 Oct 08 22:00,0,0,21.425,27.25,-45.05026678,285.4827836,277.25,1.95,29.62971558,180,23.242,69.6669
Year 1 Oct 08 23:00,0,0,21.575,26.6,-57.93744616,297.8573431,289,2.35,28.75244206,180,23.242,69.6669
Year 1 Oct 09 00:00,0,0,21.45,25.425,-68.67330275,321.7835997,310.25,2.725,27.78221629,180,23.242,69.6669
Year 1 Oct 09 01:00,0,0,21.1,23.825,-73.03284301,12.8110842,321.25,2.95,26.73816559,180,23.242,69.6669
Year 1 Oct 09 02:00,0,0,20.475,22.35,-66.6768364,46.53269158,300.5,2.625,25.63754314,180,23.242,69.6669
Year 1 Oct 09 03:00,0,0,19.925,21.325,-55.06433975,66.44266566,235.25,2.05,24.89983612,180,23.242,69.6669
Year 1 Oct 09 04:00,0,0,19.65,21.1,-41.89544347,77.22368902,134.25,1,24.89400564,180,23.242,69.6669
Year 1 Oct 09 05:00,0,0,21.7,23.725,-28.21852813,84.57731221,26.75,0.175,25.58813829,180,23.242,69.6669
Year 1 Oct 09 06:00,0,0,23.15,24.6,-14.38009053,90.59365353,72.75,0.675,25.55550446,180,23.242,69.6669
Year 1 Oct 09 07:00,0,0,23.775,25.125,-0.553543541,96.26648575,156.25,1.05,25.80894279,180,23.242,69.6669
Year 1 Oct 09 08:00,24,58,23.675,26.275,13.11743583,102.2976177,263.75,1.7,27.23779373,180,23.242,69.6669
Year 1 Oct 09 09:00,99.25,336.5,22.775,27.95,26.44341458,109.461137,317.75,1.825,32.90978401,180,23.242,69.6669
Year 1 Oct 09 10:00,123,648.25,21.15,29.9,39.0866983,118.9512063,175.25,2.325,40.27363199,180,23.242,69.6669
Year 1 Oct 09 11:00,214.75,558.75,19.5,31.75,50.33301548,132.8964307,344.75,2.5,44.15106493,180,23.242,69.6669
Year 1 Oct 09 12:00,310.5,440.5,18.5,33.1,58.60262755,154.4917323,351.5,3.25,46.30229351,180,23.242,69.6669
Year 1 Oct 09 13:00,185.5,762.75,18.6,33.85,61.24621659,183.8779181,340.25,3.65,50.69290644,180,23.242,69.6669
Year 1 Oct 09 14:00,314.5,461.25,19.675,34,56.93577535,211.8200503,173.75,4.075,49.11475801,180,23.242,69.6669
Year 1 Oct 09 15:00,358.75,243.25,21.05,33.775,47.69695443,231.204341,341.25,3.525,46.77112988,180,23.242,69.6669
Year 1 Oct 09 16:00,256.25,90.75,22.3,33.325,35.99498852,243.7538773,350.75,3.15,42.69748992,180,23.242,69.6669
Year 1 Oct 09 17:00,148.5,71.5,22.975,32.75,23.1331947,252.5045327,342.5,2.65,40.01361828,180,23.242,69.6669
Year 1 Oct 09 18:00,91.25,133.5,23.1,32.075,9.696785567,259.2939789,178.25,3.025,38.34883386,180,23.242,69.6669
Year 1 Oct 09 19:00,0,0,23.1,31.15,-4.028147214,265.1699573,335.75,3.2,34.72744781,180,23.242,69.6669
