1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 03 06:00","0","0","8.575","25.4496797011795","15.1504483905812","-82.0738004129394"
"Year 1 Jan 03 07:00","0","0","8.325","24.9117524023382","14.598251782797","-109.553620452735"
"Year 1 Jan 03 08:00","7.5","25.5","10.2","24.3440231747829","15.8487710977489","-140.663538674146"
"Year 1 Jan 03 09:00","42.25","199.5","14.175","23.8326063364276","21.1019085996423","-172.032609452157"
"Year 1 Jan 03 10:00","65.75","636.75","18.825","23.5123185672375","33.6077246341791","-189.686964083187"
"Year 1 Jan 03 11:00","32","1055.5","23","23.6242871933792","46.4571106324044","-169.376024360575"
"Year 1 Jan 03 12:00","60","982","25.425","24.3826312329091","51.4466447065006","-93.1093887098083"
"Year 1 Jan 03 13:00","124.25","798.5","26.275","25.707840642535","51.695973953665","21.9323244980905"
"Year 1 Jan 03 14:00","242","439.5","25.95","27.2497350166682","47.1683349348837","152.949904220824"
"Year 1 Jan 03 15:00","274.75","276.25","25.575","28.6267073475577","43.4267873442157","271.253686415397"
"Year 1 Jan 03 16:00","218","262.5","25.2","29.66450271346","40.7378239752644","350.203062696254"
"Year 1 Jan 03 17:00","139.25","294.25","25.025","30.3552559877401","39.1782987679216","390.608053497757"
"Year 1 Jan 03 18:00","62.25","207.75","24.175","30.7830465573706","35.5438318001048","402.648625071502"
"Year 1 Jan 03 19:00","0","0","22.625","30.9855784123746","29.1354223578758","394.477315836833"
"Year 1 Jan 03 20:00","0","0","20.1","30.9093191779288","26.2647585770758","361.846072022782"
"Year 1 Jan 03 21:00","0","0","17.45","30.5559629915036","23.7737586466249","309.360836793404"
"Year 1 Jan 03 22:00","0","0","15.225","30.0205965600628","21.9360644961554","245.767630341139"
"Year 1 Jan 03 23:00","0","0","14.175","29.3858773776753","20.9836192572906","178.614116693396"
"Year 1 Jan 04 00:00","0","0","14.075","28.7210848542291","20.8070660574611","112.87505207262"
"Year 1 Jan 04 01:00","0","0","14.7","28.0846109203442","20.3956590281915","53.791867697509"
"Year 1 Jan 04 02:00","0","0","14.975","27.5037971281831","20.1475276352255","4.47891014315757"
"Year 1 Jan 04 03:00","0","0","14.55","26.9749292511549","19.3450663079566","-34.6358161621895"
"Year 1 Jan 04 04:00","0","0","12.825","26.4837674388129","17.8548918354629","-65.5155071605643"
"Year 1 Jan 04 05:00","0","0","11.025","25.993563804029","16.7159453264279","-91.4700399368684"
"Year 1 Jan 04 06:00","0","0","9.7","25.4805955413514","15.7443149986807","-116.244161957669"
"Year 1 Jan 04 07:00","0","0","9.775","24.9592869344372","15.0663908309691","-142.97837729934"
"Year 1 Jan 04 08:00","7.75","37.5","11.025","24.4446665476084","15.8564078435898","-170.419263461195"
"Year 1 Jan 04 09:00","30","347.25","14.325","23.9738050810716","22.1897221353075","-195.59171331313"
"Year 1 Jan 04 10:00","29.5","954.5","18.15","23.6926375907853","35.2473602098361","-207.132320044267"
"Year 1 Jan 04 11:00","32.5","1025.75","22.025","23.8704943182134","42.3029024330754","-177.608279718651"
"Year 1 Jan 04 12:00","18","1100","24.2","24.6040276287337","46.4581115857579","-102.10582305606"
"Year 1 Jan 04 13:00","40.25","1032.5","25.275","25.7430046160487","47.4842036192045","-0.477258206677842"
"Year 1 Jan 04 14:00","124.25","796.5","24.975","27.0420596498658","47.6424890305081","108.698333575891"
"Year 1 Jan 04 15:00","171.25","585.75","24.875","28.274508543602","45.1980114025037","215.359883048465"
"Year 1 Jan 04 16:00","206.25","332","24.675","29.3432493810818","41.0274974796236","299.622636801925"
"Year 1 Jan 04 17:00","103.75","498","24.9","30.1242890901193","41.4209201675441","352.602708922373"
"Year 1 Jan 04 18:00","61.5","227.25","24.4","30.6705676864169","36.3866618854411","378.367672108727"
"Year 1 Jan 04 19:00","0","0","23.525","30.9935345261555","30.1221126658444","383.10327467383"
"Year 1 Jan 04 20:00","0","0","21.575","31.012288955361","27.3952838767095","358.417334703508"
"Year 1 Jan 04 21:00","0","0","19.575","30.7395342126802","25.013623722861","311.092649460377"
"Year 1 Jan 04 22:00","0","0","17.15","30.2760340412662","22.7718364017247","252.19901144194"
"Year 1 Jan 04 23:00","0","0","15.375","29.6955195774144","21.1226734584508","189.357809641275"
"Year 1 Jan 05 00:00","0","0","13.65","29.0494724792353","20.1337388030338","126.185170327812"
"Year 1 Jan 05 01:00","0","0","12.825","28.3827050840569","19.5459291217843","66.4977020074929"
"Year 1 Jan 05 02:00","0","0","12.175","27.736681445805","18.7905538058645","12.7263820786878"
"Year 1 Jan 05 03:00","0","0","12.075","27.12254068498","18.0859442603567","-32.830991601464"
"Year 1 Jan 05 04:00","0","0","11.425","26.5407759046437","17.407734362076","-71.6629866359884"
"Year 1 Jan 05 05:00","0","0","10.6","25.9781223760282","16.1091044707139","-103.060361713339"
"Year 1 Jan 05 06:00","0","0","9.5","25.4279890937843","15.4002171693781","-131.494454209839"
"Year 1 Jan 05 07:00","0","0","9.275","24.8845510463032","15.1313209807589","-159.239813913091"
"Year 1 Jan 05 08:00","1.25","0","10.275","24.3645391224911","15.2364592229467","-185.398961331202"
"Year 1 Jan 05 09:00","12.5","217","13.075","23.8926593615624","19.0058443168529","-208.797858920232"
"Year 1 Jan 05 10:00","27.75","926","16.825","23.5469068850236","32.8437960281947","-223.985707522735"
"Year 1 Jan 05 11:00","10.25","1100","20.95","23.6080672559937","40.648471211935","-203.544526825187"
"Year 1 Jan 05 12:00","21.5","1100","24.025","24.2347669605627","45.0439565161685","-135.276666987135"
"Year 1 Jan 05 13:00","41","1035.5","26.125","25.2945208183302","48.2807429359131","-36.4429607375427"
"Year 1 Jan 05 14:00","155","713.5","26.75","26.6050293620884","48.7288693968413","69.9126626285515"
"Year 1 Jan 05 15:00","271.25","294.5","26.8","27.926575126511","44.0070876072428","183.073362577705"
"Year 1 Jan 05 16:00","223.75","194","26.125","29.0575851099643","40.1818810032083","274.826317524227"
"Year 1 Jan 05 17:00","146.5","161","25.225","29.856289688586","36.6492891918687","331.459407703591"
"Year 1 Jan 05 18:00","59.25","46.5","23.65","30.3205416529661","31.6185469967846","352.325872625051"
"Year 1 Jan 05 19:00","0","0","21.925","30.4564398503353","27.6069849823419","342.035887074967"
"Year 1 Jan 05 20:00","0","0","19.775","30.2931036079254","25.5810929335566","304.941876229639"
"Year 1 Jan 05 21:00","0","0","17.85","29.9090411771675","24.2794505150056","253.909447769349"
"Year 1 Jan 05 22:00","0","0","15.975","29.4138321084349","23.0707271269316","197.05526388005"
"Year 1 Jan 05 23:00","0","0","14.675","28.8702949861241","21.7577240190584","143.103679007946"
"Year 1 Jan 06 00:00","0","0","13.575","28.3175108289299","20.4051195747078","90.955395465837"
"Year 1 Jan 06 01:00","0","0","13.075","27.7557388290999","19.2270589028373","42.8345057921547"
"Year 1 Jan 06 02:00","0","0","12.55","27.1888867130524","17.7431254802385","-2.3751957659692"
"Year 1 Jan 06 03:00","0","0","12.25","26.6104963642246","16.6447032940763","-43.9493980059154"
"Year 1 Jan 06 04:00","0","0","11.525","26.0178217996128","15.8271473160707","-82.4798904444503"
"Year 1 Jan 06 05:00","0","0","11.075","25.4170612431814","16.1319956376777","-116.097843107775"
"Year 1 Jan 06 06:00","0","0","10.4","24.8541865100229","15.8794164766287","-147.789209314948"
"Year 1 Jan 06 07:00","0","0","10.65","24.3467950429717","15.1247205754178","-172.686265018778"
"Year 1 Jan 06 08:00","7","15","12","23.8864839948474","15.4560963302288","-194.461519266956"
"Year 1 Jan 06 09:00","34.25","220.5","15.025","23.4701275577785","19.8899564665723","-214.010645313795"
"Year 1 Jan 06 10:00","43.25","801.5","18.75","23.1903008894423","31.7140921318638","-224.469977014093"
"Year 1 Jan 06 11:00","18.25","1099.5","22.625","23.2882744750699","41.355330041825","-201.804579687265"
"Year 1 Jan 06 12:00","57.5","1010","25.25","23.9360682396746","46.4008923828028","-132.484819800395"
"Year 1 Jan 06 13:00","163","673.25","26.7","25.0509470210464","46.9802238451805","-29.1657208832196"
"Year 1 Jan 06 14:00","253.75","407.5","26.7","26.3901799057818","45.6822508486233","79.2896134884017"
"Year 1 Jan 06 15:00","277","229.5","26.15","27.6452864545211","42.4537054996577","186.996042529699"
"Year 1 Jan 06 16:00","204.25","100","25.175","28.6698853896972","37.4789251483466","269.382124262378"
"Year 1 Jan 06 17:00","109","34","24.225","29.3610436427106","32.8416490791823","316.157089049333"
"Year 1 Jan 06 18:00","54.75","32.25","22.875","29.6870851986172","30.3801807290341","324.536689913827"
"Year 1 Jan 06 19:00","0","0","21.45","29.7100616988254","26.742850276847","305.130378674663"
"Year 1 Jan 06 20:00","0","0","19.525","29.5047854852426","24.7888795578948","267.207279450639"
"Year 1 Jan 06 21:00","0","0","17.725","29.1227394012602","22.9211459354815","219.631812737365"
"Year 1 Jan 06 22:00","0","0","15.8","28.6371939368602","21.080167700722","166.757496855716"
"Year 1 Jan 06 23:00","0","0","14.325","28.080861587573","19.5275371202056","113.955384065952"
"Year 1 Jan 07 00:00","0","0","13.025","27.4856232674072","18.4014382733107","60.7470264406191"
"Year 1 Jan 07 01:00","0","0","12.475","26.8695105926068","17.8690421377891","10.7187596437375"
"Year 1 Jan 07 02:00","0","0","12.1","26.262901580333","17.6724286725965","-34.7604104957074"
"Year 1 Jan 07 03:00","0","0","12.075","25.6879860841836","17.2972648805591","-72.5929222478729"
"Year 1 Jan 07 04:00","0","0","11.65","25.1547948854612","17.0405401410415","-102.342362828391"
"Year 1 Jan 07 05:00","0","0","13.675","24.6723631575255","17.1607780622261","-128.640958243494"
"Year 1 Jan 07 06:00","0","0","13.95","24.2543380085949","17.0184103331816","-152.799757446141"
"Year 1 Jan 07 07:00","0","0","14.325","23.8767422449184","17.1292094279935","-168.515752345909"
"Year 1 Jan 07 08:00","5.5","6","14.875","23.5457191578976","17.2479504716717","-181.365897539445"
"Year 1 Jan 07 09:00","38","125.5","17.175","23.2587465146722","20.2505294913436","-190.443034349317"
"Year 1 Jan 07 10:00","74.25","569","19.85","23.0709368712019","29.966261998434","-194.552026036951"
"Year 1 Jan 07 11:00","69.5","883.25","23.125","23.1676823058462","39.0881972704267","-173.70207997328"
"Year 1 Jan 07 12:00","195.5","495.75","24.975","23.7308222205155","40.1417773588798","-114.60508312783"
"Year 1 Jan 07 13:00","301","271.25","26.275","24.6445883564505","39.7972387106891","-30.0061696342934"
"Year 1 Jan 07 14:00","304.25","291.5","26.15","25.6598989234978","40.5443768148523","50.7957127731455"
"Year 1 Jan 07 15:00","281.5","211","26.225","26.5986118432112","38.420796343114","128.662498935916"
"Year 1 Jan 07 16:00","221.25","159.75","25.475","27.3975241231674","35.8897678630405","190.538464291936"
"Year 1 Jan 07 17:00","148.25","168.5","25.05","27.9823387218055","33.8504426662899","231.543538101684"
"Year 1 Jan 07 18:00","60","46.5","23.725","28.3553917758732","29.6361966511468","249.352701327193"
"Year 1 Jan 07 19:00","0","0","23","28.4936639880171","26.5252642658408","246.515197550043"
"Year 1 Jan 07 20:00","0","0","21.925","28.4047487708664","25.2819408424963","221.239334439447"
"Year 1 Jan 07 21:00","0","0","21.825","28.1473453962782","24.4032087843075","184.772277650888"
"Year 1 Jan 07 22:00","0","0","21.15","27.8152882729478","23.7839527152034","143.111272663676"
"Year 1 Jan 07 23:00","0","0","20.525","27.4518293017861","22.981334833821","104.793129440086"
"Year 1 Jan 08 00:00","0","0","18.525","27.0823107969597","21.7522338026556","70.3719303911366"
"Year 1 Jan 08 01:00","0","0","16.7","26.6972089280578","20.8796927292927","40.1998026372735"
"Year 1 Jan 08 02:00","0","0","14.725","26.2983614615245","19.7227470624285","10.5452604242649"
"Year 1 Jan 08 03:00","0","0","14.2","25.8829229098388","18.9518899285078","-17.3910540273533"
"Year 1 Jan 08 04:00","0","0","13.825","25.4596863922835","18.3376850403954","-45.7100978446532"
"Year 1 Jan 08 05:00","0","0","16.925","25.0340628057229","19.0427607313898","-71.3511684603218"
"Year 1 Jan 08 06:00","0","0","17.55","24.6534215019704","19.1961788562494","-97.1394472815216"
"Year 1 Jan 08 07:00","0","0","17.85","24.3272679241261","19.2897380417222","-113.781636432228"
"Year 1 Jan 08 08:00","3.5","1.25","18.6","24.0579672667658","19.3724672760362","-126.50312777083"
"Year 1 Jan 08 09:00","29.75","129.5","20.3","23.8346874302184","22.5868033782738","-135.513782727418"
"Year 1 Jan 08 10:00","72.25","597","22.075","23.7034797780547","33.9859229313253","-138.280446940979"
"Year 1 Jan 08 11:00","61","890.5","23.925","23.8887320610743","41.9138005426175","-112.992860557779"
"Year 1 Jan 08 12:00","124.25","777.75","25.075","24.5581875252015","44.5606456113598","-48.357600782385"
"Year 1 Jan 08 13:00","264.25","399.75","26.05","25.605043929992","42.2960763642785","38.513000782524"
"Year 1 Jan 08 14:00","181.75","626.5","26.525","26.705828679683","45.7920801741835","129.693032850145"
"Year 1 Jan 08 15:00","164","585.25","27.05","27.7403468149325","46.0452397705704","213.510151610453"
"Year 1 Jan 08 16:00","214.75","211.75","27.05","28.7244931396542","40.7755048296329","289.126969341136"
"Year 1 Jan 08 17:00","127.5","333.75","26.7","29.5170959570378","40.5761766973641","343.147921418611"
"Year 1 Jan 08 18:00","63","54","25.325","30.0811960073488","33.8468556373676","372.34822689076"
"Year 1 Jan 08 19:00","0","0","23.55","30.3711336498262","29.2173781086004","375.308327426159"
"Year 1 Jan 08 20:00","0","0","21.525","30.3366523369739","26.6934256396604","347.208569284666"
"Year 1 Jan 08 21:00","0","0","20.25","30.0421626152734","24.7637477968377","298.027844376479"
"Year 1 Jan 08 22:00","0","0","19.475","29.5931544877549","23.657009217668","238.873389661333"
"Year 1 Jan 08 23:00","0","0","19.525","29.0754998537546","22.9812971277182","177.733508887177"
"Year 1 Jan 09 00:00","0","0","19.6","28.5495578633859","22.812480368699","120.688140950316"
"Year 1 Jan 09 01:00","0","0","19.75","28.0481027886536","22.8081437641601","72.2593130910854"
"Year 1 Jan 09 02:00","0","0","19.5","27.60000565158","22.7130730525781","32.1515076676855"
"Year 1 Jan 09 03:00","0","0","19.25","27.2063516911934","22.5758046087704","1.10448824207246"
"Year 1 Jan 09 04:00","0","0","18.6","26.8615424892166","21.7598515290266","-23.1662956922957"
"Year 1 Jan 09 05:00","0","0","17.65","26.5420926323987","20.3900003889478","-42.4428194399367"
"Year 1 Jan 09 06:00","0","0","15.375","26.2112788768285","19.1144324665608","-60.278663202484"
"Year 1 Jan 09 07:00","0","0","14.1","25.8393368430171","18.4621999985081","-78.2267732400592"
"Year 1 Jan 09 08:00","5","4.5","13.375","25.4367052277839","18.2758396507879","-97.7950002858446"
"Year 1 Jan 09 09:00","28.75","183.75","15.225","25.0405901185376","21.7867953747936","-118.556820261654"
"Year 1 Jan 09 10:00","42","785.75","17.85","24.7422245381889","34.2166199808611","-134.561051957051"
"Year 1 Jan 09 11:00","2.5","1100","21.575","24.8055534744777","42.6903007795669","-119.068132975858"
"Year 1 Jan 09 12:00","7","1100","24.025","25.4170570181419","47.1137619842273","-59.651355834662"
"Year 1 Jan 09 13:00","74.5","953.5","26.15","26.4718704258519","49.2429476052863","29.4858313346839"
"Year 1 Jan 09 14:00","200.5","574.25","26.775","27.731762113358","47.4076178155383","135.59309709135"
"Year 1 Jan 09 15:00","132.5","735","27.625","28.9453953575871","49.2191895239295","236.71031907995"
"Year 1 Jan 09 16:00","127.25","646.25","27.075","30.0400634386766","47.7166186152513","321.986214041514"
"Year 1 Jan 09 17:00","107","434","26.2","30.984792421322","43.1251558717346","391.921903884706"
"Year 1 Jan 09 18:00","60","42","23.525","31.6983312346475","34.8445247634017","435.28675515018"
"Year 1 Jan 09 19:00","0","0","21.05","32.0192829969746","29.8313964422985","440.74248808977"
"Year 1 Jan 09 20:00","0","0","18.325","31.9292154239244","27.2771334144284","404.081792553978"
"Year 1 Jan 09 21:00","0","0","17.6","31.5351235334974","25.4471804203992","343.865324466781"
"Year 1 Jan 09 22:00","0","0","17.45","30.9974284876249","24.344896316045","270.723406851466"
"Year 1 Jan 09 23:00","0","0","18.6","30.4025060594663","23.442651004269","199.187599383573"
"Year 1 Jan 10 00:00","0","0","18.925","29.812167832716","23.0695420666291","132.956864447001"
"Year 1 Jan 10 01:00","0","0","19.575","29.2444893193405","22.9356119629702","77.4335745286984"
"Year 1 Jan 10 02:00","0","0","19.2","28.7315784648112","22.1831532826112","30.2713809609636"
"Year 1 Jan 10 03:00","0","0","19.375","28.261133838011","21.6636736220378","-6.80284524380878"
"Year 1 Jan 10 04:00","0","0","18.45","27.8231683614782","21.0006741527364","-38.7995033342906"
"Year 1 Jan 10 05:00","0","0","15.325","27.3963810085439","18.9347256358091","-64.05839608689"
"Year 1 Jan 10 06:00","0","0","13.275","26.948483918271","17.4185288783503","-86.4420364851342"
"Year 1 Jan 10 07:00","0","0","12.6","26.4521550134286","16.5854058218786","-111.515981949544"
"Year 1 Jan 10 08:00","7.25","19.5","12.425","25.9314235037729","16.5768293850287","-140.55297266679"
"Year 1 Jan 10 09:00","43.5","164.5","13.825","25.4208814534978","19.8009334325025","-168.398253925743"
"Year 1 Jan 10 10:00","69.5","593","15.875","25.016285142788","29.0995854382197","-188.657476623124"
"Year 1 Jan 10 11:00","29.75","1058","18.65","24.9129204885146","39.1796768754866","-181.696322693198"
"Year 1 Jan 10 12:00","55.75","974","20.75","25.3099462290869","42.2754909498543","-132.129235882462"
"Year 1 Jan 10 13:00","30","1078.5","22.55","26.1361316650842","45.3834043434315","-50.3966139172781"
"Year 1 Jan 10 14:00","63.5","1007.5","23.3","27.2096446037385","46.0105565764225","41.0155143968127"
"Year 1 Jan 10 15:00","84.75","898.25","23.925","28.3097907139083","45.3591102918081","140.797347833528"
"Year 1 Jan 10 16:00","130.25","647","23.65","29.3416603762621","42.3270173541383","224.828561425943"
"Year 1 Jan 10 17:00","87.75","609","23.275","30.1789387349514","39.979785330428","288.235585947042"
"Year 1 Jan 10 18:00","66","251","22.075","30.7716959718908","33.9172134104242","325.788317616028"
"Year 1 Jan 10 19:00","0","0","20.95","31.0622320287904","27.4696233672612","333.339614084963"
"Year 1 Jan 10 20:00","0","0","19.725","30.9909985879574","25.3286422771074","304.714625485229"
"Year 1 Jan 10 21:00","0","0","19.325","30.6197386414254","24.0202313162003","251.586771372721"
"Year 1 Jan 10 22:00","0","0","18.85","30.1037947364137","22.9971849602725","187.811027076913"
"Year 1 Jan 10 23:00","0","0","18.775","29.5333241746934","22.3445808543794","127.162470564251"
"Year 1 Jan 11 00:00","0","0","18.05","28.9660175903812","21.7144216857692","71.8562110909882"
"Year 1 Jan 11 01:00","0","0","17.425","28.4207206805565","21.0267393237465","25.0854251358498"
"Year 1 Jan 11 02:00","0","0","16.475","27.9050443965696","20.1381520958801","-15.0296245081805"
"Year 1 Jan 11 03:00","0","0","16.05","27.4077976805767","19.3151150433256","-49.0002754300034"
"Year 1 Jan 11 04:00","0","0","15.175","26.920072694563","18.3430125284883","-78.9617058198032"
"Year 1 Jan 11 05:00","0","0","12.875","26.4289956041211","17.1128557520964","-104.803205563012"
"Year 1 Jan 11 06:00","0","0","10.4","25.9284021922115","15.6010043845831","-129.539130639116"
"Year 1 Jan 11 07:00","0","0","9.275","25.4035973880159","14.6729258936902","-154.461069792663"
"Year 1 Jan 11 08:00","7.5","25.25","9.475","24.8601929394943","14.5732659187245","-181.485672557404"
"Year 1 Jan 11 09:00","28.75","314.5","12.075","24.3305190955533","19.6170135785076","-208.411291359293"
"Year 1 Jan 11 10:00","18.75","991.25","15.6","23.9404872063456","32.3335782287877","-226.645276391083"
"Year 1 Jan 11 11:00","0","1100","19.425","23.9670583506719","38.8648740681949","-207.48963161327"
"Year 1 Jan 11 12:00","10.25","1096.75","21.825","24.5252877159855","43.2168264047363","-143.357849116938"
"Year 1 Jan 11 13:00","53.75","1044.25","23.2","25.4740770097678","46.571211189111","-51.0235370591429"
"Year 1 Jan 11 14:00","104.5","870","23.275","26.6612070036066","46.730196877997","49.0585428237832"
"Year 1 Jan 11 15:00","138.75","721","23.5","27.8565937643915","46.2525313317534","157.510689634709"
"Year 1 Jan 11 16:00","122","676","23.45","28.9650862583651","45.1518123924407","247.073827294826"
"Year 1 Jan 11 17:00","97.75","571.25","23.55","29.9035382547157","42.2144296864441","318.55345487709"
"Year 1 Jan 11 18:00","66","273.75","22.7","30.6270211222444","35.9970931199166","365.588610776022"
"Year 1 Jan 11 19:00","0","0","21.275","31.0405773145741","28.5956914966321","381.610902300953"
"Year 1 Jan 11 20:00","0","0","18.725","31.0521038070044","25.8931899546814","358.233988378429"
"Year 1 Jan 11 21:00","0","0","16.35","30.7062456969805","23.7361137469018","307.028493242744"
"Year 1 Jan 11 22:00","0","0","14.15","30.1588925331834","22.1635826312544","241.983702096053"
"Year 1 Jan 11 23:00","0","0","13.15","29.5135606430157","21.0186593389864","175.255416648301"
"Year 1 Jan 12 00:00","0","0","12.775","28.8497639556242","20.0299713327972","109.235704086714"
"Year 1 Jan 12 01:00","0","0","13.45","28.195911281344","19.2353709627106","49.5951363181204"
"Year 1 Jan 12 02:00","0","0","14.075","27.5703027396485","18.5174462347235","-3.55278663970983"
"Year 1 Jan 12 03:00","0","0","14.65","26.9728025823853","17.9479420853933","-48.4381138464985"
"Year 1 Jan 12 04:00","0","0","13.975","26.4020011987395","17.3350714785649","-85.3697097129019"
"Year 1 Jan 12 05:00","0","0","14.975","25.8591722256959","17.3333626998149","-116.40559775527"
"Year 1 Jan 12 06:00","0","0","13.375","25.3688945234784","16.7547818759918","-145.912885028911"
