1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 08 08:00","34.25","53.25","14.775","18.2056324619685","14.8544421884669","-60.4636174871823"
"Year 1 Jan 08 09:00","106.5","293.75","16.475","17.9878787249495","16.9508403923742","-74.7111512969409"
"Year 1 Jan 08 10:00","130.75","581.75","18.175","17.8616554776914","19.0393249565077","-81.7609378402465"
"Year 1 Jan 08 11:00","129","733.75","19.875","17.865888278239","20.760909218449","-78.5723841260948"
"Year 1 Jan 08 12:00","147.5","759.5","21.575","18.0008516184239","22.4585676335107","-66.0285813632319"
"Year 1 Jan 08 13:00","201","664.25","22.45","18.2457698250377","24.1047808556756","-46.2298490790096"
"Year 1 Jan 08 14:00","256.25","494.25","23.05","18.5738161003146","25.3304557615234","-19.4648739711183"
"Year 1 Jan 08 15:00","258.25","340","23.65","18.9670441697269","25.8495981034125","10.1972280762377"
"Year 1 Jan 08 16:00","188.25","286.75","23.725","19.3942491691367","25.4126633485355","39.0806132222909"
"Year 1 Jan 08 17:00","128","112","23.55","19.7989380521183","24.4076038721947","65.7818175350644"
"Year 1 Jan 08 18:00","33","9.75","23.425","20.1300347773982","22.6903030689369","86.7170896106631"
"Year 1 Jan 08 19:00","0","0","22.575","20.3536701778772","21.5213546752804","97.7053423337446"
"Year 1 Jan 08 20:00","0","0","21.4","20.456578332845","20.7940163298662","99.6165828729114"
"Year 1 Jan 08 21:00","0","0","20.275","20.4660082630977","20.0638362100344","94.462039627656"
"Year 1 Jan 08 22:00","0","0","19.25","20.4114277274251","19.3198112278357","84.9007810889382"
"Year 1 Jan 08 23:00","0","0","18.25","20.3093879391262","18.5739653700106","72.7367249892383"
"Year 1 Jan 09 00:00","0","0","17.25","20.16786796381","17.8199990433262","59.1570216899237"
"Year 1 Jan 09 01:00","0","0","16.625","19.9937012122837","17.2834773810344","44.3067562634099"
"Year 1 Jan 09 02:00","0","0","16.05","19.7974057955628","16.8245660386643","28.2117411181732"
"Year 1 Jan 09 03:00","0","0","15.525","19.5884441510692","16.4080700347637","12.3527724510953"
"Year 1 Jan 09 04:00","0","0","15.025","19.3737903134913","15.9804936703227","-2.71500722893923"
"Year 1 Jan 09 05:00","0","0","14.45","19.1563805863381","15.5423562787801","-16.665943392125"
"Year 1 Jan 09 06:00","0","0","13.925","18.9354670095275","15.1186821129382","-29.3709902759316"
"Year 1 Jan 09 07:00","0","0","13.575","18.7109610594514","14.6978022828935","-41.1228535124045"
"Year 1 Jan 09 08:00","33.5","54.5","13.35","18.4848393106775","14.8095633597454","-52.4980936137324"
"Year 1 Jan 09 09:00","108.25","295.25","13.075","18.2684007764435","15.9806857706108","-63.2095849621077"
"Year 1 Jan 09 10:00","129.75","590","15.475","18.0971889953423","17.8979821687447","-70.6050435214651"
"Year 1 Jan 09 11:00","106.25","789.25","18.7","18.0313350396384","19.94043503161","-74.6913435560917"
"Year 1 Jan 09 12:00","126.5","811.25","21.975","18.0935525391619","22.3233915061109","-70.0786415982547"
"Year 1 Jan 09 13:00","169.75","738.75","23.4","18.2947649277246","24.0464544876664","-56.464881511287"
"Year 1 Jan 09 14:00","244","535","24.2","18.6047817670808","25.4811402611989","-30.889639479397"
