Date/Time,[1] Surface Outside Face Temperature  (C),[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Surface Inside Face Conduction Heat Transfer Rate  (W),[1] Surface Inside Face Temperature  (C)
,BLOCK1:ZONE1_WALL_3_0_0,Environment,Environment,Environment,BLOCK1:ZONE1_WALL_3_0_0,BLOCK1:ZONE1_WALL_3_0_0
Year 1 Nov 21 07:00,21.0003131,0,0,17.65,-68.84742812,27.31144943
Year 1 Nov 21 08:00,21.61878241,14.75,55.25,19.175,-89.99372957,26.94338201
Year 1 Nov 21 09:00,23.41207767,69.25,296.5,21.85,-109.8884074,26.62569209
Year 1 Nov 21 10:00,25.69740747,85.25,647.75,24.775,-123.3628295,26.4041913
Year 1 Nov 21 11:00,27.94086654,47,1012.25,27.675,-125.7168012,26.31723301
Year 1 Nov 21 12:00,29.88398632,67,984.25,29.6,-115.9832594,26.37827566
Year 1 Nov 21 13:00,32.35734283,108,884.25,30.9,-94.69494777,26.5715737
Year 1 Nov 21 14:00,37.81535303,213.25,555.5,31.35,-64.54166519,26.88040519
Year 1 Nov 21 15:00,41.03739303,216.75,406.5,31.55,-21.14230989,27.35458331
Year 1 Nov 21 16:00,38.37238795,202.5,103.5,31,34.8885475,28.02978494
Year 1 Nov 21 17:00,35.38770417,105,47.25,29.9,92.59459579,28.74447451
Year 1 Nov 21 18:00,31.06906359,11.25,0,27.875,137.1693067,29.29421781
Year 1 Nov 21 19:00,28.84920198,0,0,25.5,157.0275243,29.58304744
Year 1 Nov 21 20:00,27.16994297,0,0,23.025,153.7199826,29.61641989
Year 1 Nov 21 21:00,25.70409912,0,0,21.35,135.7673403,29.46380961
Year 1 Nov 21 22:00,24.68954485,0,0,20.4,107.7369208,29.20177866
Year 1 Nov 21 23:00,24.08987444,0,0,20.35,75.15739992,28.87714899
Year 1 Nov 22 00:00,23.67604036,0,0,20.4,42.10938563,28.52840366
Year 1 Nov 22 01:00,23.38605186,0,0,20.55,12.22600546,28.17915127
Year 1 Nov 22 02:00,23.04738598,0,0,20.15,-13.6745521,27.84503115
Year 1 Nov 22 03:00,22.61349136,0,0,19.55,-34.75013699,27.52762875
Year 1 Nov 22 04:00,21.78838741,0,0,18.425,-52.35202882,27.22436425
Year 1 Nov 22 05:00,21.56605716,0,0,19.525,-67.62938402,26.92225259
Year 1 Nov 22 06:00,21.32767117,0,0,19.325,-84.93146832,26.63023671
Year 1 Nov 22 07:00,21.43508438,0,0,19.625,-98.5755769,26.34656892
Year 1 Nov 22 08:00,21.96266851,14.5,51,20.85,-111.5776996,26.09002738
Year 1 Nov 22 09:00,23.84444361,59.5,339.75,23.6,-122.0569605,25.87825216
Year 1 Nov 22 10:00,26.37018835,57.75,817.75,26.425,-127.9910527,25.7532999
Year 1 Nov 22 11:00,28.7610966,66.5,944.25,28.975,-123.3465845,25.75389419
Year 1 Nov 22 12:00,30.55941805,151.25,695.5,29.825,-106.8019618,25.89805389
Year 1 Nov 22 13:00,31.69897997,187,557.5,29.675,-78.05642632,26.16067166
Year 1 Nov 22 14:00,32.94795115,280,113.75,28.55,-43.68242679,26.49867256
Year 1 Nov 22 15:00,35.38058318,276.25,211.5,27.825,-7.492726583,26.88335687
Year 1 Nov 22 16:00,34.37474112,197.25,103.25,27.175,28.85410028,27.33244794
Year 1 Nov 22 17:00,36.15154032,134.75,143,27,66.24878507,27.78165724
Year 1 Nov 22 18:00,35.53635359,53.25,66.75,26.325,99.9978848,28.21599389
Year 1 Nov 22 19:00,29.65427276,0,0,25.425,130.6056945,28.61235137
Year 1 Nov 22 20:00,27.97323044,0,0,23.85,145.9985467,28.85744512
Year 1 Nov 22 21:00,26.73149362,0,0,22.575,141.6087584,28.8731521
Year 1 Nov 22 22:00,25.55798763,0,0,21.325,122.7480732,28.73153802
Year 1 Nov 22 23:00,24.8932842,0,0,20.85,97.75503624,28.49663485
Year 1 Nov 23 00:00,24.16125701,0,0,20.5,69.20056665,28.21792185
Year 1 Nov 23 01:00,23.6805266,0,0,20.85,41.6228148,27.92003973
Year 1 Nov 23 02:00,23.19213407,0,0,20.925,15.07600702,27.62035118
Year 1 Nov 23 03:00,22.82078367,0,0,21.125,-8.112575915,27.32288473
Year 1 Nov 23 04:00,22.50491457,0,0,20.675,-28.75531551,27.03374833
Year 1 Nov 23 05:00,22.45360609,0,0,20.875,-45.8345196,26.75259517
Year 1 Nov 23 06:00,22.40742234,0,0,20.55,-60.66086432,26.48896781
Year 1 Nov 23 07:00,22.1769771,0,0,20.625,-72.88115485,26.25031159
Year 1 Nov 23 08:00,22.56009466,14.5,39.75,20.925,-83.34162637,26.03644969
Year 1 Nov 23 09:00,23.94955571,67.5,254.5,22.575,-91.77387118,25.84918549
Year 1 Nov 23 10:00,26.00204237,113.25,524.5,24.75,-97.26864534,25.72739257
Year 1 Nov 23 11:00,28.47682391,141.75,594.25,27.475,-95.14978825,25.70726854
Year 1 Nov 23 12:00,30.03150073,117.75,823.25,29.25,-83.7589045,25.81937144
Year 1 Nov 23 13:00,32.58321209,235.5,494.75,30.35,-61.84104434,26.05124411
Year 1 Nov 23 14:00,36.74156369,206.5,568.75,30.15,-31.81023136,26.38705058
Year 1 Nov 23 15:00,38.2782083,279.75,265.25,29.775,9.236087298,26.85594672
Year 1 Nov 23 16:00,39.14249818,212.25,262,28.8,56.65444786,27.46079863
Year 1 Nov 23 17:00,39.46575946,128.75,264.25,28.125,110.4648999,28.09985375
Year 1 Nov 23 18:00,37.4341185,55.5,108.75,27.1,160.2275096,28.72569804
Year 1 Nov 23 19:00,30.82327847,0,0,26.575,199.0235739,29.24956796
Year 1 Nov 23 20:00,29.20202418,0,0,25.825,212.687586,29.54966451
Year 1 Nov 23 21:00,28.01237465,0,0,25.525,200.7777041,29.58068987
Year 1 Nov 23 22:00,27.06957295,0,0,24.75,173.8175727,29.44333068
Year 1 Nov 23 23:00,26.13379725,0,0,23.975,143.1499204,29.21274454
Year 1 Nov 24 00:00,24.95773755,0,0,22.525,111.7068332,28.93570799
Year 1 Nov 24 01:00,23.98071077,0,0,21.425,81.855206,28.62283661
Year 1 Nov 24 02:00,23.52659906,0,0,20.45,51.48945753,28.28535925
Year 1 Nov 24 03:00,23.31610486,0,0,20.5,22.44004482,27.93761895
Year 1 Nov 24 04:00,23.01852086,0,0,20.525,-4.38026312,27.60548273
Year 1 Nov 24 05:00,23.08722809,0,0,21.925,-26.8607709,27.29526461
Year 1 Nov 24 06:00,22.9420581,0,0,21.8,-45.75817736,27.01436439
Year 1 Nov 24 07:00,22.79074004,0,0,21.9,-59.79890043,26.76216014
Year 1 Nov 24 08:00,23.13054418,12.5,77.25,22.75,-72.43463802,26.54056581
Year 1 Nov 24 09:00,25.01515101,48,455,24.8,-83.15690529,26.35346451
Year 1 Nov 24 10:00,27.01922016,38,944.75,26.975,-89.77206864,26.24105367
Year 1 Nov 24 11:00,28.86921196,34.5,1074.5,29.075,-86.89010433,26.24147909
Year 1 Nov 24 12:00,30.45346613,86.75,921,30.125,-74.6990172,26.36404504
Year 1 Nov 24 13:00,32.23448887,168,688.75,30.525,-52.90670541,26.5860555
Year 1 Nov 24 14:00,36.7087079,168.75,679.25,30.15,-24.81516811,26.89080818
Year 1 Nov 24 15:00,41.0672128,158.5,642.75,29.925,12.17906949,27.31778302
Year 1 Nov 24 16:00,43.08250318,146.25,522.5,29.525,60.35940752,27.93575116
