Date/Time,[1] Surface Outside Face Temperature  (C),[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Surface Inside Face Conduction Heat Transfer Rate  (W),[1] Surface Inside Face Temperature  (C)
,BLOCK1:ZONE1_WALL_3_0_0,Environment,Environment,Environment,BLOCK1:ZONE1_WALL_3_0_0,BLOCK1:ZONE1_WALL_3_0_0
Year 1 Apr 18 03:00,24.28014389,0,0,22.225,-28.19294039,30.09636148
Year 1 Apr 18 04:00,23.62426529,0,0,21.525,-50.14676365,29.74785891
Year 1 Apr 18 05:00,23.15162531,0,0,20.2,-69.91996117,29.39534331
Year 1 Apr 18 06:00,23.21599089,0,0,20.775,-88.62362524,29.04451689
Year 1 Apr 18 07:00,23.9504,8.5,18.5,22.375,-107.8812846,28.72323431
Year 1 Apr 18 08:00,25.57969098,46.25,197.5,24.9,-123.379505,28.45292959
Year 1 Apr 18 09:00,27.83838311,89.25,609.25,26.95,-132.4385177,28.27304251
Year 1 Apr 18 10:00,29.82808071,109,767.5,28.75,-129.9165088,28.21308746
Year 1 Apr 18 11:00,31.16865623,127,853.5,29.8,-116.2916808,28.28541796
Year 1 Apr 18 12:00,32.13431342,153.5,854.75,30.9,-93.541097,28.46462736
Year 1 Apr 18 13:00,33.24756304,112.5,986.25,31.575,-67.41157838,28.71745701
Year 1 Apr 18 14:00,37.62464387,232.25,722.25,32.225,-39.15662416,29.01392206
Year 1 Apr 18 15:00,39.32320614,440,183,32.025,-5.807057468,29.39910994
Year 1 Apr 18 16:00,39.99378356,356.5,145,31.6,35.88709122,29.91059626
Year 1 Apr 18 17:00,40.05272117,269,177.5,30.375,82.60864156,30.47326057
Year 1 Apr 18 18:00,38.3187854,155,161.25,29.175,128.1066015,31.01226568
Year 1 Apr 18 19:00,31.77026041,35.25,6.75,27.55,163.4636569,31.4668231
Year 1 Apr 18 20:00,29.28587927,0,0,26.275,176.2521818,31.69360176
Year 1 Apr 18 21:00,27.60930201,0,0,24.875,161.9330631,31.64695807
Year 1 Apr 18 22:00,26.61595927,0,0,24.275,132.0983594,31.40692331
Year 1 Apr 18 23:00,25.83454667,0,0,23.9,94.39983656,31.06845407
Year 1 Apr 19 00:00,25.80442659,0,0,24.175,56.61985307,30.69021752
Year 1 Apr 19 01:00,25.61789385,0,0,24,21.66896294,30.31646039
Year 1 Apr 19 02:00,24.99262251,0,0,23.525,-6.386292917,29.96821927
Year 1 Apr 19 03:00,24.12851465,0,0,22.05,-29.28883186,29.643027
Year 1 Apr 19 04:00,23.58466076,0,0,20.85,-48.57694898,29.3184381
Year 1 Apr 19 05:00,23.26830482,0,0,20.45,-66.71229996,28.98839023
Year 1 Apr 19 06:00,23.43652042,0,0,21.15,-84.39022207,28.66546037
Year 1 Apr 19 07:00,23.73091274,8.75,22.75,22.675,-101.4377761,28.37237005
Year 1 Apr 19 08:00,25.23224461,42,246.5,24.975,-115.5378279,28.12580485
Year 1 Apr 19 09:00,27.64185888,56.25,799.25,27.1,-124.4753396,27.95304734
Year 1 Apr 19 10:00,29.48069535,49,1029.75,28.875,-123.0411157,27.89403391
Year 1 Apr 19 11:00,30.79784439,97.25,937.5,29.825,-110.2635867,27.96453871
Year 1 Apr 19 12:00,31.72318047,160.25,850.5,30.375,-88.33732679,28.13873905
Year 1 Apr 19 13:00,32.66912917,293.5,607,30.275,-62.32703358,28.3799915
Year 1 Apr 19 14:00,36.27521043,398.25,397.5,30.05,-34.22457858,28.65863832
Year 1 Apr 19 15:00,38.64064568,447.5,212.25,29.4,-2.608181345,29.00927465
Year 1 Apr 19 16:00,38.95924871,350,153.75,28.75,36.52361948,29.47759314
Year 1 Apr 19 17:00,35.21850126,208.5,66.25,27.775,82.08154159,29.99776865
Year 1 Apr 19 18:00,35.96711379,162,127.75,26.9,117.7873418,30.43340387
Year 1 Apr 19 19:00,32.95591191,60.75,50.25,25.875,139.7055344,30.74052924
Year 1 Apr 19 20:00,28.2800599,0,0,25.15,148.8510245,30.91369099
Year 1 Apr 19 21:00,26.89101915,0,0,24.475,138.778001,30.89671503
Year 1 Apr 19 22:00,26.46006815,0,0,24.3,112.1930592,30.68932438
Year 1 Apr 19 23:00,25.99723548,0,0,24.225,78.33752307,30.38354858
Year 1 Apr 20 00:00,25.78696614,0,0,24.425,45.46492129,30.05315758
Year 1 Apr 20 01:00,25.70096811,0,0,24.2,16.23440264,29.73150254
Year 1 Apr 20 02:00,25.05642472,0,0,23.575,-7.37657763,29.43121706
Year 1 Apr 20 03:00,24.15728985,0,0,22.275,-26.56156414,29.14940525
Year 1 Apr 20 04:00,23.46861583,0,0,21.15,-43.40187175,28.86348335
Year 1 Apr 20 05:00,24.02367386,0,0,23.225,-60.30366468,28.56606328
Year 1 Apr 20 06:00,24.48818268,0,0,23.925,-79.21908002,28.29377269
Year 1 Apr 20 07:00,24.55788323,6.75,7,24.5,-91.24732332,28.0632256
Year 1 Apr 20 08:00,25.46536042,46.25,130.25,25.225,-99.5990538,27.88351813
Year 1 Apr 20 09:00,27.74392294,121.25,448.25,26.675,-103.6557872,27.75393161
Year 1 Apr 20 10:00,29.75322969,182.25,509,27.85,-101.3151197,27.71482518
Year 1 Apr 20 11:00,31.58942363,264.75,499.25,29.075,-88.40619908,27.7925965
Year 1 Apr 20 12:00,32.96912066,413,285,29.4,-67.02795979,27.98547521
Year 1 Apr 20 13:00,33.51217782,388,375.5,29.7,-38.51024789,28.26736246
Year 1 Apr 20 14:00,36.28013359,426.25,218.5,29.65,-9.070808143,28.5985043
Year 1 Apr 20 15:00,42.22810958,324,493,30.2,21.70753071,28.98678036
Year 1 Apr 20 16:00,46.73976621,279.75,464.5,30.55,64.33415982,29.5218969
Year 1 Apr 20 17:00,49.1975105,221.25,412.5,30.9,126.1608484,30.2639025
Year 1 Apr 20 18:00,47.21134679,151.5,283.75,30.325,200.9683261,31.16468287
Year 1 Apr 20 19:00,40.86594474,63,61.5,29.425,274.1555309,32.06120058
Year 1 Apr 20 20:00,33.50624885,0,0,28,319.9701098,32.72539282
Year 1 Apr 20 21:00,31.06301066,0,0,27.075,324.6402465,33.00150975
Year 1 Apr 20 22:00,29.78603216,0,0,26.15,292.6341442,32.9207013
Year 1 Apr 20 23:00,28.972929,0,0,25.675,244.6107345,32.62995712
Year 1 Apr 21 00:00,28.35278526,0,0,24.925,193.4805431,32.2554665
Year 1 Apr 21 01:00,27.92365502,0,0,24.475,146.6075182,31.85861833
Year 1 Apr 21 02:00,27.15082889,0,0,23.8,104.8070887,31.47538962
Year 1 Apr 21 03:00,26.49161196,0,0,23.75,69.46525534,31.10699482
Year 1 Apr 21 04:00,25.95913009,0,0,23.575,36.66539009,30.75592195
Year 1 Apr 21 05:00,26.01623082,0,0,24.775,7.751153801,30.41613297
Year 1 Apr 21 06:00,26.33538232,0,0,25.95,-18.54994148,30.10463109
Year 1 Apr 21 07:00,26.80222293,6.75,6,26.95,-38.09635349,29.83124704
Year 1 Apr 21 08:00,28.0218652,45.5,133.25,27.8,-53.02102657,29.61533713
Year 1 Apr 21 09:00,29.95614966,113,490,28.525,-61.5199854,29.47216004
Year 1 Apr 21 10:00,31.50673965,166.75,574.5,29.3,-60.99220818,29.42837986
Year 1 Apr 21 11:00,32.87935191,215.5,609.25,30.175,-51.44195728,29.49468008
Year 1 Apr 21 12:00,33.68208724,198.75,756.5,31.075,-34.95990223,29.65754052
Year 1 Apr 21 13:00,34.66874913,209.5,780,31.825,-14.77678264,29.88894666
Year 1 Apr 21 14:00,38.96848461,273.75,651.5,32.225,7.390806616,30.1629222
Year 1 Apr 21 15:00,42.75237223,311.25,519.5,32,35.33239179,30.52616846
Year 1 Apr 21 16:00,42.60896875,374.5,241,31.225,78.29103031,31.0398906
Year 1 Apr 21 17:00,41.42611876,266.75,168,30.025,129.7991428,31.64261871
Year 1 Apr 21 18:00,37.31359676,143.75,68,28.8,176.1710591,32.20732981
Year 1 Apr 21 19:00,36.62127511,62.25,55.5,27.75,204.1020989,32.60988934
Year 1 Apr 21 20:00,31.36772404,0,0,27.125,211.358027,32.81999438
Year 1 Apr 21 21:00,29.89060018,0,0,26.775,198.9705671,32.83786723
Year 1 Apr 21 22:00,28.94494924,0,0,26.55,169.2345122,32.66076687
Year 1 Apr 21 23:00,28.29473551,0,0,26.125,131.7009195,32.37032961
Year 1 Apr 22 00:00,27.59178924,0,0,25.475,94.38723529,32.03260833
Year 1 Apr 22 01:00,26.84899773,0,0,24.7,60.35504692,31.68146587
Year 1 Apr 22 02:00,26.28805801,0,0,24.125,29.18853567,31.33024457
Year 1 Apr 22 03:00,25.78908694,0,0,23.925,0.773608749,30.98364174
Year 1 Apr 22 04:00,25.53288564,0,0,24.275,-24.77474772,30.6469727
Year 1 Apr 22 05:00,25.19824505,0,0,23.95,-46.90164849,30.3242635
Year 1 Apr 22 06:00,24.96518935,0,0,24.25,-64.7656748,30.01563149
Year 1 Apr 22 07:00,25.48645424,8.25,12,25.075,-82.38916165,29.73564438
Year 1 Apr 22 08:00,26.53190756,55,121,26.125,-96.72067965,29.4908847
Year 1 Apr 22 09:00,28.5033752,129.75,393.25,27.45,-105.5213866,29.30949517
Year 1 Apr 22 10:00,30.41112787,136.25,660.75,29.075,-106.3253137,29.22526215
Year 1 Apr 22 11:00,32.15192769,75.75,1001.5,30.925,-97.6300469,29.26098584
Year 1 Apr 22 12:00,33.85618336,69.75,1065.5,32.825,-80.62778798,29.41293095
Year 1 Apr 22 13:00,35.62736164,64.25,1098.75,34.275,-57.24551049,29.66651298
Year 1 Apr 22 14:00,40.65709091,95.25,1029,34.9,-27.60663232,30.00298707
Year 1 Apr 22 15:00,44.16433404,232.75,684.5,34.475,12.10616724,30.46338768
Year 1 Apr 22 16:00,42.46813813,374,223,33.1,64.02595904,31.103081
Year 1 Apr 22 17:00,40.04431264,266.75,142,31.125,123.6045109,31.7872347
Year 1 Apr 22 18:00,36.49083479,153,84,29.175,170.9673691,32.35270095
Year 1 Apr 22 19:00,33.64293532,56.25,33.75,27.65,195.4825205,32.70732329
Year 1 Apr 22 20:00,29.61525758,0,0,26.775,195.2509728,32.82711884
Year 1 Apr 22 21:00,28.31994636,0,0,26.375,173.3728255,32.72555527
Year 1 Apr 22 22:00,27.77707194,0,0,26.225,136.5643832,32.45025806
Year 1 Apr 22 23:00,27.36825206,0,0,26.05,95.56934374,32.09242006
Year 1 Apr 23 00:00,26.96651193,0,0,25.7,57.8759136,31.71687354
Year 1 Apr 23 01:00,26.47688347,0,0,25.075,24.98760617,31.35420366
Year 1 Apr 23 02:00,25.85687553,0,0,24.375,-2.800230719,31.00926623
Year 1 Apr 23 03:00,25.38126437,0,0,23.825,-26.806912,30.67745809
Year 1 Apr 23 04:00,24.95140558,0,0,23.625,-47.94748102,30.35338616
Year 1 Apr 23 05:00,24.43538704,0,0,22.7,-66.12495826,30.03536879
Year 1 Apr 23 06:00,24.38364773,0,0,23,-83.15541191,29.72791197
Year 1 Apr 23 07:00,25.01556529,10,37.75,24.4,-100.0213578,29.44156554
Year 1 Apr 23 08:00,26.7928385,56.25,225.75,26.45,-114.1670609,29.19808007
Year 1 Apr 23 09:00,29.35435753,93.75,574,28.725,-121.9766775,29.03795025
Year 1 Apr 23 10:00,31.45900145,81.25,904.25,30.875,-119.0524049,29.0062142
Year 1 Apr 23 11:00,33.28931636,140,814,32.6,-104.1562738,29.11672624
Year 1 Apr 23 12:00,34.78176636,214,765.5,33.825,-79.87041558,29.35178194
Year 1 Apr 23 13:00,36.96949782,485.5,292.25,34.4,-48.97963406,29.67658973
Year 1 Apr 23 14:00,39.48325226,457.5,316.5,34.425,-13.12171201,30.0762439
Year 1 Apr 23 15:00,42.14196853,349.25,448.25,33.95,27.31012308,30.56015644
Year 1 Apr 23 16:00,42.41260281,358.25,318.75,33.05,73.03879028,31.13881951
Year 1 Apr 23 17:00,42.72404485,226.75,359.5,31.9,124.5358294,31.74919616
Year 1 Apr 23 18:00,37.63608756,155.25,109.25,30.625,171.8635661,32.33480652
Year 1 Apr 23 19:00,32.87591155,38.25,8.25,29.325,203.0240359,32.7742028
Year 1 Apr 23 20:00,30.52502294,0,0,28.25,205.4462436,32.93890824
Year 1 Apr 23 21:00,29.31607641,0,0,27.4,183.2568917,32.84819682
Year 1 Apr 23 22:00,28.64110902,0,0,26.75,148.4941839,32.59535801
Year 1 Apr 23 23:00,27.92232961,0,0,26.3,110.3224021,32.2690301
Year 1 Apr 24 00:00,27.23095198,0,0,25.9,73.89793371,31.92137574
Year 1 Apr 24 01:00,26.7573694,0,0,25.275,40.87188558,31.5698713
Year 1 Apr 24 02:00,26.15541088,0,0,24.425,11.54745249,31.22338532
Year 1 Apr 24 03:00,25.63274594,0,0,23.45,-13.92364751,30.88509607
Year 1 Apr 24 04:00,24.93257739,0,0,22.675,-36.30900858,30.5528686
Year 1 Apr 24 05:00,24.60042491,0,0,23.175,-56.49398807,30.22465765
Year 1 Apr 24 06:00,25.0655037,0,0,24.525,-76.18640726,29.90581257
Year 1 Apr 24 07:00,26.10679451,10,24.5,26.325,-94.82962434,29.62397412
Year 1 Apr 24 08:00,28.26857459,39.75,299.25,28.675,-108.2150892,29.40941797
Year 1 Apr 24 09:00,30.72008381,58,857.5,30.95,-113.2299347,29.30197627
Year 1 Apr 24 10:00,33.16814958,91.25,815.75,33.075,-106.1308895,29.33379641
Year 1 Apr 24 11:00,34.60980346,23.75,1100,34.8,-87.59000864,29.51414265
Year 1 Apr 24 12:00,36.25182324,71.75,1034,36.325,-59.70762749,29.81294934
Year 1 Apr 24 13:00,38.05503493,158.5,889.5,37.225,-26.63817345,30.19117812
Year 1 Apr 24 14:00,42.40903426,155.75,899.75,37.55,10.21102462,30.63308301
Year 1 Apr 24 15:00,46.18770586,369.25,402,36.925,52.54450114,31.1784336
Year 1 Apr 24 16:00,47.38056547,369.25,221.25,35.575,107.4329724,31.86823008
Year 1 Apr 24 17:00,43.50937197,225,77.5,33.55,173.5509919,32.64570771
Year 1 Apr 24 18:00,37.19161304,64.75,6,31.5,230.7977309,33.34636084
Year 1 Apr 24 19:00,34.92951031,39,9,29.65,257.6434431,33.77345514
Year 1 Apr 24 20:00,31.37516647,0,0,28.3,252.352016,33.89285917
Year 1 Apr 24 21:00,29.78838229,0,0,27.325,224.2762462,33.77487612
Year 1 Apr 24 22:00,28.77589934,0,0,26.875,182.6699874,33.48440164
Year 1 Apr 24 23:00,28.1359877,0,0,26.5,136.300541,33.10704705
Year 1 Apr 25 00:00,27.95547227,0,0,26.25,92.05087172,32.70097776
Year 1 Apr 25 01:00,27.51142838,0,0,25.6,53.35478772,32.30319612
Year 1 Apr 25 02:00,26.71327626,0,0,24.8,21.10341183,31.93152996
Year 1 Apr 25 03:00,26.09178492,0,0,23.775,-6.464464377,31.57829285
Year 1 Apr 25 04:00,25.45422437,0,0,23.275,-30.8171574,31.22991539
Year 1 Apr 25 05:00,24.67942163,0,0,22.75,-53.10280664,30.88559391
Year 1 Apr 25 06:00,24.81816823,0,0,23.65,-73.24797835,30.53891116
Year 1 Apr 25 07:00,25.96590834,10.5,43.25,25.8,-94.611121,30.21528478
Year 1 Apr 25 08:00,28.30972916,33,404.75,28.575,-112.2653842,29.95450635
Year 1 Apr 25 09:00,30.73212418,4.5,1100,31.475,-120.808215,29.8084267
Year 1 Apr 25 10:00,33.00240668,6.5,1100,33.925,-116.6193528,29.81323697
Year 1 Apr 25 11:00,35.25179994,38,1087.75,35.625,-99.92761866,29.96818294
Year 1 Apr 25 12:00,36.6414454,88.5,1023.75,36.45,-71.8182932,30.25110152
Year 1 Apr 25 13:00,37.70424245,168.25,870.75,36.525,-36.20912262,30.6277095
Year 1 Apr 25 14:00,41.26754014,324.25,568.75,36.125,1.818473089,31.05546833
Year 1 Apr 25 15:00,42.62972595,435.5,249,35.475,41.92084311,31.55312351
Year 1 Apr 25 16:00,41.39094711,332.5,135.5,34.55,88.14150994,32.13099947
Year 1 Apr 25 17:00,43.44831302,272.25,268.25,33.325,133.4826399,32.68711235
Year 1 Apr 25 18:00,40.81186414,167.75,172.5,31.8,174.047291,33.2054667
Year 1 Apr 25 19:00,37.38407286,64.5,60.75,30.275,206.2756586,33.64819875
Year 1 Apr 25 20:00,32.15013478,0,0,28.775,219.8377815,33.91775698
Year 1 Apr 25 21:00,30.52658006,0,0,27.65,208.9821218,33.94348351
Year 1 Apr 25 22:00,29.30864581,0,0,26.8,177.4890161,33.74366765
Year 1 Apr 25 23:00,28.55149453,0,0,26.3,136.7604509,33.41503275
Year 1 Apr 26 00:00,27.88591554,0,0,25.75,94.83061811,33.0324993
Year 1 Apr 26 01:00,27.22868307,0,0,25.075,56.33869512,32.6359957
Year 1 Apr 26 02:00,26.25763012,0,0,24.075,21.84601563,32.24438044
Year 1 Apr 26 03:00,25.31957055,0,0,23.05,-8.599198001,31.85432297
Year 1 Apr 26 04:00,24.47032138,0,0,22.35,-36.80861464,31.45801017
Year 1 Apr 26 05:00,25.16806288,0,0,24.15,-63.29330687,31.05474037
Year 1 Apr 26 06:00,25.92076508,0,0,25.175,-89.18200305,30.68209202
Year 1 Apr 26 07:00,26.52474649,10.25,22.75,25.9,-107.5003408,30.37705454
Year 1 Apr 26 08:00,27.70326509,62.25,142.75,27.075,-118.6045433,30.1510276
Year 1 Apr 26 09:00,29.76404748,133,367,28.45,-122.7539536,30.0084472
Year 1 Apr 26 10:00,31.91331852,199.5,511.25,30.075,-118.3362956,29.96842366
Year 1 Apr 26 11:00,34.07684758,310.25,410,31.625,-104.3525369,30.05096975
Year 1 Apr 26 12:00,34.94605598,265.25,621.5,33.05,-80.89139931,30.25728197
Year 1 Apr 26 13:00,36.18974331,337.75,525.25,33.85,-52.06482174,30.55541357
Year 1 Apr 26 14:00,39.47099828,306,540.5,34,-20.37070341,30.90370428
Year 1 Apr 26 15:00,39.90261882,422.25,143.75,33.325,15.16848778,31.31830448
Year 1 Apr 26 16:00,40.68119752,376.5,213.25,32.125,54.39519918,31.8004153
Year 1 Apr 26 17:00,38.59821894,271.25,156.5,30.6,96.53834446,32.28270606
Year 1 Apr 26 18:00,35.42283904,156.75,91.75,29.225,131.0253788,32.69750929
Year 1 Apr 26 19:00,32.38553675,54,27.75,28,148.5688954,32.95525833
Year 1 Apr 26 20:00,29.36667261,0,0,27.175,145.9528758,33.00871154
Year 1 Apr 26 21:00,28.53611523,0,0,26.475,124.6497189,32.8690424
Year 1 Apr 26 22:00,28.04890952,0,0,26.075,92.88950521,32.59098477
Year 1 Apr 26 23:00,27.62470762,0,0,25.7,58.5885631,32.25699176
Year 1 Apr 27 00:00,27.24256703,0,0,25.525,26.9444824,31.91504167
Year 1 Apr 27 01:00,26.99287186,0,0,25.35,-0.892338792,31.58565275
Year 1 Apr 27 02:00,26.45469118,0,0,25.225,-24.35487037,31.27438412
Year 1 Apr 27 03:00,26.00409375,0,0,24.975,-44.06484326,30.97932119
Year 1 Apr 27 04:00,25.80780964,0,0,24.825,-60.89833773,30.69049794
Year 1 Apr 27 05:00,25.7909377,0,0,24.65,-76.99282798,30.4170576
Year 1 Apr 27 06:00,25.89007212,0,0,24.825,-90.42756961,30.16336545
Year 1 Apr 27 07:00,26.38107223,8.5,8.25,25.725,-101.4433697,29.93956162
Year 1 Apr 27 08:00,27.58839936,42.25,202.75,27.05,-109.7232917,29.75692161
Year 1 Apr 27 09:00,29.81447487,99.75,636.5,28.9,-113.1983661,29.63684056
Year 1 Apr 27 10:00,32.08811324,191,486.25,30.675,-109.2115488,29.61649535
Year 1 Apr 27 11:00,33.78030426,152,783.75,32.375,-94.69025015,29.72094621
Year 1 Apr 27 12:00,34.83200079,136.5,916,33.4,-71.59155482,29.94447663
Year 1 Apr 27 13:00,35.98646858,249.5,702.5,34.125,-42.6791445,30.24723483
Year 1 Apr 27 14:00,40.04786835,248.25,706.5,34.375,-11.87708915,30.59883073
Year 1 Apr 27 15:00,44.63631674,241.25,680.5,34.55,23.98452738,31.03158551
Year 1 Apr 27 16:00,48.42617722,160.5,774.5,34.225,70.46879097,31.62931056
Year 1 Apr 27 17:00,49.26121969,151,644,33.575,135.544103,32.38849211
Year 1 Apr 27 18:00,45.76803734,139,387.5,32.275,207.490783,33.23938623
Year 1 Apr 27 19:00,40.82749449,70.5,159,30.775,269.2898984,34.00710793
Year 1 Apr 27 20:00,33.31126369,0,0,29.2,301.9282764,34.52062917
Year 1 Apr 27 21:00,31.30546431,0,0,28.125,295.6210489,34.66813238
Year 1 Apr 27 22:00,29.97402194,0,0,27.3,256.7772918,34.48776669
Year 1 Apr 27 23:00,29.16484754,0,0,26.875,205.06254,34.12523081
Year 1 Apr 28 00:00,28.54190075,0,0,26.425,151.7193582,33.69339188
Year 1 Apr 28 01:00,27.93408212,0,0,26,103.0780493,33.25069253
Year 1 Apr 28 02:00,27.47515297,0,0,25.375,61.03513302,32.82000741
Year 1 Apr 28 03:00,27.39215225,0,0,24.975,24.72985799,32.41220507
Year 1 Apr 28 04:00,26.8447436,0,0,24.525,-5.857622465,32.03614822
Year 1 Apr 28 05:00,26.1015001,0,0,23.65,-30.58193248,31.68983021
Year 1 Apr 28 06:00,26.13165042,0,0,23.925,-51.65177458,31.35593821
Year 1 Apr 28 07:00,26.38514489,11.25,33,25.15,-70.7346229,31.03662949
Year 1 Apr 28 08:00,27.66188168,51.5,271.5,26.925,-88.64797273,30.76364898
Year 1 Apr 28 09:00,29.64288371,68.75,753.75,28.825,-100.9158431,30.55950067
Year 1 Apr 28 10:00,31.39933659,65.5,957,30.5,-104.0357276,30.46041724
Year 1 Apr 28 11:00,33.21562723,166.25,803.5,31.875,-96.50217876,30.4813434
Year 1 Apr 28 12:00,35.45414828,404.75,321.75,32.95,-79.61640116,30.6154346
Year 1 Apr 28 13:00,36.68789129,353.5,481,33.725,-54.75547222,30.85947076
Year 1 Apr 28 14:00,40.81349943,455.75,249.75,34.275,-23.95025272,31.19094961
Year 1 Apr 28 15:00,43.93691677,353,372,34.475,13.54501096,31.62998546
Year 1 Apr 28 16:00,41.8480813,339.75,140.5,34.125,60.47000473,32.21930729
Year 1 Apr 28 17:00,42.60279183,272.25,243.25,33.25,111.8324402,32.82552976
Year 1 Apr 28 18:00,39.03021033,165.25,124.25,31.875,155.7406939,33.37016432
Year 1 Apr 28 19:00,37.10248322,70.5,93.75,30.225,185.4774686,33.77817192
Year 1 Apr 28 20:00,31.70584109,0,0,28.6,196.0386563,33.99844968
Year 1 Apr 28 21:00,30.2987743,0,0,27.3,184.7836403,33.99370799
Year 1 Apr 28 22:00,29.5284045,0,0,26.55,154.4370639,33.77840216
Year 1 Apr 28 23:00,28.58326914,0,0,26.25,115.733185,33.45385978
Year 1 Apr 29 00:00,28.02219222,0,0,26.125,76.90098723,33.08838183
Year 1 Apr 29 01:00,27.58572886,0,0,25.8,40.48001395,32.71306554
Year 1 Apr 29 02:00,26.96773711,0,0,25.175,8.685636316,32.34507006
Year 1 Apr 29 03:00,26.15225137,0,0,24.325,-18.5596815,31.98878193
Year 1 Apr 29 04:00,25.7955334,0,0,23.65,-42.53224486,31.63666577
Year 1 Apr 29 05:00,25.28424824,0,0,22.825,-63.82312436,31.28568808
Year 1 Apr 29 06:00,25.08954914,0,0,23.425,-82.70452792,30.9437989
Year 1 Apr 29 07:00,25.65589201,11.25,56.75,24.9,-102.2426113,30.62855068
Year 1 Apr 29 08:00,27.44038229,49.75,355,26.875,-118.6718632,30.3543222
Year 1 Apr 29 09:00,29.80831922,98,656.25,28.9,-128.3827335,30.16318371
Year 1 Apr 29 10:00,32.3572441,194,481.25,30.9,-126.9622004,30.09756348
Year 1 Apr 29 11:00,34.0545004,150.5,789.25,32.6,-112.9918318,30.18055905
Year 1 Apr 29 12:00,35.14325676,101.75,998.75,34.05,-88.58668919,30.39701976
Year 1 Apr 29 13:00,36.38333576,163,882.5,35,-58.80039463,30.70253019
Year 1 Apr 29 14:00,40.79546024,147.5,917.75,35.5,-26.39429216,31.059998
Year 1 Apr 29 15:00,44.30417057,277.25,603.75,35.375,11.8593058,31.50457433
Year 1 Apr 29 16:00,46.58875047,222.25,609.5,34.7,59.8864128,32.1030986
Year 1 Apr 29 17:00,45.0965381,235.5,378,33.375,120.8730726,32.81560114
Year 1 Apr 29 18:00,43.21296795,161,281.75,31.8,181.1272746,33.52345417
Year 1 Apr 29 19:00,39.02312148,71.25,109.5,30.05,227.0808706,34.10968967
Year 1 Apr 29 20:00,32.50482847,0,0,28.4,249.5907516,34.47950829
Year 1 Apr 29 21:00,30.47476179,0,0,26.95,240.629244,34.54655423
Year 1 Apr 29 22:00,29.04715813,0,0,25.925,205.5068922,34.32884401
Year 1 Apr 29 23:00,27.96247684,0,0,25.175,157.8716443,33.94889901
Year 1 Apr 30 00:00,27.2510424,0,0,24.7,108.3859764,33.49698067
Year 1 Apr 30 01:00,26.58172055,0,0,24.15,61.72801611,33.02562351
Year 1 Apr 30 02:00,25.85071208,0,0,23.55,20.28330505,32.56189752
Year 1 Apr 30 03:00,25.09536742,0,0,22.875,-15.75308357,32.11213754
Year 1 Apr 30 04:00,24.77922038,0,0,22.475,-47.099952,31.67355381
Year 1 Apr 30 05:00,23.90025845,0,0,21.35,-73.74702254,31.24640356
Year 1 Apr 30 06:00,23.84269189,0,0,21.75,-96.94569209,30.83321547
Year 1 Apr 30 07:00,24.82425772,11,95,23.95,-121.0183317,30.45026743
Year 1 Apr 30 08:00,27.0378549,35.5,560,26.85,-141.5121954,30.12927238
Year 1 Apr 30 09:00,29.76554801,16.5,1092,30.075,-152.8582684,29.92073427
Year 1 Apr 30 10:00,32.22803957,49,1040,32.4,-150.9590823,29.86713916
Year 1 Apr 30 11:00,34.31976012,98,945.75,33.875,-133.6334515,29.97440143
Year 1 Apr 30 12:00,35.19466652,173,832.25,34.05,-104.704648,30.21958941
Year 1 Apr 30 13:00,35.89678453,299.25,605,33.85,-68.3892636,30.54879009
Year 1 Apr 30 14:00,38.90876377,254.25,698.5,33.5,-32.3103968,30.91379152
Year 1 Apr 30 15:00,42.86523653,196.75,774.25,33.55,4.42609245,31.3269447
Year 1 Apr 30 16:00,45.75328526,189,702.75,33.45,47.01077225,31.85996348
Year 1 Apr 30 17:00,47.29176308,163.5,620.75,33.1,102.7296569,32.51791201
Year 1 Apr 30 18:00,46.25723419,114.75,517,31.8,164.7929134,33.25133305
Year 1 Apr 30 19:00,40.76178093,67.5,216.75,30.125,224.1972138,33.96177073
Year 1 Apr 30 20:00,32.738916,0,0,28.275,262.0001983,34.48391876
Year 1 Apr 30 21:00,30.6757074,0,0,27.2,261.2735209,34.6447119
Year 1 Apr 30 22:00,29.68166202,0,0,26.775,225.69861,34.46500509
Year 1 Apr 30 23:00,29.12932413,0,0,26.925,175.8852407,34.10154511
Year 1 May 01 00:00,28.61157237,0,0,26.7,124.7886759,33.68087138
Year 1 May 01 01:00,27.69996397,0,0,25.1,80.69692541,33.25302608
Year 1 May 01 02:00,26.60184863,0,0,24.15,43.53126863,32.82990197
Year 1 May 01 03:00,26.007841,0,0,23.55,8.196329275,32.41539504
Year 1 May 01 04:00,25.49110285,0,0,23.325,-23.79184807,32.00005223
Year 1 May 01 05:00,25.41087245,0,0,23.825,-52.30696446,31.59542948
Year 1 May 01 06:00,25.87314474,0,0,24.675,-76.36803834,31.21120404
Year 1 May 01 07:00,26.44984549,11,20,25.725,-97.93438306,30.88249057
Year 1 May 01 08:00,28.18171827,58.25,188,27.65,-113.1487135,30.62075192
Year 1 May 01 09:00,30.56606103,80.75,659,29.775,-121.4102234,30.45329738
Year 1 May 01 10:00,32.58012936,35.25,1069.25,32.325,-118.7355283,30.41366369
