1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jun 23 21:00","31.6939044083258","28.975","35.3712796778333","0","0","253.635609362616"
"Year 1 Jun 23 22:00","30.2947400806471","28.175","35.2025985022143","0","0","219.770001464706"
"Year 1 Jun 23 23:00","29.6546867662146","27.55","34.8493299209266","0","0","172.198047132805"
"Year 1 Jun 24 00:00","29.0625190254112","27.175","34.4245410841414","0","0","122.261733024794"
"Year 1 Jun 24 01:00","28.4896984217636","26.65","33.9900484020842","0","0","76.897365914194"
"Year 1 Jun 24 02:00","27.9844486367259","26.125","33.5688564800187","0","0","37.4786581606393"
"Year 1 Jun 24 03:00","27.2223826155943","25.4","33.1688627431306","0","0","3.44619446574911"
"Year 1 Jun 24 04:00","26.5137669084382","24.9","32.7839266457941","0","0","-25.6418729637285"
"Year 1 Jun 24 05:00","25.8984453022554","24.35","32.4056522830349","0","0","-51.5545194904339"
"Year 1 Jun 24 06:00","25.4942546546454","24.2","32.0282249807752","0","0.5","-74.2204631802917"
"Year 1 Jun 24 07:00","25.7265443859903","24.725","31.6660118357789","35.25","24.5","-96.5000579198398"
"Year 1 Jun 24 08:00","27.4733438569147","26.025","31.3359308078581","278.5","93.5","-116.451281138845"
"Year 1 Jun 24 09:00","29.1833550211539","27.75","31.0814328842984","716.5","103.5","-130.195549187417"
"Year 1 Jun 24 10:00","31.0083408075348","29.625","30.9433096221949","869.75","94.25","-133.689606854474"
"Year 1 Jun 24 11:00","32.3104261034234","31.375","30.9290712065434","1100","22.5","-126.737703679907"
"Year 1 Jun 24 12:00","33.8137411764437","32.775","31.0232495873498","984.5","102","-111.073533184324"
"Year 1 Jun 24 13:00","36.1150445413885","33.775","31.2030679572411","667.5","275.5","-89.1120683386859"
"Year 1 Jun 24 14:00","40.6598318930696","34.45","31.4685195232115","763.5","220.75","-61.4599061393332"
"Year 1 Jun 24 15:00","44.6341565212667","34.75","31.8713670310717","825.25","172.75","-23.303530692494"
"Year 1 Jun 24 16:00","48.0999221315587","34.575","32.461303598103","906.25","106.5","27.3929384375201"
"Year 1 Jun 24 17:00","48.7647137246696","33.975","33.2179148624426","747.5","116.25","91.3260913376154"
"Year 1 Jun 24 18:00","46.1286323966654","32.9","34.0405065956814","494.25","107.75","163.472261167071"
"Year 1 Jun 24 19:00","39.3250187263403","31.475","34.7878814743734","128.25","66.75","225.595108533988"
"Year 1 Jun 24 20:00","33.1335376196283","29.975","35.2665143870918","0","0","257.831754438166"
"Year 1 Jun 24 21:00","31.2612624921483","28.625","35.3641738394854","0","0","249.840142563948"
"Year 1 Jun 24 22:00","30.0241741385412","27.7","35.1489993332928","0","0","212.3812673616"
"Year 1 Jun 24 23:00","29.2342616363751","27.275","34.7689851491228","0","0","163.152180613474"
"Year 1 Jun 25 00:00","28.9462652713769","27.2","34.3308227669154","0","0","112.4172354466"
"Year 1 Jun 25 01:00","28.4192456905769","27.05","33.8895771736408","0","0","66.8609753878647"
"Year 1 Jun 25 02:00","27.8793940524348","26.7","33.4735571782107","0","0","27.8830956261367"
"Year 1 Jun 25 03:00","27.2814084929624","26","33.0812731665842","0","0","-4.87127727252835"
"Year 1 Jun 25 04:00","26.4338033625754","25.125","32.7053635405198","0","0","-32.4597057124284"
"Year 1 Jun 25 05:00","25.951650958316","24.375","32.3355043577773","0","0","-56.4836042484121"
"Year 1 Jun 25 06:00","25.6402401872886","24.275","31.9655435391899","0.5","2","-77.9987229370023"
"Year 1 Jun 25 07:00","25.9376969092098","24.825","31.6167566531752","69.5","27.75","-99.4753017696843"
"Year 1 Jun 25 08:00","27.443463683607","25.9","31.3014061651892","384","88","-117.856165685147"
"Year 1 Jun 25 09:00","29.1876279050234","27.55","31.0580012978865","733.25","99.75","-130.072182248784"
"Year 1 Jun 25 10:00","31.0837110547465","29.425","30.9241015023581","800.5","126","-133.120278016466"
"Year 1 Jun 25 11:00","32.8470255702879","31.325","30.913326928362","911.25","120.25","-125.877785857341"
"Year 1 Jun 25 12:00","34.0373428325905","32.85","31.0206712943777","911","147.5","-109.340425817672"
"Year 1 Jun 25 13:00","36.3672582194041","34.1","31.220919987839","625","296.75","-85.9690568843661"
"Year 1 Jun 25 14:00","41.1218073702261","34.85","31.5032780963696","596.5","306.5","-57.6896797680027"
"Year 1 Jun 25 15:00","45.9829204850751","35.3","31.9238976525631","739.25","206.25","-18.5839340604701"
"Year 1 Jun 25 16:00","47.000315529252","35.175","32.5505768410395","487","254.5","34.462008345724"
"Year 1 Jun 25 17:00","44.6920420232359","34.575","33.3233935160661","220.25","260","99.6150301357555"
"Year 1 Jun 25 18:00","45.0325045276735","33.35","34.0515600126922","317.5","150","161.592628583981"
"Year 1 Jun 25 19:00","41.7099949554483","31.95","34.6623644681127","232.5","60.75","210.097800133785"
"Year 1 Jun 25 20:00","33.6800451179968","30.4","35.1168307769789","0","0","241.016978718729"
"Year 1 Jun 25 21:00","31.6224095517845","29.175","35.2722222858629","0","0","240.461947286632"
"Year 1 Jun 25 22:00","30.5101758379372","28.15","35.1132394058079","0","0","208.840376589975"
"Year 1 Jun 25 23:00","29.5795991111183","27.525","34.7725432201603","0","0","163.996805768935"
"Year 1 Jun 26 00:00","28.7353968928033","26.875","34.3633168016582","0","0","116.366796564013"
"Year 1 Jun 26 01:00","28.0188663003973","26.325","33.9305477978929","0","0","72.5554463428321"
"Year 1 Jun 26 02:00","27.2779784813453","25.6","33.5006657183708","0","0","32.427926496323"
"Year 1 Jun 26 03:00","26.6218671990266","25.025","33.0783903968266","0","0","-2.749303130549"
"Year 1 Jun 26 04:00","26.0375215482135","24.45","32.6659086018234","0","0","-33.8938474207305"
"Year 1 Jun 26 05:00","25.5232756614508","23.925","32.2617977638234","0","0","-60.7403238541979"
"Year 1 Jun 26 06:00","25.0755646840653","23.8","31.8675666375575","0","1","-84.0820682176129"
"Year 1 Jun 26 07:00","25.6039620906646","24.55","31.4976733230668","87.5","24.5","-106.883585344648"
"Year 1 Jun 26 08:00","27.3262811733804","25.85","31.1659627943383","431","89.75","-126.620951559886"
"Year 1 Jun 26 09:00","29.0561929501245","27.7","30.9175871881721","758.5","90.25","-139.015884160191"
"Year 1 Jun 26 10:00","30.7124232743736","29.475","30.7880432634872","1022.5","59.75","-141.314713773597"
"Year 1 Jun 26 11:00","32.3554974698419","31.025","30.7782445983307","1040.75","74","-133.038121557383"
"Year 1 Jun 26 12:00","33.5900805981392","31.925","30.8763103558856","887.75","160","-115.927624909619"
"Year 1 Jun 26 13:00","35.7738246446319","32.55","31.058859926896","603.5","308.5","-91.9805093986423"
"Year 1 Jun 26 14:00","40.4596357059808","32.925","31.3194706621727","787","210.25","-63.230528941681"
"Year 1 Jun 26 15:00","45.1829831383155","33.45","31.7155651253908","819.5","172","-24.9843768820032"
"Year 1 Jun 26 16:00","49.0013457130846","33.75","32.3178366422026","776.25","157.25","26.0694258169025"
"Year 1 Jun 26 17:00","51.7304896769881","33.8","33.1111503283151","763.5","112.5","93.4585731551768"
"Year 1 Jun 26 18:00","49.9615751380747","33.125","34.0244452712125","547.75","102.5","173.145803587717"
"Year 1 Jun 26 19:00","44.1519954176958","31.925","34.9279868450009","259.5","57.75","249.820991290165"
"Year 1 Jun 26 20:00","35.2533958761377","30.4","35.6153835869006","0","0","301.20703210206"
"Year 1 Jun 26 21:00","33.0313540220768","29.175","35.8924779160366","0","0","307.611820153595"
"Year 1 Jun 26 22:00","31.2941756385651","28.15","35.7801893743696","0","0","274.115918911018"
"Year 1 Jun 26 23:00","30.0909312046656","27.675","35.4443637840777","0","0","223.009680899869"
"Year 1 Jun 27 00:00","29.3092761747548","27.225","35.008111859929","0","0","167.027751959363"
"Year 1 Jun 27 01:00","28.6022755836225","26.8","34.5390414754915","0","0","113.966505799277"
"Year 1 Jun 27 02:00","27.6698907654366","26.025","34.0703101055036","0","0","67.1872638378654"
"Year 1 Jun 27 03:00","26.9075912668913","25.275","33.6131864825224","0","0","25.9578834513051"
"Year 1 Jun 27 04:00","26.1694958848087","24.35","33.1652769622712","0","0","-10.6298928337283"
"Year 1 Jun 27 05:00","25.8432015901869","24.175","32.7253871098575","0","0","-42.6968724299137"
"Year 1 Jun 27 06:00","25.5893138058246","24.275","32.2988814931816","0","1","-70.4165924478901"
"Year 1 Jun 27 07:00","25.8600956593588","24.825","31.9042417021505","86.5","22.75","-95.5182578907492"
"Year 1 Jun 27 08:00","27.3117427174896","26.05","31.556322150247","470","76","-116.940196764857"
"Year 1 Jun 27 09:00","29.1995230637827","27.675","31.287068768891","829.25","80.25","-131.661755707179"
"Year 1 Jun 27 10:00","30.9480728595298","29.45","31.1313594147463","793.75","129.25","-136.296294084404"
"Year 1 Jun 27 11:00","32.5394327424999","31.025","31.1028021402962","848.5","144.25","-129.984227961115"
"Year 1 Jun 27 12:00","33.8677573021584","32.225","31.1878222929038","933.5","135.25","-114.170867710387"
"Year 1 Jun 27 13:00","36.2570369214066","32.95","31.3623221065228","769","223.5","-91.5376543211402"
"Year 1 Jun 27 14:00","41.8438154633542","33.325","31.6207414058721","654.75","283.25","-62.9693222193904"
"Year 1 Jun 27 15:00","45.2900003456185","33.4","32.0379013824394","314.25","440","-22.5428752822846"
"Year 1 Jun 27 16:00","48.0282233749789","33.4","32.6633074454373","376.25","332.25","31.0288811311366"
"Year 1 Jun 27 17:00","51.9971863271798","33.25","33.4315506811629","611.25","158.25","97.7531239791478"
"Year 1 Jun 27 18:00","49.5523915770484","32.9","34.3073605052279","476.5","112.5","173.921305887426"
"Year 1 Jun 27 19:00","42.4423400102813","32.2","35.1842935580616","134.25","69.75","247.273439370726"
"Year 1 Jun 27 20:00","35.0986959004418","31.25","35.8134290369278","0","0","291.754937230452"
"Year 1 Jun 27 21:00","32.9014739476302","30.025","36.0355687231349","0","0","292.089587543339"
"Year 1 Jun 27 22:00","31.3549565570984","28.875","35.8957945949015","0","0","257.311738809799"
"Year 1 Jun 27 23:00","30.1691088218653","27.85","35.551301291592","0","0","207.169307104473"
"Year 1 Jun 28 00:00","29.1700945811812","27.15","35.114311546572","0","0","153.884898657553"
"Year 1 Jun 28 01:00","28.2933487530716","26.625","34.6466152772146","0","0","102.601133999207"
"Year 1 Jun 28 02:00","27.585507814893","26.125","34.1728082488024","0","0","56.1854323741349"
"Year 1 Jun 28 03:00","26.99913334455","25.475","33.7085109101606","0","0","14.6401537642608"
"Year 1 Jun 28 04:00","26.5443624631038","24.85","33.2589436756234","0","0","-21.2083853067162"
"Year 1 Jun 28 05:00","26.0804043501212","24.175","32.8286156224903","0","0","-51.6742654571651"
"Year 1 Jun 28 06:00","25.5905368291326","24.225","32.4171550301008","0","0","-76.8533909923563"
"Year 1 Jun 28 07:00","26.2179313050983","24.975","32.0350780358062","126","17.25","-100.760300746842"
"Year 1 Jun 28 08:00","27.8470855856012","26.1","31.6957761530793","434.5","98.25","-121.292002695747"
"Year 1 Jun 28 09:00","29.7335741002117","27.45","31.4418921479059","351.75","174.25","-133.910002705629"
"Year 1 Jun 28 10:00","31.4878762832322","28.775","31.3063129576489","605","202.25","-135.740193848685"
"Year 1 Jun 28 11:00","33.6105428441744","30.075","31.2962015648189","381.75","338.25","-126.574939026123"
"Year 1 Jun 28 12:00","34.0923806861187","31.225","31.407544709763","832.25","179","-107.708342356807"
"Year 1 Jun 28 13:00","36.1524953353057","32.25","31.605796499829","749","234.25","-82.9582146981606"
"Year 1 Jun 28 14:00","41.8619681023177","33.175","31.8649910133047","554.25","330","-55.4240514420048"
"Year 1 Jun 28 15:00","48.5656831636201","33.925","32.2706725902582","823.5","170.75","-17.6986230324547"
"Year 1 Jun 28 16:00","52.5893779313354","34.175","32.9405042694691","750.5","163.25","38.345439173648"
"Year 1 Jun 28 17:00","51.4307703060357","33.9","33.8548370821471","503.25","173","118.831780221674"
"Year 1 Jun 28 18:00","44.3818594429134","33.05","34.8440875741409","170.25","157.75","205.884029828665"
"Year 1 Jun 28 19:00","42.259839839035","31.825","35.6249680648089","207","64.5","268.419990511058"
"Year 1 Jun 28 20:00","34.2952444087019","30.525","36.0887510928454","0","0","295.544399353472"
"Year 1 Jun 28 21:00","32.1721598883832","29.45","36.1987856317813","0","0","285.261627023558"
"Year 1 Jun 28 22:00","31.029961754857","28.675","35.9871812319224","0","0","243.9302645323"
"Year 1 Jun 28 23:00","30.1029639729552","28.125","35.5989143283536","0","0","190.386085646929"
"Year 1 Jun 29 00:00","29.5184856235445","27.55","35.1465873063665","0","0","136.261631359065"
"Year 1 Jun 29 01:00","28.8224378133125","26.875","34.6833289501134","0","0","87.3462633296603"
"Year 1 Jun 29 02:00","27.9332553458057","26.025","34.2331710545796","0","0","44.8591547661135"
"Year 1 Jun 29 03:00","27.0359588990181","25.125","33.7975686711325","0","0","7.61721381965176"
"Year 1 Jun 29 04:00","26.4901711358916","24.375","33.3673427807608","0","0","-25.4919770818876"
"Year 1 Jun 29 05:00","25.8093817179948","24.2","32.942051590627","0","0","-55.077106513781"
"Year 1 Jun 29 06:00","25.7923787247273","24.575","32.5261593776961","0","0","-81.0463869831839"
"Year 1 Jun 29 07:00","26.544240366641","25.525","32.1393596217693","94","20.5","-105.911380665553"
"Year 1 Jun 29 08:00","28.4276356611053","26.85","31.8081307420438","326.25","108","-126.016918123863"
"Year 1 Jun 29 09:00","30.7040941591913","28.4","31.5743228941257","282.75","184","-137.143791220125"
"Year 1 Jun 29 10:00","32.8070629424386","29.85","31.4740121083694","603","191.75","-136.166154333774"
"Year 1 Jun 29 11:00","35.1566390336676","31.1","31.5164942185994","523.75","291.25","-122.671751722221"
"Year 1 Jun 29 12:00","37.1604547413437","32.15","31.6915827095506","334.25","432","-98.4170113349371"
"Year 1 Jun 29 13:00","39.1478293518174","32.925","31.9887075234092","485.75","373.75","-65.4836324268548"
"Year 1 Jun 29 14:00","45.1051951759754","33.625","32.3783621430045","308.75","468.25","-27.7415438091541"
"Year 1 Jun 29 15:00","50.2824861943199","34.175","32.9275255743673","472.5","332.75","19.1752380216374"
"Year 1 Jun 29 16:00","54.1474107342388","34.45","33.7013068234865","515.25","252.5","84.4897248445895"
"Year 1 Jun 29 17:00","52.7816146777262","34.425","34.657529616345","341","225.25","168.572825852184"
"Year 1 Jun 29 18:00","49.1418915369407","34.025","35.658100947647","165.5","160.25","253.783848212033"
"Year 1 Jun 29 19:00","47.8532199343831","33.225","36.4992702103232","161.25","66.75","318.828266741473"
"Year 1 Jun 29 20:00","39.4704076380053","32.25","37.1169017274134","0","0","357.634227797005"
"Year 1 Jun 29 21:00","36.9959746574927","31.175","37.4238804710719","0","0","361.959403501014"
"Year 1 Jun 29 22:00","35.0452279796283","30.15","37.3989727761669","0","0","332.512287103882"
"Year 1 Jun 29 23:00","33.2879053895082","29.225","37.1590865568116","0","0","285.014702237375"
"Year 1 Jun 30 00:00","31.6108050398524","28.325","36.7970984110407","0","0","231.396122096792"
"Year 1 Jun 30 01:00","30.353100315114","27.35","36.3632556461013","0","0","176.571345879019"
"Year 1 Jun 30 02:00","29.0989864268377","26.275","35.8867941923701","0","0","123.59303306692"
"Year 1 Jun 30 03:00","27.6982555727923","25.25","35.3864140264492","0","0","74.4490239826725"
"Year 1 Jun 30 04:00","26.7655923519702","24.475","34.8734031260143","0","0","27.8285785367869"
"Year 1 Jun 30 05:00","27.1987590551141","25.125","34.35348562644","0","0","-15.787180254063"
"Year 1 Jun 30 06:00","27.2312635995285","25.4","33.8603424928202","0","0","-54.1001412869085"
"Year 1 Jun 30 07:00","27.1496347223809","25.4","33.4187749630547","69.25","21.25","-82.2427164751209"
"Year 1 Jun 30 08:00","28.636668481524","26.3","33.0424991135939","231.75","107","-105.702306877723"
"Year 1 Jun 30 09:00","30.5082154270675","27.575","32.7481625356223","248","166.25","-122.34705909397"
"Year 1 Jun 30 10:00","32.3952026980537","29.55","32.5694244219769","735.5","146","-128.45191932611"
"Year 1 Jun 30 11:00","34.1984418267934","31.525","32.5257545617587","872.5","134.75","-123.886645371203"
"Year 1 Jun 30 12:00","35.7682441858363","33.575","32.6066711896704","970","117.75","-109.059745591941"
"Year 1 Jun 30 13:00","38.0896683529081","34.55","32.7934464714138","801","208","-86.7377454814953"
"Year 1 Jun 30 14:00","43.2734702764789","34.475","33.069113915921","479.75","362.5","-56.6999007255463"
"Year 1 Jun 30 15:00","44.3276946538797","32.9","33.4948668956807","193.75","435.75","-14.4510885280933"
"Year 1 Jun 30 16:00","40.7214143171302","30.825","34.0616261070886","73","293.25","38.8945119852341"
"Year 1 Jun 30 17:00","35.5538491094117","28.575","34.5800206076472","9.5","125","90.4948156403289"
"Year 1 Jun 30 18:00","33.482843993346","27.25","34.8699142920269","7.5","74.5","116.778533904561"
"Year 1 Jun 30 19:00","32.0335699069576","26.55","34.9055722527832","4.5","30","114.98713893023"
"Year 1 Jun 30 20:00","30.8736546596372","26.55","34.7658988582759","0","0","96.1247623425419"
"Year 1 Jun 30 21:00","30.1461178817274","26.375","34.5269262463812","0","0","68.8201189445175"
"Year 1 Jun 30 22:00","29.6639655474992","26.45","34.2346472112959","0","0","39.9457282039112"
"Year 1 Jun 30 23:00","29.194314217593","26.275","33.9249048100298","0","0","11.7944669992781"
"Year 1 Jul 01 00:00","28.5253668741144","26.5","33.614276043368","0","0","-13.221228374991"
"Year 1 Jul 01 01:00","26.9961358995428","23.975","33.3057341202078","0","0","-35.4127077909568"
"Year 1 Jul 01 02:00","25.4243444320381","22.725","32.9689524454975","0","0","-54.1622601934074"
"Year 1 Jul 01 03:00","24.3273535798446","22.225","32.5909618986381","0","0","-76.7084965243955"
"Year 1 Jul 01 04:00","23.7617112709546","22.1","32.1679498191109","0","0","-101.348796444183"
"Year 1 Jul 01 05:00","23.928057309965","22.175","31.7312780048184","0","0","-128.09393785228"
"Year 1 Jul 01 06:00","23.9965567047684","22.05","31.3096311094642","0","0","-151.908290790466"
"Year 1 Jul 01 07:00","24.1934348499211","22.45","30.9284790204981","44.25","22.5","-170.398939516107"
"Year 1 Jul 01 08:00","25.7289831904718","23.35","30.5979532347182","234","106.5","-184.405916771954"
"Year 1 Jul 01 09:00","27.6206895160595","24.95","30.3413849037917","406.75","176.25","-191.879490853751"
"Year 1 Jul 01 10:00","29.3341175930668","26.525","30.1955591715843","363.75","275.5","-190.29793400927"
"Year 1 Jul 01 11:00","31.2718101359993","28.025","30.168912015565","273.75","383.75","-178.216578831495"
"Year 1 Jul 01 12:00","32.2127856759167","28.925","30.2554864026492","470.5","353","-157.294337881729"
"Year 1 Jul 01 13:00","33.5975549254691","29.475","30.427731545934","486.25","370.75","-129.711321891831"
"Year 1 Jul 01 14:00","37.4569280993581","29.6","30.656749644862","240.75","495.25","-99.3065464757789"
"Year 1 Jul 01 15:00","39.5321760094489","29.825","30.9804730588975","228.25","446.5","-62.6035744106157"
"Year 1 Jul 01 16:00","40.8169038421241","29.75","31.4321257263465","253","348.75","-19.1706277413003"
"Year 1 Jul 01 17:00","42.4989185772943","29.475","31.9612818689021","389.25","219","27.8431965763151"
"Year 1 Jul 01 18:00","39.3273576957022","28.65","32.5224932726266","219.75","159","79.1439443819242"
"Year 1 Jul 01 19:00","35.2308574952578","27.575","33.017020811413","78.75","65.25","122.49750329776"
"Year 1 Jul 01 20:00","30.174610433756","26.325","33.3076228412796","0","0","144.02167832976"
"Year 1 Jul 01 21:00","28.7858904012895","25.475","33.3210958661404","0","0","138.086152940375"
"Year 1 Jul 01 22:00","27.8957911326663","24.85","33.1032905265369","0","0","110.115279508039"
"Year 1 Jul 01 23:00","27.2551088539313","24.7","32.7640091098429","0","0","73.6553121008868"
"Year 1 Jul 02 00:00","26.7563657600444","24.475","32.3830962157256","0","0","36.4334402438438"
"Year 1 Jul 02 01:00","26.2775199567281","24.25","31.9963899334618","0","0","2.91639065159982"
"Year 1 Jul 02 02:00","26.0867851934936","23.75","31.6208026934059","0","0","-26.190933906045"
"Year 1 Jul 02 03:00","25.494576231273","23.3","31.2620458363035","0","0","-50.2909949047883"
"Year 1 Jul 02 04:00","24.8940067591545","22.675","30.9205097852794","0","0","-69.9612026593737"
"Year 1 Jul 02 05:00","24.5884897309802","22.875","30.5907027558596","0","0","-88.4091976598472"
"Year 1 Jul 02 06:00","24.5876843524688","22.85","30.2749266707561","0","0","-106.224275067799"
"Year 1 Jul 02 07:00","24.7669637649362","23.025","29.9763332791188","31.5","22","-120.927546189194"
"Year 1 Jul 02 08:00","25.741573138345","23.325","29.7099356759811","141.5","112.25","-132.639013935109"
"Year 1 Jul 02 09:00","27.0098031845029","23.85","29.4951030481405","203.25","211.25","-139.187142949008"
"Year 1 Jul 02 10:00","28.1380294794256","24.15","29.355251830726","245.5","315.25","-139.014942754864"
"Year 1 Jul 02 11:00","28.7485715709694","24.35","29.2963157107722","187.75","377","-131.230140569285"
"Year 1 Jul 02 12:00","28.8144134228779","24.25","29.3033898330973","58.75","361.25","-118.228978573025"
"Year 1 Jul 02 13:00","29.8821099607503","24.35","29.3422463131498","129.75","456","-103.372640329856"
"Year 1 Jul 02 14:00","32.6397871560266","24.55","29.4076051510672","251","492.75","-87.9494585997613"
"Year 1 Jul 02 15:00","34.7282621736808","25.125","29.5424747532156","261","428.5","-67.9489308470618"
"Year 1 Jul 02 16:00","33.9185151183338","25.525","29.7888448302476","141.75","323.25","-41.0181370776209"
"Year 1 Jul 02 17:00","37.1177237439273","25.6","30.084864390634","287","258.25","-12.451232541316"
"Year 1 Jul 02 18:00","34.7465705813922","24.925","30.4147831336392","165.75","159.5","19.9594167331057"
"Year 1 Jul 02 19:00","30.6855666918003","23.95","30.7341400338804","40.5","57.75","51.3507536500382"
"Year 1 Jul 02 20:00","26.539184402725","22.725","30.904597715762","0","0","67.5423060078682"
"Year 1 Jul 02 21:00","25.0159443898003","22.025","30.8460064568573","0","0","61.6155255015195"
"Year 1 Jul 02 22:00","24.02162509028","21.825","30.5895572037279","0","0","37.0070932881198"
"Year 1 Jul 02 23:00","23.7922027259566","22.25","30.2226361045364","0","0","4.39685060692942"
"Year 1 Jul 03 00:00","23.7995031258394","22.775","29.8201057769291","0","0","-28.6285699304555"
"Year 1 Jul 03 01:00","24.0925093919224","23.425","29.4281156881123","0","0","-56.0544638967556"
"Year 1 Jul 03 02:00","24.3910420647072","23.6","29.0826469466206","0","0","-79.0023189644302"
"Year 1 Jul 03 03:00","24.2235786549794","23.6","28.7939534333424","0","0","-95.5942239900383"
"Year 1 Jul 03 04:00","23.8706784963907","23.3","28.5517932835047","0","0","-106.980045603208"
"Year 1 Jul 03 05:00","23.591038348032","23.05","28.3321668195632","0","0","-115.158299155889"
"Year 1 Jul 03 06:00","23.7808851626134","23.3","28.12300777554","0","0","-122.348883270551"
"Year 1 Jul 03 07:00","24.1080009996154","23.7","27.9286126059077","38.5","22.25","-128.738593389548"
"Year 1 Jul 03 08:00","25.447104241472","24.25","27.7610584513333","205","108","-132.647496294407"
"Year 1 Jul 03 09:00","26.7370664726564","24.625","27.6447149240798","335.5","195.75","-132.163289966348"
"Year 1 Jul 03 10:00","28.0328813929766","25.075","27.6026030384215","251.5","313","-124.908674510251"
"Year 1 Jul 03 11:00","29.1485700089339","25.5","27.6407345002959","180.75","397.25","-111.645905470145"
"Year 1 Jul 03 12:00","30.3406216717874","26.2","27.7501280863425","142.5","444.5","-93.3016488147491"
"Year 1 Jul 03 13:00","32.2293487179091","26.85","27.91991857779","233.25","503.5","-72.019871774795"
"Year 1 Jul 03 14:00","35.6798494960792","27.45","28.1550982961168","273.25","495.5","-47.0025733960274"
"Year 1 Jul 03 15:00","37.6702461314932","27.6","28.4978165666354","234","443.75","-15.4942130599024"
"Year 1 Jul 03 16:00","36.8332510588434","27.375","28.9634494803616","152.25","353.25","23.9738288777372"
"Year 1 Jul 03 17:00","35.5623064780535","26.625","29.4511852119384","142.75","243.75","67.0756417567432"
"Year 1 Jul 03 18:00","30.158097553905","25.725","29.8695613252464","13.25","89.75","102.361131239557"
"Year 1 Jul 03 19:00","28.3986995275588","24.75","30.0937739191486","10.5","39.75","117.660907848504"
"Year 1 Jul 03 20:00","26.2553183250961","23.975","30.0869376865244","0","0","111.106803175864"
"Year 1 Jul 03 21:00","25.4328304592721","23.35","29.9091406132282","0","0","89.4513595878234"
"Year 1 Jul 03 22:00","24.8200086827359","23.125","29.6262090904888","0","0","60.2548498333302"
"Year 1 Jul 03 23:00","24.5481390776561","23.025","29.3005906098649","0","0","29.5263218544073"
"Year 1 Jul 04 00:00","24.3370847918843","23.15","28.9687151197048","0","0","1.29430201973994"
"Year 1 Jul 04 01:00","24.0530190273591","23.2","28.6534205561268","0","0","-23.0144681781132"
"Year 1 Jul 04 02:00","23.9838938858802","23.2","28.3583496108141","0","0","-42.7136255723733"
"Year 1 Jul 04 03:00","23.8037608413474","23.05","28.0856301420095","0","0","-58.8814198181577"
"Year 1 Jul 04 04:00","23.814753527032","23","27.8410105817587","0","0","-72.7097403205456"
"Year 1 Jul 04 05:00","23.5975668434474","23","27.6203890814031","0","0","-83.8828795122437"
"Year 1 Jul 04 06:00","23.3647691861936","23","27.4208597487408","0","0","-92.6614223821713"
"Year 1 Jul 04 07:00","23.7298435473935","23.525","27.2346870937066","8.5","16.75","-100.082886382124"
"Year 1 Jul 04 08:00","25.1636307013141","24.225","27.0691589390804","97","94.75","-106.467955504878"
"Year 1 Jul 04 09:00","26.9684713482525","25.525","26.9550993824434","376.75","174","-108.538341375695"
"Year 1 Jul 04 10:00","28.6089089311624","26.875","26.9350672951123","611","191.25","-103.8555048338"
"Year 1 Jul 04 11:00","30.3444068642832","28.4","27.017405800052","516.5","283.25","-90.9199253105763"
"Year 1 Jul 04 12:00","31.3459855562802","29.55","27.2004354946025","617.75","280.75","-71.2671497864134"
"Year 1 Jul 04 13:00","33.230008649803","30.55","27.4605481105353","616.25","302.25","-46.7039083974884"
"Year 1 Jul 04 14:00","37.4720629832557","31.1","27.7809344373325","302.25","457.75","-19.157319548345"
"Year 1 Jul 04 15:00","41.0595244538524","31.575","28.2156007831759","465.5","336.75","16.4889819305429"
"Year 1 Jul 04 16:00","41.6895202795556","31.55","28.8179409142465","282.75","364","62.3756393543934"
"Year 1 Jul 04 17:00","41.430441522883","31.125","29.5046693068588","264.5","261","118.709977851654"
"Year 1 Jul 04 18:00","38.6395147410048","29.95","30.1786281620457","150","161.25","172.295484139548"
"Year 1 Jul 04 19:00","35.8178506657566","28.475","30.7269132611998","74.25","65.25","212.942942176822"
"Year 1 Jul 04 20:00","30.6171081837805","26.825","31.0752682920605","0","0","232.544046784594"
"Year 1 Jul 04 21:00","28.7880193303261","25.575","31.170431083535","0","0","227.178654899325"
"Year 1 Jul 04 22:00","27.8051125693417","24.625","31.0331597905843","0","0","199.897901146951"
"Year 1 Jul 04 23:00","27.0248627598023","24.1","30.7557847109954","0","0","162.963645644552"
"Year 1 Jul 05 00:00","26.1638762445804","23.55","30.4243535607274","0","0","123.615831248931"
"Year 1 Jul 05 01:00","25.3602174779624","23.25","30.0716881596427","0","0","86.9203429715697"
"Year 1 Jul 05 02:00","24.8517102916033","22.9","29.7133720599672","0","0","52.5842743731583"
"Year 1 Jul 05 03:00","24.3010338739233","22.875","29.3577213231224","0","0","21.393207043083"
"Year 1 Jul 05 04:00","23.9009916034067","22.75","29.0137319033107","0","0","-6.56704120815299"
