1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 04 11:00","22.371395925576","23.625","17.3239210183918","974","59","-77.4930035401964"
"Year 1 Jan 04 12:00","24.9451342847855","25.6","17.5588946237118","671.25","148.5","-60.6365455029188"
"Year 1 Jan 04 13:00","27.066104631733","26.825","17.9375311197509","854.25","106.5","-30.7405133108573"
"Year 1 Jan 04 14:00","32.0160376696027","27.025","18.4342293504452","646.25","166.5","6.95710263080373"
"Year 1 Jan 04 15:00","34.3150079690054","27","19.0755594270607","345.25","221.5","53.3426620481919"
"Year 1 Jan 04 16:00","34.0293013888051","26.4","19.8704450637184","207.75","188.25","108.832302808113"
"Year 1 Jan 04 17:00","34.3868484200211","25.6","20.6824217813413","263.5","94.25","169.943284374036"
"Year 1 Jan 04 18:00","26.3805077075636","24.05","21.4441276155315","0.5","8.5","224.555288790342"
"Year 1 Jan 04 19:00","24.0911650452195","22.4","21.9729646953709","0","0","256.945949704459"
"Year 1 Jan 04 20:00","22.2788348592627","20.35","22.1790990361722","0","0","257.920592882887"
"Year 1 Jan 04 21:00","20.7167640192084","18.675","22.1480761860449","0","0","239.261032070584"
"Year 1 Jan 04 22:00","19.3060034073013","16.95","21.9722812125346","0","0","209.612064563042"
"Year 1 Jan 04 23:00","18.1699493146205","15.675","21.7015000443356","0","0","175.83231701468"
"Year 1 Jan 05 00:00","17.2685633922058","14.2","21.3723228012947","0","0","140.299443570255"
"Year 1 Jan 05 01:00","16.5294024134891","13.125","21.0087558624576","0","0","105.802435040513"
"Year 1 Jan 05 02:00","15.9275062478452","12.075","20.6324725973298","0","0","73.0533114524714"
"Year 1 Jan 05 03:00","15.3045255226724","11.575","20.257339771431","0","0","42.8313985729662"
"Year 1 Jan 05 04:00","14.944156489391","11.2","19.8932468514949","0","0","14.8522716493076"
"Year 1 Jan 05 05:00","14.1715368803062","11.625","19.5408568661943","0","0","-10.0098692708533"
"Year 1 Jan 05 06:00","13.7364785519107","11.95","19.2030989736254","0","0","-32.8187806319281"
"Year 1 Jan 05 07:00","13.9485926961822","12.675","18.8674399136569","0","0","-52.4301697723826"
"Year 1 Jan 05 08:00","14.7040902918721","14.325","18.5580832174796","58.25","13.5","-71.1732523962046"
"Year 1 Jan 05 09:00","16.4892757034982","16.15","18.3095022593092","414.5","48.5","-87.0726672932618"
"Year 1 Jan 05 10:00","18.5428805653902","18.25","18.1546528592845","858.5","58.75","-95.5497868402215"
"Year 1 Jan 05 11:00","20.7403978430815","20.15","18.1267507052077","682","115","-94.6613404454998"
"Year 1 Jan 05 12:00","22.0526013418567","22.1","18.2357682991581","1043.75","48","-83.1073393401997"
"Year 1 Jan 05 13:00","24.7968687312325","23.575","18.4644296051309","925.5","87","-64.1116511736922"
"Year 1 Jan 05 14:00","30.7436031036031","24.725","18.7932852650785","574.75","188","-37.4252729268277"
"Year 1 Jan 05 15:00","33.4788446880932","24.925","19.2995569773288","310.25","242","2.66920522768071"
"Year 1 Jan 05 16:00","37.4975484770771","24.45","20.0140101603773","457","141.75","55.1186088584284"
"Year 1 Jan 05 17:00","32.2941567511827","23.025","20.8808023941163","144.25","117.5","123.06466797881"
"Year 1 Jan 05 18:00","27.5908440079611","21.25","21.698571189261","39.5","28","188.167530984861"
"Year 1 Jan 05 19:00","22.8105865588137","19.15","22.2567571013104","0","0","227.257776182453"
"Year 1 Jan 05 20:00","21.0701547093662","17.4","22.4582497695891","0","0","232.363916098367"
"Year 1 Jan 05 21:00","19.9474861930074","15.95","22.3805183337339","0","0","211.908061823856"
"Year 1 Jan 05 22:00","19.1313179132728","15.375","22.1466317617594","0","0","180.310146470701"
"Year 1 Jan 05 23:00","18.5279633098318","15.225","21.8467777429552","0","0","144.450039526057"
"Year 1 Jan 06 00:00","17.9372486670777","15.575","21.5268532085554","0","0","109.349701665161"
"Year 1 Jan 06 01:00","17.5569000004445","15.625","21.2086819942404","0","0","76.9349373045451"
"Year 1 Jan 06 02:00","17.0151826571916","15.3","20.896614664853","0","0","49.0336571339774"
"Year 1 Jan 06 03:00","16.1030411104126","14.225","20.59543518322","0","0","24.8219269696546"
"Year 1 Jan 06 04:00","15.1193603259753","13.075","20.2913158545047","0","0","3.77045861727899"
"Year 1 Jan 06 05:00","14.3086272442524","11.15","19.9717640134621","0","0","-16.6211192625932"
"Year 1 Jan 06 06:00","13.6434843222577","10.075","19.6279798714826","0","0","-35.9388791237731"
"Year 1 Jan 06 07:00","13.6634797777407","10.35","19.2740002649971","0","0","-55.789737305501"
"Year 1 Jan 06 08:00","14.1036014823322","11.625","18.9258145169799","80.25","12","-74.1369011181206"
"Year 1 Jan 06 09:00","15.7613516449976","13.95","18.6286424517943","343","64","-92.0859965188838"
"Year 1 Jan 06 10:00","18.0339375764808","16.475","18.4191816049289","492.25","108.25","-104.436499799853"
"Year 1 Jan 06 11:00","20.0915032566435","18.825","18.3374639862465","778.75","94","-106.817620892925"
"Year 1 Jan 06 12:00","21.536593904771","20.3","18.3984696476747","857.5","97.5","-97.7769735695258"
"Year 1 Jan 06 13:00","23.7218856673638","21.2","18.5779547022918","713","151.5","-78.7790426483725"
"Year 1 Jan 06 14:00","28.8278040589896","21.55","18.8565935646945","548.25","200","-53.081805184018"
"Year 1 Jan 06 15:00","32.6881619473862","21.9","19.2872609773232","461.25","197.75","-16.2316420112544"
"Year 1 Jan 06 16:00","33.8974821479635","21.85","19.9300911338363","337","180.5","31.9162637061093"
"Year 1 Jan 06 17:00","33.362005638567","21.5","20.6962165694411","277.75","105","92.0891451623804"
"Year 1 Jan 06 18:00","26.7289304750564","20.275","21.4579363475117","32","27","152.061851745548"
"Year 1 Jan 06 19:00","22.088157045111","18.55","22.0193204502504","0","0","193.454893136283"
"Year 1 Jan 06 20:00","19.9787819966483","16.375","22.2265115183521","0","0","201.308820838279"
"Year 1 Jan 06 21:00","18.2883609085244","14.6","22.1350032029684","0","0","183.993806071548"
"Year 1 Jan 06 22:00","17.0420703675747","13.3","21.8631240531422","0","0","152.922706854776"
"Year 1 Jan 06 23:00","16.0893895464231","13","21.4950543183562","0","0","115.509786289444"
"Year 1 Jan 07 00:00","15.579517595838","13.15","21.0868712958837","0","0","76.0678068434089"
"Year 1 Jan 07 01:00","15.548784984573","13.5","20.6707249754083","0","0","38.9708130655654"
"Year 1 Jan 07 02:00","15.6005515058194","13.45","20.2751140118387","0","0","6.78720756094688"
"Year 1 Jan 07 03:00","15.3050716566101","13.025","19.917174914592","0","0","-18.5111387691892"
"Year 1 Jan 07 04:00","14.7800820967918","11.925","19.5967234281556","0","0","-37.8805668509685"
"Year 1 Jan 07 05:00","13.6162989507732","10.7","19.2951246330425","0","0","-53.0682924943471"
"Year 1 Jan 07 06:00","13.0409938393686","9.95","18.9882688738496","0","0","-66.8239097964084"
"Year 1 Jan 07 07:00","12.7509451314069","10.25","18.6673056671951","0","0","-82.5594440502826"
"Year 1 Jan 07 08:00","13.1736723675343","11.3","18.3507545721215","52","13.5","-99.3170289133263"
"Year 1 Jan 07 09:00","15.1524080679481","14.075","18.0645332124947","363.75","52.75","-114.987416850637"
"Year 1 Jan 07 10:00","17.661995749088","17.525","17.8682833657481","898.25","40.25","-126.757429430292"
"Year 1 Jan 07 11:00","20.075922461008","21.4","17.8138867806074","1100","13.5","-128.373100221625"
"Year 1 Jan 07 12:00","22.2506430602094","24.125","17.9231282691516","1100","16","-118.948812853864"
"Year 1 Jan 07 13:00","25.4082614401061","25.9","18.175382680669","1039.75","47.5","-97.0402800032164"
"Year 1 Jan 07 14:00","31.7690287199398","26.15","18.5583861440173","815.75","115.5","-64.0805479201456"
"Year 1 Jan 07 15:00","35.0892074838175","25.95","19.1368025811932","536","156.75","-14.3568899388659"
"Year 1 Jan 07 16:00","31.3938269192218","25","19.9474888102294","119.75","181","48.2913794368824"
"Year 1 Jan 07 17:00","32.1968629596038","24.025","20.7818373452084","169.25","113.5","111.310873531299"
"Year 1 Jan 07 18:00","25.871356436898","22.525","21.4885769861641","7","18.5","164.90239335972"
"Year 1 Jan 07 19:00","23.4277508694124","21.125","21.9702839944811","0","0","196.964943205602"
"Year 1 Jan 07 20:00","21.6296392731109","19.45","22.1604737335823","0","0","200.822564543216"
"Year 1 Jan 07 21:00","20.2734771520224","18.175","22.1302623157176","0","0","186.363778412893"
