1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Convection Heat Transfer Coefficient  (W/m2-K)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 03 16:00","179.25","121.5","23.85","16.0908265961995","3.77283276824743","23.6684453245858","18.7222692767344"
"Year 1 Jan 03 17:00","101.25","155.25","23.025","16.6143486309202","1.33701418456665","22.4468801402442","53.2247028466209"
"Year 1 Jan 03 18:00","0","0","21.75","17.0583841808258","1.07635657690076","20.3118897546671","82.1008683689471"
"Year 1 Jan 03 19:00","0","0","20.5","17.3606926384601","1.09498834671492","19.4668431531757","100.404378518705"
"Year 1 Jan 03 20:00","0","0","19.15","17.5251589160595","0.668410358434986","18.6717474285291","106.845113720332"
"Year 1 Jan 03 21:00","0","0","17.9","17.5865768908479","0.972080660273986","17.8755508213251","105.51045403358"
"Year 1 Jan 03 22:00","0","0","16.625","17.5745840041899","1.39784665274123","17.0373418128113","98.8587682461356"
"Year 1 Jan 03 23:00","0","0","15.325","17.504012661945","1.45753042838458","16.2133472856799","88.8622772736224"
"Year 1 Jan 04 00:00","0","0","13.95","17.3830982102931","1.60477709931399","15.3463085692971","76.645653210244"
"Year 1 Jan 04 01:00","0","0","12.775","17.2181965013469","1.7111405033829","14.7908913573497","62.7688266754258"
"Year 1 Jan 04 02:00","0","0","11.675","17.0214838279444","1.84145411695334","13.9496401282585","47.2994625036029"
"Year 1 Jan 04 03:00","0","0","10.875","16.8026028533194","1.82284533858068","13.3406251221254","31.0112957050003"
"Year 1 Jan 04 04:00","0","0","10.025","16.5639125338736","1.94401245718457","12.692594686187","13.9988631932163"
"Year 1 Jan 04 05:00","0","0","11","16.3115249040328","2.99449458699476","12.6759547416776","-2.95300002919105"
"Year 1 Jan 04 06:00","0","0","11.55","16.0662640120423","3.42821714906166","12.7174974100364","-20.7334179770038"
"Year 1 Jan 04 07:00","0","0","12.725","15.8364098684646","4.64846317760302","12.8621923473954","-34.2465387539751"
"Year 1 Jan 04 08:00","14.5","70.5","14.525","15.644544679554","5.51833628682501","13.769339840174","-47.0057817843135"
"Year 1 Jan 04 09:00","71.75","314","17.475","15.5095721024819","7.73347328515433","16.202035437682","-57.3034845002724"
"Year 1 Jan 04 10:00","90.5","582.5","20.55","15.4842016287339","9.12958902428538","19.2703245049412","-62.6576686742116"
"Year 1 Jan 04 11:00","59","974","23.625","15.6147488178166","10.4318877227673","21.8653522849424","-56.334657240718"
"Year 1 Jan 04 12:00","148.5","671.25","25.6","15.9081749547064","10.2169386014722","24.4612657748672","-36.140192568971"
"Year 1 Jan 04 13:00","106.5","854.25","26.825","16.3462186469364","9.7808508823319","25.6212344589784","-4.28185512194333"
"Year 1 Jan 04 14:00","166.5","646.25","27.025","16.8840511964195","8.61372686745072","26.4236770141156","33.3289644252077"
