1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Jan 04 12:00","22.7283257148569","619.25","205","-100.03556230535","19.0913583744839","21.075"
"Year 1 Jan 04 13:00","25.0240550510474","610.5","227","-84.5006306024977","19.2583612467693","22.85"
"Year 1 Jan 04 14:00","30.450155267092","603.5","214.25","-57.8619811674024","19.5622981389135","24.25"
"Year 1 Jan 04 15:00","36.3844253893416","603.5","174.25","-19.1445912974347","20.0420662044295","25.65"
"Year 1 Jan 04 16:00","40.9216929588303","601.75","111","37.0239404464346","20.7733835835361","25.85"
"Year 1 Jan 04 17:00","39.5224592851767","358","84.25","111.236395741247","21.7568639144821","25.65"
"Year 1 Jan 04 18:00","32.2238023264544","66","30","195.141257870866","22.8039198969815","25.45"
"Year 1 Jan 04 19:00","27.066541962306","0","0","255.018738830256","23.6338272798071","24.275"
"Year 1 Jan 04 20:00","24.8759698968092","0","0","276.386962332676","24.0671066388192","22.7"
"Year 1 Jan 04 21:00","23.1800684015173","0","0","265.378400059546","24.1603042699288","21.175"
"Year 1 Jan 04 22:00","21.8249068162576","0","0","236.836388785099","24.0400098836105","19.825"
"Year 1 Jan 04 23:00","20.6701515866491","0","0","200.799326495229","23.7972207320877","18.6"
"Year 1 Jan 05 00:00","19.5691488482596","0","0","163.00451155969","23.4846285284863","17.325"
"Year 1 Jan 05 01:00","18.786675234154","0","0","125.90371496476","23.1311780810062","16.475"
"Year 1 Jan 05 02:00","18.2184065197692","0","0","89.6846740520219","22.7611173461653","15.85"
"Year 1 Jan 05 03:00","17.6918977040089","0","0","56.9562276450382","22.3877908700927","15.175"
"Year 1 Jan 05 04:00","17.1368623315144","0","0","27.5104950981412","22.0248392931781","14.85"
"Year 1 Jan 05 05:00","16.5341225440111","0","0","1.00396634848106","21.676626404447","14.65"
"Year 1 Jan 05 06:00","15.9760701028136","0","0","-22.4331490652774","21.3380771798311","14.45"
"Year 1 Jan 05 07:00","16.1026132222763","0","0","-43.4086880699101","21.0060245627615","15.6"
"Year 1 Jan 05 08:00","17.0828234158765","55.75","34.5","-63.0792719301296","20.6967253738299","17.2"
"Year 1 Jan 05 09:00","19.1204503696823","303.75","108","-79.6409896242991","20.4482885777189","18.8"
"Year 1 Jan 05 10:00","21.1122353417743","594.25","134.25","-87.6871367392429","20.3022587660106","20.4"
"Year 1 Jan 05 11:00","22.7334102388138","764.75","129","-85.0267102716617","20.2885479155944","22"
"Year 1 Jan 05 12:00","24.2010754108018","852.5","117.25","-72.8670353912096","20.4022349787872","23.6"
"Year 1 Jan 05 13:00","25.8056307113487","881.25","108.75","-53.9905811186559","20.619239181712","24.375"
"Year 1 Jan 05 14:00","31.4416048675162","862.75","106.5","-28.6035619011217","20.9136742258059","24.8"
