1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 May 31 20:00","33.3213502834834","0","0","11.9577649953669","36.0967112067396","32.125"
"Year 1 May 31 21:00","32.7776415145659","0","0","3.58931148296472","35.9919027346792","31.7"
"Year 1 May 31 22:00","32.3259461934718","0","0","-9.21433488799375","35.8290378503786","31.3"
"Year 1 May 31 23:00","31.9848441794385","0","0","-23.361904211986","35.6358463664646","31.05"
"Year 1 Jun 01 00:00","31.7488090339267","0","0","-37.112986789085","35.4299864613428","30.925"
"Year 1 Jun 01 01:00","31.42123536016","0","0","-49.5280030837676","35.2220449104572","30.9"
"Year 1 Jun 01 02:00","31.2748782359536","0","0","-61.519942343864","35.0220738882104","30.825"
"Year 1 Jun 01 03:00","31.1969822373943","0","0","-71.9957773720696","34.8286591870356","30.65"
"Year 1 Jun 01 04:00","30.9850861405411","0","0","-80.6489913971199","34.6457301623078","30.3"
"Year 1 Jun 01 05:00","30.7171276936978","0","0","-87.4790144282821","34.4725261932312","29.9"
"Year 1 Jun 01 06:00","30.5247421890376","0","7","-93.2651207088499","34.3042241592646","29.5"
"Year 1 Jun 01 07:00","31.0515432032642","25","53.75","-98.5555929552035","34.138791845229","29.775"
"Year 1 Jun 01 08:00","32.4435928635537","126.25","158.5","-103.003490520636","33.9918499534391","30.2"
"Year 1 Jun 01 09:00","33.8791850988651","240.25","258.75","-102.620574791297","33.8950755978424","30.675"
"Year 1 Jun 01 10:00","35.4417756267087","384.75","312.5","-95.6501960132922","33.878336923023","31.85"
"Year 1 Jun 01 11:00","36.7405331142405","522.5","315.5","-82.4574217087198","33.952599367866","33.25"
"Year 1 Jun 01 12:00","37.7727321494451","622.75","306.25","-63.5171163512645","34.1100537949661","34.65"
"Year 1 Jun 01 13:00","39.2745877872377","760.75","236","-41.0954116377192","34.3332029102874","35.975"
"Year 1 Jun 01 14:00","44.6051788625075","845.25","148","-16.658547240676","34.6111433872599","37.35"
"Year 1 Jun 01 15:00","50.611964901412","799.25","147.75","16.5695714164792","35.0142412161403","38.675"
"Year 1 Jun 01 16:00","54.4080706168731","694","155.5","67.4356463074166","35.6506834200025","39.225"
"Year 1 Jun 01 17:00","54.5115781637037","513.75","151","141.005966845852","36.504530053227","39.6"
"Year 1 Jun 01 18:00","49.89147024914","242.5","120.25","220.926697256565","37.4515068396165","39.925"
"Year 1 Jun 01 19:00","43.3713028457061","39","41.75","284.525323986118","38.2768138343255","39.025"
"Year 1 Jun 01 20:00","39.6917996949519","0","0","312.673046875413","38.779710455205","37.8"
"Year 1 Jun 01 21:00","38.0038310751519","0","0","302.33680281439","38.9287818930579","36.525"
"Year 1 Jun 01 22:00","36.5838530758093","0","0","268.653715952869","38.8265790087547","35.15"
"Year 1 Jun 01 23:00","35.2774576179518","0","0","225.66239129749","38.584136545846","33.75"
"Year 1 Jun 02 00:00","34.0086676664779","0","0","180.718450007536","38.2654916388127","32.35"
"Year 1 Jun 02 01:00","33.7248106860963","0","0","136.329020446865","37.9037964752043","32.6"
"Year 1 Jun 02 02:00","33.9205066917699","0","0","92.1169590189998","37.5409820776064","33.325"
"Year 1 Jun 02 03:00","34.2660487180612","0","0","55.0006381872114","37.2064604576967","34.1"
"Year 1 Jun 02 04:00","33.7800968612435","0","0","26.6142557190407","36.922283717963","33.1"
"Year 1 Jun 02 05:00","32.8511287808829","0","0","7.40182186413119","36.6730089851319","31.5"
"Year 1 Jun 02 06:00","31.9196954229023","0","6.5","-9.41777143068848","36.4335461698368","29.9"
"Year 1 Jun 02 07:00","32.0684706993915","10.25","50.5","-26.3055220552208","36.1793393046078","29.725"
"Year 1 Jun 02 08:00","33.2807745154105","36.25","153.75","-43.6192390196234","35.9235679262809","30.025"
"Year 1 Jun 02 09:00","34.8210314214895","131.25","251","-55.6114795590066","35.7075410035653","30.325"
"Year 1 Jun 02 10:00","36.2126871945193","507.5","274","-60.4084088276819","35.5803902392082","31.375"
"Year 1 Jun 02 11:00","36.9970339284089","689.25","252","-57.0208249413356","35.5575501425323","32.6"
"Year 1 Jun 02 12:00","37.3368306002744","812.75","185","-46.952521627922","35.6200559967741","33.875"
"Year 1 Jun 02 13:00","39.0126505902126","856.5","153.25","-34.1394224996181","35.7338363474724","35.4"
"Year 1 Jun 02 14:00","45.5008325186297","846","147.75","-19.3719991648978","35.8946044809122","37"
"Year 1 Jun 02 15:00","53.2007898204351","796.75","149.5","7.09401439718068","36.2121632701612","38.6"
"Year 1 Jun 02 16:00","58.966675112888","693.25","156.25","58.1834332995477","36.8360062391215","39.6"
"Year 1 Jun 02 17:00","60.4303457483021","514","151.25","141.339979000793","37.7767299417459","40.4"
"Year 1 Jun 02 18:00","55.8671465487376","243.5","121.25","240.079150986783","38.9028851567639","41.2"
"Year 1 Jun 02 19:00","47.835098413127","39.75","42.5","326.395683233586","39.9546496794557","40.275"
"Year 1 Jun 02 20:00","42.9110893331779","0","0","373.364202705564","40.6567312928345","38.85"
"Year 1 Jun 02 21:00","40.5905772396516","0","0","371.270065360047","40.9305307793259","37.375"
"Year 1 Jun 02 22:00","38.7643851836976","0","0","336.611161888463","40.8784419686371","35.875"
"Year 1 Jun 02 23:00","37.1913982319956","0","0","287.073436921093","40.6357308213695","34.45"
"Year 1 Jun 03 00:00","35.7117044722155","0","0","233.241467084514","40.2879847192392","32.975"
"Year 1 Jun 03 01:00","35.5865305698652","0","0","179.359374602145","39.8829241072574","34.025"
"Year 1 Jun 03 02:00","36.1675957986234","0","0","124.779917601776","39.4831406168268","36"
"Year 1 Jun 03 03:00","36.8235672224413","0","0","79.6477617864792","39.1298350499565","37.925"
"Year 1 Jun 03 04:00","36.2280911216753","0","0","47.0070657387171","38.8493622956175","36.225"
"Year 1 Jun 03 05:00","34.7701997577224","0","0","28.4960979615807","38.6075848558731","33.4"
"Year 1 Jun 03 06:00","33.0097830885575","0","8.75","12.0122933651286","38.3654538674556","30.525"
"Year 1 Jun 03 07:00","32.6535516428456","62.75","56.5","-7.63048005990082","38.0820465509608","29.8"
"Year 1 Jun 03 08:00","33.5603225079055","308.25","135.5","-31.6632870301337","37.765293562472","29.8"
"Year 1 Jun 03 09:00","34.4792552604857","524.5","180.75","-51.9196900310192","37.4633018067409","29.8"
"Year 1 Jun 03 10:00","35.600385107957","687","182.75","-64.6640057279943","37.2251346268889","31.075"
"Year 1 Jun 03 11:00","36.7830146326936","794.5","165.25","-71.4355112487176","37.0785503587451","32.775"
"Year 1 Jun 03 12:00","37.7727500342502","858.75","143.25","-70.7044583492664","37.0243502752163","34.475"
"Year 1 Jun 03 13:00","39.7762997848742","866.25","145.5","-63.5839569392872","37.0521024232388","36.175"
"Year 1 Jun 03 14:00","46.2586564069176","854.75","141.25","-50.2389915557506","37.1645815079526","37.875"
"Year 1 Jun 03 15:00","53.178158916084","803.75","145.25","-22.3607443368856","37.4566974721209","39.575"
"Year 1 Jun 03 16:00","57.8354152281967","696.75","154.75","29.4444548404195","38.0509656586809","40.375"
"Year 1 Jun 03 17:00","58.317062211972","515.5","151.25","107.365689099833","38.9379702553144","40.95"
"Year 1 Jun 03 18:00","53.477373854126","238","122.25","198.322448059609","39.9546595158806","41.475"
"Year 1 Jun 03 19:00","45.8556692485945","23.25","45.5","273.121760539573","40.8605355625237","40.325"
"Year 1 Jun 03 20:00","41.8169178825785","0","0","309.20657062915","41.4141414324735","38.7"
"Year 1 Jun 03 21:00","39.7337141536471","0","0","301.27541804118","41.5726284771155","37.025"
"Year 1 Jun 03 22:00","37.995739614953","0","0","266.105166278957","41.4452830657864","35.325"
"Year 1 Jun 03 23:00","36.4620367712617","0","0","219.293747977462","41.1521750445235","33.7"
"Year 1 Jun 04 00:00","34.8216093837422","0","0","169.490208860103","40.7650806961493","32.025"
"Year 1 Jun 04 01:00","33.8001626453237","0","0","119.46943631179","40.3225349819429","31.3"
"Year 1 Jun 04 02:00","33.0885423346681","0","0","69.9789372779034","39.8529215888294","30.9"
"Year 1 Jun 04 03:00","32.4750701256737","0","0","24.5525129477783","39.3803207398955","30.5"
"Year 1 Jun 04 04:00","32.0124371939398","0","0","-15.1889600271999","38.9199786749785","30.175"
"Year 1 Jun 04 05:00","31.5872993684235","0","0","-49.0352638327004","38.4795776821521","29.8"
"Year 1 Jun 04 06:00","31.2521507411072","0","8.5","-76.5538422384761","38.059281425758","29.475"
"Year 1 Jun 04 07:00","31.6986185072621","49.25","57.25","-101.179701571738","37.6693117893132","29.55"
"Year 1 Jun 04 08:00","33.1110010367433","180","165.75","-121.396226375209","37.3230138069345","29.75"
"Year 1 Jun 04 09:00","34.7156075907007","199.25","284","-133.498903382056","37.0505206376487","29.95"
"Year 1 Jun 04 10:00","36.0630888426217","453.75","288.5","-135.434730757258","36.882716518673","31.275"
"Year 1 Jun 04 11:00","37.1479683780649","608.75","283","-129.10428547353","36.8274137563354","32.9"
"Year 1 Jun 04 12:00","38.0660792568396","700.75","268.5","-115.628146295718","36.8642539235961","34.575"
"Year 1 Jun 04 13:00","39.574609577217","780.5","216.25","-97.7784408596715","36.9692425554252","35.825"
"Year 1 Jun 04 14:00","44.9167318405616","826.25","161","-76.1129617592383","37.1313715431981","36.85"
"Year 1 Jun 04 15:00","50.6654585757627","783","157.5","-44.4125905015837","37.4245854153752","37.925"
"Year 1 Jun 04 16:00","53.3958613686841","676.75","164","4.69253978764977","37.9558358721856","36.025"
"Year 1 Jun 04 17:00","51.840747048281","499.25","156.75","79.5909477123781","38.6719027938413","33.125"
"Year 1 Jun 04 18:00","49.0825493215235","240.25","122.25","151.687275721497","39.4410385232557","37.65"
"Year 1 Jun 04 19:00","43.4582208319233","41.25","43.25","193.368420485194","40.1332343064008","38.5"
"Year 1 Jun 04 20:00","39.7395254829378","0","0","220.567049575013","40.5215180195756","37.375"
"Year 1 Jun 04 21:00","38.0960888925536","0","0","212.261499755895","40.6099421721425","36.2"
"Year 1 Jun 04 22:00","36.748575880221","0","0","183.044639230005","40.4665877306707","35"
"Year 1 Jun 04 23:00","35.6276740627318","0","0","145.127258754711","40.190053219058","33.875"
"Year 1 Jun 05 00:00","34.5721934750509","0","0","104.78677022372","39.8457300939932","32.7"
"Year 1 Jun 05 01:00","33.7889800338197","0","0","65.6808349180455","39.4658218932763","32.025"
"Year 1 Jun 05 02:00","33.2189186261164","0","0","27.8807144730754","39.0749971271803","31.525"
"Year 1 Jun 05 03:00","32.6817942212423","0","0","-6.04422220330893","38.6850337693211","31.025"
"Year 1 Jun 05 04:00","32.2273312516172","0","0","-35.6295705537117","38.3048682200141","30.525"
"Year 1 Jun 05 05:00","31.7945327777971","0","0","-60.8006178470205","37.9366719067589","30.025"
"Year 1 Jun 05 06:00","31.4638118645875","0","8.75","-82.101634157887","37.5812203312518","29.525"
"Year 1 Jun 05 07:00","31.9986954264556","60.25","56.75","-101.882522627106","37.2481075057159","29.7"
"Year 1 Jun 05 08:00","33.4587318964298","293.25","138.25","-118.104801024778","36.9506760598198","30.025"
"Year 1 Jun 05 09:00","34.8995033074238","489.75","190.25","-126.785132835312","36.723161807054","30.4"
"Year 1 Jun 05 10:00","36.3231705722701","618.75","209","-126.293914551405","36.5937736056536","31.625"
"Year 1 Jun 05 11:00","37.8370510269656","634","254.5","-118.129644161602","36.5685330687869","33.2"
"Year 1 Jun 05 12:00","39.1700444366562","609.5","310.25","-102.679214502012","36.6389322093054","34.8"
"Year 1 Jun 05 13:00","40.8727039527086","696.75","279.5","-81.5061472287506","36.7927627005696","36.1"
"Year 1 Jun 05 14:00","46.5383622122063","799.5","179.25","-55.6711389495934","37.0201230921414","37.375"
"Year 1 Jun 05 15:00","52.4302743385062","774.25","163","-19.5786114720069","37.3923324033919","38.675"
"Year 1 Jun 05 16:00","55.5420917664467","675.5","164.75","34.5707766269375","38.0115622735988","37.65"
"Year 1 Jun 05 17:00","54.3214667750185","499.75","157","113.189827192251","38.8274536857915","35.85"
"Year 1 Jun 05 18:00","49.8695170710173","233.75","124","192.581201054002","39.6957311397008","37.8"
"Year 1 Jun 05 19:00","42.6523622442646","24","46.25","245.810231877558","40.4293798976695","37.175"
"Year 1 Jun 05 20:00","38.5823590865086","0","0","267.672484435111","40.806924757892","35.35"
"Year 1 Jun 05 21:00","36.593895641391","0","0","249.8560303162","40.8150006463879","33.475"
"Year 1 Jun 05 22:00","36.2001374781443","0","0","207.632577801512","40.5620122675194","34.425"
"Year 1 Jun 05 23:00","36.701367001165","0","0","153.173827367993","40.2057450469048","36.25"
"Year 1 Jun 06 00:00","37.4941336639253","0","0","103.928181069146","39.8487074888613","38.125"
"Year 1 Jun 06 01:00","36.9441087063497","0","0","66.4392377985917","39.5502047000127","36.725"
"Year 1 Jun 06 02:00","35.6539302281661","0","0","43.9339380458402","39.2927587887385","34.3"
"Year 1 Jun 06 03:00","34.1749134279772","0","0","24.6725580726435","39.042974060672","31.825"
"Year 1 Jun 06 04:00","33.3511484138275","0","0","3.77326151456772","38.7644129297284","30.9"
"Year 1 Jun 06 05:00","32.920739931497","0","0","-20.52378555659","38.4540763138158","30.5"
"Year 1 Jun 06 06:00","32.658292431016","0","7.25","-43.9957673293531","38.1266327734579","30.1"
"Year 1 Jun 06 07:00","33.0101327283369","38.25","54.25","-64.6449235881794","37.8017697315179","30.225"
"Year 1 Jun 06 08:00","34.3126118671157","201.75","150.25","-82.1600572566733","37.5055853544971","30.6"
"Year 1 Jun 06 09:00","35.5078133781994","400.5","216.25","-93.7306451923455","37.2761352047018","30.925"
"Year 1 Jun 06 10:00","36.7506528155609","587.5","234.75","-96.5627439889867","37.1361159012037","31.975"
"Year 1 Jun 06 11:00","37.8843699265655","701.25","234.25","-92.2480157203221","37.0901015034272","33.275"
"Year 1 Jun 06 12:00","38.6482303465446","793","197.25","-81.2931404825919","37.1277336935232","34.575"
"Year 1 Jun 06 13:00","40.2653417545844","840.5","163.5","-66.052999699163","37.2298197635877","35.875"
"Year 1 Jun 06 14:00","46.449481606314","829.5","158.75","-47.4658871013967","37.390337302854","37.175"
"Year 1 Jun 06 15:00","52.9538916062967","779","160","-17.2475500499059","37.7016967209892","38.475"
"Year 1 Jun 06 16:00","56.7275234443285","676.75","164.5","34.2289293706385","38.2904130706306","38.2"
"Year 1 Jun 06 17:00","56.0300541228878","501","156.5","112.580617779472","39.1216555928388","37.325"
"Year 1 Jun 06 18:00","50.1351903979538","233.25","125","197.088928080894","40.0366657983191","36.5"
"Year 1 Jun 06 19:00","42.3533248694852","24.75","47","259.896407417743","40.7911494324797","35.7"
"Year 1 Jun 06 20:00","38.5201236675444","0","0","278.983413832131","41.1694068752896","34.825"
"Year 1 Jun 06 21:00","36.784147555106","0","0","256.124579507998","41.1538259383305","34"
"Year 1 Jun 06 22:00","35.6641592944871","0","0","210.074563605116","40.8776718104391","33.35"
"Year 1 Jun 06 23:00","34.8101120524011","0","0","156.804601655269","40.4761626531355","32.75"
"Year 1 Jun 07 00:00","34.0775527181772","0","0","105.200274518364","40.0313626506023","32.15"
"Year 1 Jun 07 01:00","33.5562559113804","0","0","58.7683585061147","39.5812751203209","31.775"
"Year 1 Jun 07 02:00","33.1780715089305","0","0","17.5685593369979","39.148083289584","31.55"
"Year 1 Jun 07 03:00","32.8424387040448","0","0","-17.3014569522601","38.7393464873467","31.275"
"Year 1 Jun 07 04:00","32.4703859250809","0","0","-45.9989325320682","38.357567946129","30.975"
"Year 1 Jun 07 05:00","32.1803587502982","0","0","-69.0901810469944","37.9992412020599","30.75"
"Year 1 Jun 07 06:00","31.9599266100164","0","8.75","-89.5148478065485","37.6679445006436","30.475"
"Year 1 Jun 07 07:00","32.5183532859805","60.75","56.75","-106.784174573466","37.3619704055685","30.625"
"Year 1 Jun 07 08:00","34.0417241964415","298","137.5","-120.338042007633","37.0936481957805","31"
"Year 1 Jun 07 09:00","35.5713034720247","508.25","185.75","-126.642390481593","36.8954467540244","31.325"
"Year 1 Jun 07 10:00","37.2234543213279","672","189","-123.886792991803","36.7958683068919","33.125"
"Year 1 Jun 07 11:00","38.8635705304434","775.75","176","-114.282890330791","36.8085828167029","35.425"
"Year 1 Jun 07 12:00","39.7606399250992","837.5","156.75","-96.6128713794597","36.9224324841986","36.6"
"Year 1 Jun 07 13:00","41.610611667405","844","160.75","-72.6867744355563","37.1096510834176","37.7"
"Year 1 Jun 07 14:00","48.6776640111263","831.75","157","-46.053259512876","37.3613468988626","38.9"
"Year 1 Jun 07 15:00","56.0484862518941","782","158.75","-7.2385914320049","37.77838779801","40.1"
"Year 1 Jun 07 16:00","60.9668640065887","680.25","162.75","55.0404941232255","38.5031268636183","40.325"
"Year 1 Jun 07 17:00","61.4667241061968","505.5","155.75","147.492208207193","39.5076616488099","40.15"
"Year 1 Jun 07 18:00","55.7717819602562","235.75","125.25","250.01308047938","40.6389468819258","40.025"
"Year 1 Jun 07 19:00","46.8276382982886","25.5","48","333.008627379577","41.6339435115992","38.875"
"Year 1 Jun 07 20:00","41.9670789435888","0","0","369.351788374959","42.2264609675108","37.45"
"Year 1 Jun 07 21:00","39.3086145866685","0","0","354.329979500545","42.3635356951953","35.975"
"Year 1 Jun 07 22:00","37.8000929291002","0","0","307.11584577076","42.1715183429277","35.375"
"Year 1 Jun 07 23:00","37.0537739565088","0","0","245.608437421819","41.8022493785834","35.15"
"Year 1 Jun 08 00:00","36.4460010400037","0","0","184.306250689707","41.3632482877033","34.875"
"Year 1 Jun 08 01:00","36.0554232629351","0","0","129.066134815082","40.9186345524438","34.8"
"Year 1 Jun 08 02:00","35.798608733497","0","0","81.3423122796558","40.4982893471663","34.8"
"Year 1 Jun 08 03:00","35.5862964255002","0","0","42.0533431854332","40.1117084234753","34.8"
"Year 1 Jun 08 04:00","35.063001687157","0","0","9.87701785507559","39.7638677238506","33.825"
"Year 1 Jun 08 05:00","34.3968388700341","0","0","-15.2433780386709","39.4411377501709","32.45"
"Year 1 Jun 08 06:00","33.8061666557546","0","8.5","-36.7060218774207","39.1303653796044","31.125"
"Year 1 Jun 08 07:00","34.263847227527","60","56","-56.092030138695","38.8223138348485","31.175"
"Year 1 Jun 08 08:00","35.8947504634407","295.25","137.5","-72.9902538214225","38.534284457035","31.75"
"Year 1 Jun 08 09:00","37.3126297276411","507","185.75","-84.2782826219471","38.3181248260591","32.275"
"Year 1 Jun 08 10:00","39.0440188232778","675.5","187.25","-86.1596349829978","38.2053200548909","34.725"
"Year 1 Jun 08 11:00","40.8570116900854","786.5","169","-81.1061464935286","38.2112517897973","37.825"
"Year 1 Jun 08 12:00","41.6337345847141","847.5","149.5","-67.0049873650491","38.3276609792593","38.6"
"Year 1 Jun 08 13:00","43.2833206211957","854.25","152.75","-44.3663182968958","38.518979115961","39.275"
"Year 1 Jun 08 14:00","50.0883510737028","842.5","149.25","-19.5941559368362","38.7725135959917","40.25"
"Year 1 Jun 08 15:00","57.4499048086826","791.5","152.75","16.5578116651295","39.1836609136823","41.175"
"Year 1 Jun 08 16:00","62.8232803890704","685","161","77.1133998726921","39.88805576621","41.625"
"Year 1 Jun 08 17:00","63.7034021958507","496","158","168.273641197552","40.8754473019903","42"
"Year 1 Jun 08 18:00","57.988526105684","218.5","127.5","270.376367939835","42.0157173850765","42.325"
"Year 1 Jun 08 19:00","50.1210923189682","25.5","48","354.580297774619","43.038252670413","41.725"
"Year 1 Jun 08 20:00","45.6758748092143","0","0","393.440430812797","43.6817756011288","40.75"
"Year 1 Jun 08 21:00","43.6802586618188","0","0","383.875761978481","43.9048360747253","39.825"
"Year 1 Jun 08 22:00","41.4379080558322","0","0","344.750610402627","43.8258829940643","37.275"
"Year 1 Jun 08 23:00","38.7159367775847","0","0","295.090897128997","43.5583658892811","34.25"
"Year 1 Jun 09 00:00","35.7978125573224","0","0","240.231552296274","43.156117544823","31.175"
"Year 1 Jun 09 01:00","34.8893258855173","0","0","178.211827801","42.6480978890928","31.675"
"Year 1 Jun 09 02:00","35.1909135943227","0","0","110.061305169747","42.0898261824441","33.45"
"Year 1 Jun 09 03:00","35.7933522032314","0","0","49.4930369187191","41.546216205961","35.175"
"Year 1 Jun 09 04:00","35.8249451577776","0","0","2.32060603371312","41.0719623028771","35.15"
"Year 1 Jun 09 05:00","35.5120982686179","0","0","-30.2908466058524","40.672415788035","34.55"
"Year 1 Jun 09 06:00","35.2168941141348","0","7.75","-54.0828712974594","40.330136806302","33.95"
"Year 1 Jun 09 07:00","35.7668963114841","30.5","56.5","-72.8014121788874","40.0241077494734","34.025"
"Year 1 Jun 09 08:00","37.6196101655663","138.5","162","-88.4311345585768","39.7635769679561","34.4"
"Year 1 Jun 09 09:00","39.9074737164098","228.25","264","-95.9538280046695","39.5807335740999","34.725"
"Year 1 Jun 09 10:00","41.7010309886659","387.5","309.5","-92.0841636070465","39.5183676413107","36.075"
"Year 1 Jun 09 11:00","42.7641762989241","524","312.75","-78.1310428144796","39.590415035245","37.85"
"Year 1 Jun 09 12:00","43.4338296280637","589","321.25","-56.9748745194819","39.7634433721538","39.575"
"Year 1 Jun 09 13:00","44.7610277531758","595.25","327.75","-32.869825374938","39.994617573036","40"
"Year 1 Jun 09 14:00","49.4648798387678","587.25","314.5","-6.78297427343998","40.2606553052682","40"
"Year 1 Jun 09 15:00","54.064020482814","558","286.5","26.2901776938052","40.6253584990533","40"
"Year 1 Jun 09 16:00","56.891097708056","513.5","229.75","76.2593634329448","41.1644351206567","40"
"Year 1 Jun 09 17:00","56.3736125461909","357.75","203","140.163126144452","41.871455421102","40"
"Year 1 Jun 09 18:00","51.6258098878159","164.25","136.5","206.633916352052","42.6310320330106","40"
"Year 1 Jun 09 19:00","45.1769031274335","20.25","48","255.211878916524","43.2539294400351","38.275"
"Year 1 Jun 09 20:00","40.9397697343887","0","0","270.825130560897","43.5592454558855","36.05"
"Year 1 Jun 09 21:00","38.4708462630564","0","0","250.245904873902","43.51987043711","33.775"
"Year 1 Jun 09 22:00","36.895271921985","0","0","206.195911090865","43.2212759621992","32.975"
"Year 1 Jun 09 23:00","35.816019507147","0","0","149.548297157329","42.785506619448","32.6"
"Year 1 Jun 10 00:00","34.9633822116645","0","0","93.0678796203446","42.2857789690553","32.275"
"Year 1 Jun 10 01:00","34.3323417010598","0","0","40.536086845848","41.7736057410345","31.975"
"Year 1 Jun 10 02:00","33.77870945018","0","0","-5.49319490700458","41.2716145364528","31.6"
"Year 1 Jun 10 03:00","33.2422290138185","0","0","-44.5412226022774","40.7907647258183","31.275"
"Year 1 Jun 10 04:00","32.9442077641154","0","0","-76.8058503394299","40.3321004652412","31.275"
"Year 1 Jun 10 05:00","32.8002231650454","0","0","-104.932625509129","39.90307131051","31.3"
"Year 1 Jun 10 06:00","32.8209145696448","0","8.25","-129.025081654935","39.5129710082192","31.375"
"Year 1 Jun 10 07:00","33.5173824260364","53.5","56.5","-148.114396080056","39.1627068674003","31.775"
"Year 1 Jun 10 08:00","35.1626068107759","274.75","141.25","-161.599489219193","38.8655348179351","32.35"
"Year 1 Jun 10 09:00","36.7185235357912","503","186","-166.518413311472","38.6504553262104","32.875"
"Year 1 Jun 10 10:00","37.780986805705","670","189.25","-161.322345766221","38.538895818678","33.675"
"Year 1 Jun 10 11:00","38.5226047212442","765.75","185","-148.204004706869","38.5237775232975","34.5"
"Year 1 Jun 10 12:00","39.0215107910024","806","187.5","-130.257380200936","38.5764575181428","35.375"
"Year 1 Jun 10 13:00","40.3539159300059","846.5","158.25","-110.748005159281","38.6710186438678","36.5"
"Year 1 Jun 10 14:00","46.5946023962254","832.25","156.25","-90.3233149332592","38.8030692480574","37.7"
"Year 1 Jun 10 15:00","53.8558179332534","759.75","172.5","-59.2361251685022","39.0697438578413","38.9"
"Year 1 Jun 10 16:00","57.8802016812255","558","224.75","-5.31849431915458","39.6197737681378","39.575"
"Year 1 Jun 10 17:00","54.9505041699078","263.5","217.75","71.5964143055461","40.4619577343552","40"
"Year 1 Jun 10 18:00","47.525509662785","21.5","124.25","154.092968805699","41.3663965573103","40.475"
"Year 1 Jun 10 19:00","44.1749708378981","1.5","47.25","207.241274186584","42.0316304588382","39.925"
"Year 1 Jun 10 20:00","41.5601987014559","0","0","221.497157486781","42.335752032138","38.95"
"Year 1 Jun 10 21:00","40.1991984818302","0","0","206.386366508456","42.3581087282843","38.025"
"Year 1 Jun 10 22:00","38.8517448048332","0","0","175.772641797662","42.1996834097914","36.525"
"Year 1 Jun 10 23:00","37.4071112488596","0","0","140.717474778244","41.9323878081927","34.75"
"Year 1 Jun 11 00:00","35.9771356961045","0","0","103.326107838417","41.6000333495137","33.025"
"Year 1 Jun 11 01:00","35.1053223127839","0","0","64.7928884591682","41.2203616945608","32.45"
"Year 1 Jun 11 02:00","34.5513871253716","0","0","25.2441594546985","40.8174431446777","32.25"
"Year 1 Jun 11 03:00","34.1039805677697","0","0","-10.8088530889593","40.4088026126855","32.05"
"Year 1 Jun 11 04:00","33.7131401714429","0","0","-42.1760646785318","40.011031620857","31.85"
"Year 1 Jun 11 05:00","33.3570630912321","0","0","-68.216908894326","39.6295710841143","31.65"
"Year 1 Jun 11 06:00","33.1363398045566","0","8.5","-90.701178566392","39.2702813357998","31.45"
"Year 1 Jun 11 07:00","33.7528114942671","56.25","57","-110.482232014193","38.9386839453473","31.775"
"Year 1 Jun 11 08:00","35.4014741268347","284","140.5","-126.083095994549","38.6487468817897","32.35"
"Year 1 Jun 11 09:00","36.9867176878892","505","186.25","-133.63744846442","38.4359182391955","32.875"
"Year 1 Jun 11 10:00","38.293008174018","658.25","195","-131.047581050892","38.3274292827345","33.975"
"Year 1 Jun 11 11:00","39.3896881971551","725.75","206","-120.354418458169","38.3237847531032","35.35"
"Year 1 Jun 11 12:00","40.3990552784688","682.75","258.75","-103.481959742897","38.4042047145645","36.675"
"Year 1 Jun 11 13:00","42.1912725199393","451.5","382.25","-82.6569711463015","38.547104519801","37.6"
"Year 1 Jun 11 14:00","44.519322998776","189.5","349.5","-58.0579222346993","38.7492608085434","38.4"
"Year 1 Jun 11 15:00","42.7037788720762","28.5","194","-28.4160725010094","39.0344798457252","39.2"
"Year 1 Jun 11 16:00","45.7537072975147","69.25","291.25","-0.193573017054677","39.343800001418","39.325"
"Year 1 Jun 11 17:00","48.0819288872945","105.75","247","27.1621048211522","39.6589018899605","39.3"
"Year 1 Jun 11 18:00","46.5859472039011","58.5","152.25","60.5097372426803","40.0367697544056","39.225"
"Year 1 Jun 11 19:00","41.9544388182322","0","43.25","93.697441469933","40.4297552561514","38.525"
"Year 1 Jun 11 20:00","39.5961634655414","0","0","112.877268097649","40.6846302088482","37.55"
"Year 1 Jun 11 21:00","38.3030906971115","0","0","110.810342575347","40.7324353631899","36.625"
"Year 1 Jun 11 22:00","37.0217772201011","0","0","93.847046744555","40.618209677551","35.425"
"Year 1 Jun 11 23:00","35.6619541336969","0","0","69.8764714619256","40.4005652762459","34.05"
"Year 1 Jun 12 00:00","34.3248783918176","0","0","41.8757228953936","40.1148052525609","32.725"
"Year 1 Jun 12 01:00","33.6435548113325","0","0","11.4943280692476","39.7772936925076","32.25"
"Year 1 Jun 12 02:00","33.2379914834969","0","0","-19.8772496832925","39.4097846179458","31.975"
"Year 1 Jun 12 03:00","32.9250536067526","0","0","-48.2938759273681","39.0355025683812","31.75"
"Year 1 Jun 12 04:00","32.6655862717482","0","0","-72.3300835668602","38.6710719654405","31.55"
