1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 07 13:00","47.5","1039.75","25.9","24.3655657590954","50.0245727457298","32.4552038878314"
"Year 1 Jan 07 14:00","115.5","815.75","26.15","25.8260929028958","49.1117135458976","153.172290574346"
"Year 1 Jan 07 15:00","156.75","536","25.95","27.2251269288365","45.4569643401978","271.156943979196"
"Year 1 Jan 07 16:00","181","119.75","25","28.4001688220867","37.3542914543892","362.913088073129"
"Year 1 Jan 07 17:00","113.5","169.25","24.025","29.1667059431424","35.2714583765022","410.65494150783"
"Year 1 Jan 07 18:00","18.5","7","22.525","29.5322852443676","29.427380998827","415.707970287708"
"Year 1 Jan 07 19:00","0","0","21.125","29.5577702939887","27.0317863819928","389.240928913596"
"Year 1 Jan 07 20:00","0","0","19.45","29.309790303034","24.9566393871571","339.270958860855"
"Year 1 Jan 07 21:00","0","0","18.175","28.8923482212128","23.3786207720031","280.626314455205"
"Year 1 Jan 07 22:00","0","0","16.625","28.385898988858","22.1086162060183","219.411118311562"
"Year 1 Jan 07 23:00","0","0","15.3","27.8361350884365","20.9340506196672","161.476208652506"
"Year 1 Jan 08 00:00","0","0","13.575","27.2703752248788","19.3786584368324","108.305691310977"
"Year 1 Jan 08 01:00","0","0","12.35","26.6959443082932","17.9789204044261","59.2484969012013"
"Year 1 Jan 08 02:00","0","0","11.275","26.1107330274609","16.8492326509169","12.5093238851233"
"Year 1 Jan 08 03:00","0","0","11","25.5148102312896","15.9381066432234","-30.8081407514025"
"Year 1 Jan 08 04:00","0","0","10.55","24.9204966716185","15.1572350171341","-70.6446819117954"
"Year 1 Jan 08 05:00","0","0","9.95","24.3281108533001","14.994216185852","-104.068744494241"
"Year 1 Jan 08 06:00","0","0","9.725","23.7671131300832","14.6750296635747","-135.271233634543"
"Year 1 Jan 08 07:00","0","0","10.525","23.2554689895082","14.5676017997065","-162.286858064429"
"Year 1 Jan 08 08:00","12.5","71.25","12","22.7957752977913","16.3494449699706","-185.625801392184"
"Year 1 Jan 08 09:00","55.5","381.5","14.575","22.4187580044047","24.7198982882512","-202.402897411299"
"Year 1 Jan 08 10:00","64.5","754.75","17.55","22.292255214399","36.0980463346889","-198.67899407665"
"Year 1 Jan 08 11:00","81.25","877.5","20.625","22.6441304482452","44.6060989181608","-153.703683392918"
"Year 1 Jan 08 12:00","186.75","549","22.9","23.5533225624578","45.520169638397","-65.5373077112313"
"Year 1 Jan 08 13:00","155.5","704","24.525","24.8180412895081","50.3539149100786","39.3358391275884"
"Year 1 Jan 08 14:00","182.5","606","25.125","26.2083824244444","50.5234736653849","156.106925421355"
"Year 1 Jan 08 15:00","201.5","461","25.275","27.5967596921125","48.2542912524559","271.977575230763"
"Year 1 Jan 08 16:00","157.25","421.25","24.625","28.8248191569211","45.2266861358979","369.458598552353"
"Year 1 Jan 08 17:00","117.5","213.25","23.65","29.7930273291649","39.0508945604361","437.73513064878"
"Year 1 Jan 08 18:00","29.5","41","21.975","30.4136142245464","32.85391128016","467.732599358344"
"Year 1 Jan 08 19:00","0","0","20.3","30.6279596392995","28.6907308756472","456.893634275498"
"Year 1 Jan 08 20:00","0","0","18.475","30.4717767988574","26.5003864528953","410.794366037074"
"Year 1 Jan 08 21:00","0","0","17.25","30.0703397823046","24.7239900742021","347.368178213797"
"Year 1 Jan 08 22:00","0","0","16.175","29.546572805486","23.5418765521809","278.460538690571"
"Year 1 Jan 08 23:00","0","0","15.375","28.9731782961025","22.6092235311757","211.616246023658"
"Year 1 Jan 09 00:00","0","0","14.225","28.3914429357255","21.2380347906947","151.466537253265"
"Year 1 Jan 09 01:00","0","0","13.225","27.8147021483919","19.9281905387144","98.0186483518794"
"Year 1 Jan 09 02:00","0","0","11.95","27.2402225192114","18.5751516726628","48.6427794136248"
