1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 02 11:00","132","753.5","15.075","15.5204809651386","17.1518826502591"
"Year 1 Jan 02 12:00","120","841.75","17.175","15.5875154239755","18.6716259700827"
"Year 1 Jan 02 13:00","110.25","875.75","19.275","15.7636674399381","20.0091094780604"
"Year 1 Jan 02 14:00","105.75","862.75","21.375","16.0290790419987","21.2998055202843"
"Year 1 Jan 02 15:00","100.25","803.25","23.475","16.3600565050087","22.4690083545895"
"Year 1 Jan 02 16:00","101.75","647.5","23.775","16.73665206401","22.7021882498333"
"Year 1 Jan 02 17:00","80.75","369.25","23.4","17.1263669802846","22.0151706812531"
"Year 1 Jan 02 18:00","28.5","59.25","23.075","17.4888898976444","20.7753181179547"
"Year 1 Jan 02 19:00","0","0","21.575","17.7668278669426","19.5331731721744"
"Year 1 Jan 02 20:00","0","0","19.6","17.931559766607","18.4441978414245"
"Year 1 Jan 02 21:00","0","0","17.675","17.9901315694412","17.3814621610036"
"Year 1 Jan 02 22:00","0","0","16.375","17.9591665135004","16.5094536969232"
"Year 1 Jan 02 23:00","0","0","15.35","17.8593960538401","15.7587818146144"
"Year 1 Jan 03 00:00","0","0","14.275","17.7077219438753","15.0179805331473"
"Year 1 Jan 03 01:00","0","0","13.4","17.5178407047898","14.3831097134258"
"Year 1 Jan 03 02:00","0","0","12.6","17.3036428134373","13.8172003159822"
"Year 1 Jan 03 03:00","0","0","11.8","17.0719002349167","13.2747511702407"
"Year 1 Jan 03 04:00","0","0","11.525","16.8285719330646","12.842415958842"
"Year 1 Jan 03 05:00","0","0","11.35","16.581074668143","12.454183236942"
"Year 1 Jan 03 06:00","0","0","11.225","16.3310364992046","12.1040247013358"
"Year 1 Jan 03 07:00","0","0","12.025","16.0860935239535","12.1102609769733"
"Year 1 Jan 03 08:00","34.5","55.75","13.05","15.8613809321348","12.8595189699638"
"Year 1 Jan 03 09:00","108.25","302.5","14.125","15.6747861081861","14.6122445248859"
"Year 1 Jan 03 10:00","135.5","588.25","16.125","15.5687054018516","16.6962741580164"
"Year 1 Jan 03 11:00","131.5","754.5","18.5","15.584362952832","18.7194086096713"
"Year 1 Jan 03 12:00","121","839.25","20.825","15.7339610108204","20.6668484138743"
"Year 1 Jan 03 13:00","111.75","871","22.525","16.0045941112135","22.128863248233"
"Year 1 Jan 03 14:00","109.5","853.75","23.95","16.3646294393524","23.3213526118265"
"Year 1 Jan 03 15:00","106.25","787","25.425","16.7870672907823","24.2719995177344"
"Year 1 Jan 03 16:00","107","628.25","25.35","17.2442049119166","24.3203406176045"
"Year 1 Jan 03 17:00","83.25","355.75","24.75","17.7004038235133","23.440423982865"
"Year 1 Jan 03 18:00","29.25","57","24.225","18.0984956621472","21.9747152370796"
"Year 1 Jan 03 19:00","0","0","22.6","18.3940758211457","20.5469611710084"
"Year 1 Jan 03 20:00","0","0","20.525","18.5630335845113","19.3631686783826"
"Year 1 Jan 03 21:00","0","0","18.5","18.6163261843667","18.2747113819861"
"Year 1 Jan 03 22:00","0","0","17.325","18.5759694011367","17.4557149066361"
"Year 1 Jan 03 23:00","0","0","16.5","18.470257368005","16.7873389406223"
"Year 1 Jan 04 00:00","0","0","15.625","18.3188317921049","16.1270270496267"
"Year 1 Jan 04 01:00","0","0","15.025","18.136209984359","15.5618977313213"
"Year 1 Jan 04 02:00","0","0","14.6","17.9355210488268","15.09614172786"
"Year 1 Jan 04 03:00","0","0","14.125","17.7236704365026","14.6530970271659"
"Year 1 Jan 04 04:00","0","0","13.625","17.5068775353679","14.2084965744963"
"Year 1 Jan 04 05:00","0","0","13.2","17.2874128950147","13.7969840749454"
"Year 1 Jan 04 06:00","0","0","12.725","17.0660490138963","13.3891578532646"
"Year 1 Jan 04 07:00","0","0","12.675","16.8426122823783","13.1211513842595"
"Year 1 Jan 04 08:00","34.5","54.25","12.85","16.6223389070234","13.4787450964236"
"Year 1 Jan 04 09:00","107","297.75","12.975","16.4230490307155","14.9072308371997"
"Year 1 Jan 04 10:00","128.25","585","15.175","16.2827373252359","16.8747172088385"
"Year 1 Jan 04 11:00","139.25","695.5","18.15","16.2552932964893","19.0248129719015"
"Year 1 Jan 04 12:00","205","619.25","21.075","16.3618329841604","21.6693429849202"
"Year 1 Jan 04 13:00","227","610.5","22.85","16.6118652791953","23.4882810860388"
"Year 1 Jan 04 14:00","214.25","603.5","24.25","16.979383217198","24.6610640023835"
"Year 1 Jan 04 15:00","174.25","603.5","25.65","17.4301403232133","25.3633805966904"
"Year 1 Jan 04 16:00","111","601.75","25.85","17.9179754760825","25.043615801091"
"Year 1 Jan 04 17:00","84.25","358","25.65","18.3907000711534","24.2538535199515"
"Year 1 Jan 04 18:00","30","66","25.45","18.7897611785243","22.9622664836437"
"Year 1 Jan 04 19:00","0","0","24.275","19.0889504152205","21.8323319772412"
"Year 1 Jan 04 20:00","0","0","22.7","19.273354894892","20.9445984405015"
"Year 1 Jan 04 21:00","0","0","21.175","19.3595129824857","20.0547973288058"
"Year 1 Jan 04 22:00","0","0","19.825","19.3673245543643","19.2009006827931"
"Year 1 Jan 04 23:00","0","0","18.6","19.3125998244866","18.3806526523189"
"Year 1 Jan 05 00:00","0","0","17.325","19.2070022520405","17.5296676904721"
"Year 1 Jan 05 01:00","0","0","16.475","19.0580285248523","16.8491168947337"
"Year 1 Jan 05 02:00","0","0","15.85","18.8768083951595","16.3086703285943"
"Year 1 Jan 05 03:00","0","0","15.175","18.6746131789383","15.8071719842078"
"Year 1 Jan 05 04:00","0","0","14.85","18.4594840171871","15.3743297466488"
"Year 1 Jan 05 05:00","0","0","14.65","18.2416898808831","14.993153326213"
"Year 1 Jan 05 06:00","0","0","14.45","18.0232744517462","14.6620517691277"
"Year 1 Jan 05 07:00","0","0","15.6","17.8081673267417","14.9251607142237"
"Year 1 Jan 05 08:00","34.5","55.75","17.2","17.6137579352824","15.9830890166949"
"Year 1 Jan 05 09:00","108","303.75","18.8","17.4749289032189","18.0882066207473"
"Year 1 Jan 05 10:00","134.25","594.25","20.4","17.4336529900896","20.1459205924824"
"Year 1 Jan 05 11:00","129","764.75","22","17.5204151204767","21.8242455290774"
"Year 1 Jan 05 12:00","117.25","852.5","23.6","17.7260571922654","23.3312080890958"
"Year 1 Jan 05 13:00","108.75","881.25","24.375","18.0269878134291","24.3750031338007"
"Year 1 Jan 05 14:00","106.5","862.75","24.8","18.3903687173806","24.9091742330248"
"Year 1 Jan 05 15:00","103.25","799.5","25.275","18.7857995216071","25.2626784251539"
"Year 1 Jan 05 16:00","106.5","634","25.25","19.1817810737503","25.1360313152089"
"Year 1 Jan 05 17:00","89","336.75","25.05","19.5429311124891","24.4227657090743"
"Year 1 Jan 05 18:00","30.75","42.75","24.85","19.8495051591137","23.190359628375"
"Year 1 Jan 05 19:00","0","0","23.6","20.0725576554696","21.9699612074223"
"Year 1 Jan 05 20:00","0","0","22","20.1938333268426","20.9602208571215"
"Year 1 Jan 05 21:00","0","0","20.4","20.2227437752453","19.9698497343612"
"Year 1 Jan 05 22:00","0","0","19.475","20.1755525568305","19.2342792202247"
"Year 1 Jan 05 23:00","0","0","18.85","20.0740773240183","18.6552187242301"
"Year 1 Jan 06 00:00","0","0","18.175","19.9353652940485","18.0924100974612"
"Year 1 Jan 06 01:00","0","0","17.475","19.7717363427027","17.5363219762017"
"Year 1 Jan 06 02:00","0","0","16.85","19.590845888312","17.0244229161711"
"Year 1 Jan 06 03:00","0","0","16.175","19.397519266435","16.5083200923016"
"Year 1 Jan 06 04:00","0","0","15.025","19.1936306096898","15.8498792051152"
"Year 1 Jan 06 05:00","0","0","13.65","18.9760834461867","15.1341629296993"
"Year 1 Jan 06 06:00","0","0","12.325","18.7407793086154","14.4365956378645"
"Year 1 Jan 06 07:00","0","0","12.375","18.4879852330514","14.071591240625"
"Year 1 Jan 06 08:00","34.25","54.25","12.8","18.2273443785347","14.4500144456996"
"Year 1 Jan 06 09:00","107.75","296.25","13.275","17.9814066442661","16.0541112308348"
"Year 1 Jan 06 10:00","136.5","582.75","15.725","17.8036280089572","18.0604072767069"
"Year 1 Jan 06 11:00","132","755","18.75","17.7488065227841","19.9351934637878"
"Year 1 Jan 06 12:00","120.75","842.75","21.825","17.8290594810462","21.9730212427666"
"Year 1 Jan 06 13:00","122","853.5","23.2","18.0384592653182","23.3599264445486"
"Year 1 Jan 06 14:00","158","747.75","24","18.3387819114848","24.4823534562659"
"Year 1 Jan 06 15:00","185.75","577.25","24.8","18.7043235780114","25.3669890702515"
"Year 1 Jan 06 16:00","149","478.25","24.775","19.1072455977621","25.1389414421526"
"Year 1 Jan 06 17:00","95.25","284.75","24.4","19.5083493251284","24.0799604556775"
"Year 1 Jan 06 18:00","31.5","46.5","24.075","19.8459521334523","22.6694961994475"
"Year 1 Jan 06 19:00","0","0","22.95","20.0816466887656","21.45348355841"
"Year 1 Jan 06 20:00","0","0","21.475","20.2025009949146","20.5579146088287"
"Year 1 Jan 06 21:00","0","0","20.05","20.2260844220049","19.7128863657568"
"Year 1 Jan 06 22:00","0","0","18.65","20.1761691025424","18.9376890338921"
"Year 1 Jan 06 23:00","0","0","17.175","20.0693121956937","18.1455064914897"
"Year 1 Jan 07 00:00","0","0","15.75","19.9160967529058","17.3399803864939"
"Year 1 Jan 07 01:00","0","0","15.175","19.7274041178698","16.7500146391638"
"Year 1 Jan 07 02:00","0","0","14.8","19.5181994589894","16.2294611189466"
"Year 1 Jan 07 03:00","0","0","14.475","19.2940746685172","15.7150436219636"
"Year 1 Jan 07 04:00","0","0","14.025","19.0615785994406","15.2441913596716"
"Year 1 Jan 07 05:00","0","0","13.45","18.8222535274198","14.7850927634707"
"Year 1 Jan 07 06:00","0","0","12.925","18.578464820875","14.3449706173382"
"Year 1 Jan 07 07:00","0","0","13.1","18.3314847404014","14.213865293087"
"Year 1 Jan 07 08:00","33.75","49","13.5","18.0944606116368","14.7607194698138"
"Year 1 Jan 07 09:00","109.5","276.5","13.9","17.8859622202204","16.5374621047639"
"Year 1 Jan 07 10:00","136.25","574.75","16.1","17.7507100200021","18.634258567962"
"Year 1 Jan 07 11:00","120.5","767","18.9","17.7409568011718","20.4290329195773"
"Year 1 Jan 07 12:00","116","840","21.7","17.8625287388156","22.197632179666"
"Year 1 Jan 07 13:00","115.5","859.5","23.075","18.1019671192794","23.4687730772613"
"Year 1 Jan 07 14:00","112","845.75","23.9","18.4196343511982","24.2967778240444"
"Year 1 Jan 07 15:00","103.75","794","24.775","18.7862211736064","24.8340902938842"
"Year 1 Jan 07 16:00","95.25","665.5","24.85","19.171327534457","24.6800307384866"
"Year 1 Jan 07 17:00","78.75","392.5","24.65","19.5427057633242","24.058173963763"
"Year 1 Jan 07 18:00","33.75","61.5","24.45","19.8595126671654","22.8676968170662"
"Year 1 Jan 07 19:00","0","0","23.2","20.0921084044842","21.5852481353127"
"Year 1 Jan 07 20:00","0","0","21.6","20.2202214022619","20.5630279857831"
"Year 1 Jan 07 21:00","0","0","20","20.2511341763071","19.6316309667253"
"Year 1 Jan 07 22:00","0","0","19","20.2030745258997","18.9141873165791"
"Year 1 Jan 07 23:00","0","0","18.2","20.0990627211878","18.2812623782718"
"Year 1 Jan 08 00:00","0","0","17.4","19.9546488532225","17.6534753158111"
"Year 1 Jan 08 01:00","0","0","16.75","19.782216593448","17.1108317102401"
"Year 1 Jan 08 02:00","0","0","16.15","19.590842740532","16.6353812513589"
"Year 1 Jan 08 03:00","0","0","15.55","19.3877056613433","16.1936057493991"
"Year 1 Jan 08 04:00","0","0","14.5","19.1766158166471","15.600405322552"
"Year 1 Jan 08 05:00","0","0","13.3","18.9551919601674","14.8657103873683"
"Year 1 Jan 08 06:00","0","0","12.1","18.7186588591482","14.0507570922087"
"Year 1 Jan 08 07:00","0","0","13.075","18.4624363090158","13.970332939704"
"Year 1 Jan 08 08:00","34.25","53.25","14.775","18.2056324619685","14.8544421884669"
"Year 1 Jan 08 09:00","106.5","293.75","16.475","17.9878787249495","16.9508403923742"
"Year 1 Jan 08 10:00","130.75","581.75","18.175","17.8616554776914","19.0393249565077"
"Year 1 Jan 08 11:00","129","733.75","19.875","17.865888278239","20.760909218449"
"Year 1 Jan 08 12:00","147.5","759.5","21.575","18.0008516184239","22.4585676335107"
"Year 1 Jan 08 13:00","201","664.25","22.45","18.2457698250377","24.1047808556756"
"Year 1 Jan 08 14:00","256.25","494.25","23.05","18.5738161003146","25.3304557615234"
"Year 1 Jan 08 15:00","258.25","340","23.65","18.9670441697269","25.8495981034125"
"Year 1 Jan 08 16:00","188.25","286.75","23.725","19.3942491691367","25.4126633485355"
"Year 1 Jan 08 17:00","128","112","23.55","19.7989380521183","24.4076038721947"
"Year 1 Jan 08 18:00","33","9.75","23.425","20.1300347773982","22.6903030689369"
"Year 1 Jan 08 19:00","0","0","22.575","20.3536701778772","21.5213546752804"
"Year 1 Jan 08 20:00","0","0","21.4","20.456578332845","20.7940163298662"
"Year 1 Jan 08 21:00","0","0","20.275","20.4660082630977","20.0638362100344"
"Year 1 Jan 08 22:00","0","0","19.25","20.4114277274251","19.3198112278357"
"Year 1 Jan 08 23:00","0","0","18.25","20.3093879391262","18.5739653700106"
"Year 1 Jan 09 00:00","0","0","17.25","20.16786796381","17.8199990433262"
"Year 1 Jan 09 01:00","0","0","16.625","19.9937012122837","17.2834773810344"
"Year 1 Jan 09 02:00","0","0","16.05","19.7974057955628","16.8245660386643"
"Year 1 Jan 09 03:00","0","0","15.525","19.5884441510692","16.4080700347637"
"Year 1 Jan 09 04:00","0","0","15.025","19.3737903134913","15.9804936703227"
"Year 1 Jan 09 05:00","0","0","14.45","19.1563805863381","15.5423562787801"
"Year 1 Jan 09 06:00","0","0","13.925","18.9354670095275","15.1186821129382"
"Year 1 Jan 09 07:00","0","0","13.575","18.7109610594514","14.6978022828935"
"Year 1 Jan 09 08:00","33.5","54.5","13.35","18.4848393106775","14.8095633597454"
"Year 1 Jan 09 09:00","108.25","295.25","13.075","18.2684007764435","15.9806857706108"
"Year 1 Jan 09 10:00","129.75","590","15.475","18.0971889953423","17.8979821687447"
"Year 1 Jan 09 11:00","106.25","789.25","18.7","18.0313350396384","19.94043503161"
"Year 1 Jan 09 12:00","126.5","811.25","21.975","18.0935525391619","22.3233915061109"
"Year 1 Jan 09 13:00","169.75","738.75","23.4","18.2947649277246","24.0464544876664"
"Year 1 Jan 09 14:00","244","535","24.2","18.6047817670808","25.4811402611989"
"Year 1 Jan 09 15:00","250.25","394.75","25","18.999210560756","26.2404729374095"
"Year 1 Jan 09 16:00","145.5","538","25.125","19.4407002531585","25.7219900757588"
"Year 1 Jan 09 17:00","86","379.5","25.1","19.8745645853012","24.7394264486371"
"Year 1 Jan 09 18:00","35.25","69.75","25.025","20.2339783356132","23.4548311568646"
"Year 1 Jan 09 19:00","0","0","24.025","20.4899331821591","22.2505277795436"
"Year 1 Jan 09 20:00","0","0","22.65","20.6316750360275","21.3902575530855"
"Year 1 Jan 09 21:00","0","0","21.325","20.6770483064314","20.5719279530784"
"Year 1 Jan 09 22:00","0","0","20.025","20.6489825990156","19.7740471545417"
"Year 1 Jan 09 23:00","0","0","18.65","20.5638382449165","18.940641010753"
"Year 1 Jan 10 00:00","0","0","17.325","20.4305652705308","18.1056187415461"
"Year 1 Jan 10 01:00","0","0","16.7","20.2571355947295","17.4944952299607"
"Year 1 Jan 10 02:00","0","0","16.3","20.0581099464688","17.0222600238233"
"Year 1 Jan 10 03:00","0","0","15.9","19.8435167544856","16.5895236600794"
"Year 1 Jan 10 04:00","0","0","15.2","19.6216509471551","16.0748385173692"
"Year 1 Jan 10 05:00","0","0","14.4","19.3938110432272","15.5162012516869"
"Year 1 Jan 10 06:00","0","0","13.6","19.1587182185038","14.9381507692606"
"Year 1 Jan 10 07:00","0","0","13.4","18.9144046903751","14.5403009393875"
"Year 1 Jan 10 08:00","33.5","54.5","13.4","18.664390290171","14.7375464136859"
"Year 1 Jan 10 09:00","110.25","290.75","13.475","18.4283903478016","16.0108929352301"
"Year 1 Jan 10 10:00","140.5","569","16.125","18.2457324803259","18.1746726032761"
"Year 1 Jan 10 11:00","119.75","771","19.55","18.1791395847613","20.3571272465051"
"Year 1 Jan 10 12:00","116.25","843.5","23.025","18.2539769631204","22.695946074325"
"Year 1 Jan 10 13:00","117","860.5","24.725","18.474619201169","24.314918165209"
"Year 1 Jan 10 14:00","115.5","842","25.75","18.8015582958168","25.3733074612523"
"Year 1 Jan 10 15:00","109.25","783.75","26.75","19.2012834915137","26.0938421738231"
"Year 1 Jan 10 16:00","101.75","651.75","26.625","19.6331575957676","25.9706234840069"
"Year 1 Jan 10 17:00","83.25","384","26.05","20.0569637554101","25.1704773434392"
"Year 1 Jan 10 18:00","36","65.25","25.525","20.4213223558848","23.8785398714139"
"Year 1 Jan 10 19:00","0","0","24.125","20.6886563957893","22.533637940783"
"Year 1 Jan 10 20:00","0","0","22.5","20.840703391464","21.5172618768778"
"Year 1 Jan 10 21:00","0","0","20.825","20.8886111936499","20.5131392719522"
"Year 1 Jan 10 22:00","0","0","19.575","20.8522508243724","19.650909612875"
"Year 1 Jan 10 23:00","0","0","18.4","20.7520487981324","18.8581206031664"
"Year 1 Jan 11 00:00","0","0","17.275","20.6011912025493","18.0969995785016"
"Year 1 Jan 11 01:00","0","0","16.4","20.4132958128136","17.4216136700458"
"Year 1 Jan 11 02:00","0","0","15.675","20.1996307914058","16.8201738942228"
"Year 1 Jan 11 03:00","0","0","14.9","19.9685304542509","16.2225341590545"
"Year 1 Jan 11 04:00","0","0","14.1","19.7237512040634","15.6291065356646"
"Year 1 Jan 11 05:00","0","0","13.375","19.4680212356883","15.0615782501111"
"Year 1 Jan 11 06:00","0","0","12.6","19.2030615822713","14.4795853104969"
"Year 1 Jan 11 07:00","0","0","12.475","18.9289182822912","14.0672272810987"
"Year 1 Jan 11 08:00","33.5","54.5","12.65","18.6529721940582","14.2923503065813"
"Year 1 Jan 11 09:00","110.25","290.75","12.775","18.3942766853389","15.5858140523956"
"Year 1 Jan 11 10:00","140.75","568.75","15.425","18.1921649905","17.7458804214356"
"Year 1 Jan 11 11:00","120.75","769.75","19","18.1092183474785","19.9842178036412"
"Year 1 Jan 11 12:00","117.25","841.5","22.525","18.1702100365158","22.342820535602"
"Year 1 Jan 11 13:00","117.75","859","24.225","18.3803162742405","23.9764091635412"
"Year 1 Jan 11 14:00","115","844","25.25","18.7003517571667","25.0331625540812"
"Year 1 Jan 11 15:00","106.5","794.5","26.325","19.0935861733692","25.7481631449695"
"Year 1 Jan 11 16:00","97.25","672.75","26.3","19.5194945636017","25.651620858733"
"Year 1 Jan 11 17:00","81.5","408.5","25.9","19.9361683166409","25.0260786673549"
"Year 1 Jan 11 18:00","37.75","78","25.5","20.3036516335518","23.8200590030444"
"Year 1 Jan 11 19:00","0","0","24.35","20.5783090108775","22.5998692346341"
"Year 1 Jan 11 20:00","0","0","22.95","20.7446965261566","21.7416358661671"
"Year 1 Jan 11 21:00","0","0","21.55","20.8138358460206","20.866055726392"
"Year 1 Jan 11 22:00","0","0","20.075","20.8050476050113","19.913375683198"
"Year 1 Jan 11 23:00","0","0","18.5","20.7309140216483","18.905736295492"
"Year 1 Jan 12 00:00","0","0","16.975","20.5971246190227","17.9046523503426"
"Year 1 Jan 12 01:00","0","0","16.3","20.4118809280159","17.2292667444685"
"Year 1 Jan 12 02:00","0","0","15.9","20.193743443997","16.7347293252908"
"Year 1 Jan 12 03:00","0","0","15.5","19.9563889506073","16.3058660935214"
"Year 1 Jan 12 04:00","0","0","14.65","19.7112302202703","15.7751164366653"
"Year 1 Jan 12 05:00","0","0","13.65","19.4603688284033","15.1932839233311"
"Year 1 Jan 12 06:00","0","0","12.65","19.2033957757802","14.6056549220194"
"Year 1 Jan 12 07:00","0","0","12.325","18.9376314426153","14.1421588671169"
"Year 1 Jan 12 08:00","33.5","55.75","12.15","18.6668542818265","14.1939528823983"
"Year 1 Jan 12 09:00","107.75","301.25","12.025","18.4064604060736","15.2673423428902"
"Year 1 Jan 12 10:00","133","590","14.925","18.1931228872965","17.2782787128981"
"Year 1 Jan 12 11:00","118.5","775.25","18.75","18.0902528366004","19.6247814443601"
"Year 1 Jan 12 12:00","113","849","22.625","18.1286369963656","22.252718923637"
"Year 1 Jan 12 13:00","118.75","859","24.275","18.324534709639","23.9879672810133"
"Year 1 Jan 12 14:00","115.75","844.25","25.25","18.6404098753879","25.0449166205205"
"Year 1 Jan 12 15:00","106.5","796","26.175","19.0372283792489","25.7407340235726"
"Year 1 Jan 12 16:00","97.25","676.5","26.175","19.4682206019579","25.6531326753673"
"Year 1 Jan 12 17:00","81.25","416.75","25.95","19.8903544557464","25.0850730380168"
"Year 1 Jan 12 18:00","37","89.25","25.675","20.2653882644992","23.9060307534706"
"Year 1 Jan 12 19:00","0","0","24.4","20.5483246287453","22.6855640342356"
"Year 1 Jan 12 20:00","0","0","22.8","20.7221325268516","21.7515597170585"
"Year 1 Jan 12 21:00","0","0","21.2","20.7960931661745","20.7608495537807"
"Year 1 Jan 12 22:00","0","0","19.825","20.7869996842629","19.8015678653421"
"Year 1 Jan 12 23:00","0","0","18.6","20.7096817077756","18.9106584290363"
"Year 1 Jan 13 00:00","0","0","17.325","20.5749771079466","18.0096099568136"
"Year 1 Jan 13 01:00","0","0","16.55","20.3931231293438","17.313287884218"
"Year 1 Jan 13 02:00","0","0","15.95","20.1797843439154","16.7368313952855"
"Year 1 Jan 13 03:00","0","0","15.35","19.9460724391673","16.1962524690599"
"Year 1 Jan 13 04:00","0","0","15.05","19.7006788738852","15.8034568611671"
"Year 1 Jan 13 05:00","0","0","14.85","19.4514864618134","15.4872332984784"
"Year 1 Jan 13 06:00","0","0","14.65","19.2040500919691","15.2088770319775"
"Year 1 Jan 13 07:00","0","0","14.75","18.9632478731741","15.0765726307474"
"Year 1 Jan 13 08:00","30.75","66.25","14.95","18.7398697542688","15.504962615902"
"Year 1 Jan 13 09:00","102.25","325.75","15.15","18.5431411985513","17.1061134439554"
"Year 1 Jan 13 10:00","141.75","567.5","17.375","18.4121779865575","19.1926769550338"
"Year 1 Jan 13 11:00","122","767.5","20.2","18.4010774529718","20.9844228932001"
"Year 1 Jan 13 12:00","119","839.75","23.075","18.518772064016","23.1116353256745"
"Year 1 Jan 13 13:00","118.25","862.5","24.625","18.7599423914199","24.6006857271094"
"Year 1 Jan 13 14:00","113.25","853.5","25.65","19.0919900918386","25.5790221143382"
"Year 1 Jan 13 15:00","102.5","810","26.725","19.4866571954498","26.2648580600203"
"Year 1 Jan 13 16:00","96","686.75","26.775","19.908559595851","26.237736920915"
"Year 1 Jan 13 17:00","88","403.75","26.4","20.3226130618923","25.554302055166"
"Year 1 Jan 13 18:00","41.5","72.75","26.075","20.6811746649318","24.3176407680515"
"Year 1 Jan 13 19:00","0","0","24.575","20.9503713207455","22.8735834646634"
"Year 1 Jan 13 20:00","0","0","22.6","21.1049547458114","21.7237947479345"
"Year 1 Jan 13 21:00","0","0","20.675","21.1503890385602","20.6098183550874"
"Year 1 Jan 13 22:00","0","0","19.525","21.1055472230406","19.7437834366473"
"Year 1 Jan 13 23:00","0","0","18.55","20.9944009055601","18.9847330913942"
"Year 1 Jan 14 00:00","0","0","17.625","20.8332162873669","18.2559304867996"
"Year 1 Jan 14 01:00","0","0","16.95","20.6384891289976","17.6382127522283"
"Year 1 Jan 14 02:00","0","0","16.275","20.4213369327637","17.0617143923391"
"Year 1 Jan 14 03:00","0","0","15.65","20.189749765162","16.5146334627971"
"Year 1 Jan 14 04:00","0","0","15.05","19.9485832694241","15.989251530922"
"Year 1 Jan 14 05:00","0","0","14.375","19.699744632692","15.4496792604646"
"Year 1 Jan 14 06:00","0","0","13.75","19.4441979476489","14.9239927887152"
"Year 1 Jan 14 07:00","0","0","13.975","19.1821186365927","14.7452784064326"
"Year 1 Jan 14 08:00","33.5","56.25","14.4","18.9277947192005","15.2352120844789"
"Year 1 Jan 14 09:00","107.5","305","14.875","18.7006461734863","16.9644942348098"
"Year 1 Jan 14 10:00","136","592","17.325","18.5460982852305","19.0041053679126"
