1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 04 18:00","30","66","25.45","409.891316125089","30.486628404729","34.2606440614679"
"Year 1 Jan 04 19:00","0","0","24.275","413.928924057468","30.8483787744184","30.0317885949007"
"Year 1 Jan 04 20:00","0","0","22.7","382.161136547696","30.8258709412","27.6959703464885"
"Year 1 Jan 04 21:00","0","0","21.175","328.507287615887","30.5352612194325","25.7800547566185"
"Year 1 Jan 04 22:00","0","0","19.825","267.177499190994","30.0906533196512","24.2251432983941"
"Year 1 Jan 04 23:00","0","0","18.6","205.012723626131","29.567417397023","22.8957348512149"
"Year 1 Jan 05 00:00","0","0","17.325","145.910778334117","29.0093079952249","21.6389286122065"
"Year 1 Jan 05 01:00","0","0","16.475","92.0855368926661","28.4348562862251","20.7579946363132"
"Year 1 Jan 05 02:00","0","0","15.85","41.947874323901","27.8673400477591","20.1456960945614"
"Year 1 Jan 05 03:00","0","0","15.175","-1.9144513256512","27.3178668214962","19.6638127796246"
"Year 1 Jan 05 04:00","0","0","14.85","-39.1546185649106","26.7959251373359","18.9739950484707"
"Year 1 Jan 05 05:00","0","0","14.65","-70.6446090482052","26.3018902964078","18.1905280999941"
"Year 1 Jan 05 06:00","0","0","14.45","-97.1854879147503","25.8219700894866","17.492232614049"
"Year 1 Jan 05 07:00","0","0","15.6","-123.629586372031","25.3640084697064","17.5218611272995"
"Year 1 Jan 05 08:00","34.5","55.75","17.2","-148.823674436559","24.9402056460615","19.4719421378919"
"Year 1 Jan 05 09:00","108","303.75","18.8","-166.775631074949","24.5936456255289","26.1624392867155"
"Year 1 Jan 05 10:00","134.25","594.25","20.4","-164.936447075927","24.462896323114","34.5661266740006"
"Year 1 Jan 05 11:00","129","764.75","22","-129.905302506173","24.7105915408083","41.696274512581"
"Year 1 Jan 05 12:00","117.25","852.5","23.6","-60.8925332758682","25.3928887593719","46.8954180404959"
"Year 1 Jan 05 13:00","108.75","881.25","24.375","29.5467500469363","26.4495174531924","49.7107485846738"
"Year 1 Jan 05 14:00","106.5","862.75","24.8","139.341990894171","27.6929856603411","51.0916211178047"
"Year 1 Jan 05 15:00","103.25","799.5","25.275","246.076882107359","28.9874752507672","50.3855181393249"
"Year 1 Jan 05 16:00","106.5","634","25.25","343.887403389693","30.1869019309926","47.2048902842239"
"Year 1 Jan 05 17:00","89","336.75","25.05","416.55025770526","31.1815228104887","40.7675186736299"
"Year 1 Jan 05 18:00","30.75","42.75","24.85","451.115868644349","31.8489850180668","33.5600850160628"
"Year 1 Jan 05 19:00","0","0","23.6","440.186501018786","32.0872313026051","29.8114245826166"
"Year 1 Jan 05 20:00","0","0","22","394.221640132775","31.9359155837341","27.6921378426361"
"Year 1 Jan 05 21:00","0","0","20.4","330.07912626377","31.5397196996466","25.9934281584184"
"Year 1 Jan 05 22:00","0","0","19.475","262.285659029714","31.0156435933611","24.5931481001726"
"Year 1 Jan 05 23:00","0","0","18.85","194.676387844465","30.4458942176131","23.4212511856327"
"Year 1 Jan 06 00:00","0","0","18.175","133.264369815145","29.8593146769797","22.3456761011031"
"Year 1 Jan 06 01:00","0","0","17.475","78.1311848792721","29.2751202495667","21.43397598213"
"Year 1 Jan 06 02:00","0","0","16.85","28.7033029293253","28.7054194326912","20.6504462477695"
"Year 1 Jan 06 03:00","0","0","16.175","-14.5088269360821","28.1532423682576","19.9160403982409"
"Year 1 Jan 06 04:00","0","0","15.025","-51.6053596418736","27.6189787376006","19.1367024592719"
"Year 1 Jan 06 05:00","0","0","13.65","-82.8024149501397","27.0971063642728","18.3632222613095"
"Year 1 Jan 06 06:00","0","0","12.325","-109.337045202664","26.5822354271241","17.6721522802929"
"Year 1 Jan 06 07:00","0","0","12.375","-135.267949718072","26.0858876897159","17.2722427521743"
"Year 1 Jan 06 08:00","34.25","54.25","12.8","-159.881141133742","25.6147984435913","18.7871883911724"
"Year 1 Jan 06 09:00","107.75","296.25","13.275","-178.359077128791","25.2001917855545","25.5703244048565"
"Year 1 Jan 06 10:00","136.5","582.75","15.725","-178.549599039096","24.9905448438377","33.968067186032"
"Year 1 Jan 06 11:00","132","755","18.75","-147.870137985744","25.1720871092655","40.5091966570072"
"Year 1 Jan 06 12:00","120.75","842.75","21.825","-83.2283921968789","25.7858347214766","44.777165497251"
"Year 1 Jan 06 13:00","122","853.5","23.2","0.843947550128293","26.7513616389682","48.3567883519115"
"Year 1 Jan 06 14:00","158","747.75","24","103.238162610907","27.8956390212537","50.4382441570815"
"Year 1 Jan 06 15:00","185.75","577.25","24.8","207.010167522462","29.1154536275248","49.8608536032282"
"Year 1 Jan 06 16:00","149","478.25","24.775","300.509677786788","30.2941212268304","46.9132537763498"
"Year 1 Jan 06 17:00","95.25","284.75","24.4","376.556722625832","31.2779999315044","40.7706201140696"
"Year 1 Jan 06 18:00","31.5","46.5","24.075","415.367071371755","31.9520780197708","33.5404337661625"
"Year 1 Jan 06 19:00","0","0","22.95","409.284945718015","32.205883348191","29.6727720482724"
"Year 1 Jan 06 20:00","0","0","21.475","367.338841745549","32.0683141335087","27.6554378621055"
"Year 1 Jan 06 21:00","0","0","20.05","306.829458760343","31.6804035446614","26.093469758409"
"Year 1 Jan 06 22:00","0","0","18.65","241.877972001335","31.1667723619325","24.7890051904536"
"Year 1 Jan 06 23:00","0","0","17.175","179.023220160547","30.603173953729","23.5748802977077"
"Year 1 Jan 07 00:00","0","0","15.75","122.137488392259","30.0200909553271","22.4611660963794"
"Year 1 Jan 07 01:00","0","0","15.175","69.4879787397044","29.4408521344358","21.5812836292739"
"Year 1 Jan 07 02:00","0","0","14.8","21.4696373615149","28.8758869766166","20.786535408558"
"Year 1 Jan 07 03:00","0","0","14.475","-20.4998891375222","28.3272146363821","20.0324330399395"
"Year 1 Jan 07 04:00","0","0","14.025","-56.9583240365148","27.7962346133055","19.343207353725"
"Year 1 Jan 07 05:00","0","0","13.45","-87.8884074075887","27.2793006186316","18.6819146728608"
"Year 1 Jan 07 06:00","0","0","12.925","-114.13867715644","26.7741049941784","18.0604872800392"
"Year 1 Jan 07 07:00","0","0","13.1","-139.896433897007","26.2953589911162","17.7838793994976"
"Year 1 Jan 07 08:00","33.75","49","13.5","-162.947741533101","25.8425447672119","19.3270851971078"
"Year 1 Jan 07 09:00","109.5","276.5","13.9","-179.718203650778","25.4491930300009","25.9917226379717"
"Year 1 Jan 07 10:00","136.25","574.75","16.1","-178.208358658935","25.2578934636348","34.9061730214949"
"Year 1 Jan 07 11:00","120.5","767","18.9","-145.308473935014","25.4601301189298","42.1545032032853"
"Year 1 Jan 07 12:00","116","840","21.7","-76.6784105208416","26.1177199994187","47.1056934671764"
"Year 1 Jan 07 13:00","115.5","859.5","23.075","14.1129114751611","27.1570786296149","50.3645428857605"
"Year 1 Jan 07 14:00","112","845.75","23.9","125.211448936831","28.3868098532938","51.7370024306683"
"Year 1 Jan 07 15:00","103.75","794","24.775","234.485642800923","29.6745142415268","51.0066229407661"
"Year 1 Jan 07 16:00","95.25","665.5","24.85","330.651823635483","30.8909041310237","48.144146084785"
"Year 1 Jan 07 17:00","78.75","392.5","24.65","406.828136680899","31.8930184212445","42.2381381415247"
"Year 1 Jan 07 18:00","33.75","61.5","24.45","445.115766369764","32.5849829487448","34.5543112641563"
"Year 1 Jan 07 19:00","0","0","23.2","438.280185241732","32.8537953005527","30.4908551518842"
"Year 1 Jan 07 20:00","0","0","21.6","394.462747726209","32.7188591207588","28.4526111161524"
"Year 1 Jan 07 21:00","0","0","20","331.0967410927","32.3249195330571","26.9132664128107"
"Year 1 Jan 07 22:00","0","0","19","263.371352908598","31.8023209858974","25.3670926943568"
"Year 1 Jan 07 23:00","0","0","18.2","196.360292609097","31.2333132542283","23.8603111898922"
"Year 1 Jan 08 00:00","0","0","17.4","134.955480812488","30.6372932387011","22.4702143656167"
